#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000004562.2|SAMD00061119|GCA_000009685.1|Clostridium perfringens str. 13||13|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000009685.1	Complete Genome	3031430	3085740	2	NULL	Generic	PRJNA79	Univ. Kyushu	SAMD00061119	"13","BA000016.AP003515"	NULL	NULL	NULL	10488	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Clostridium perfringens str. 13	NULL	NULL	1502	NULL	NULL	13	NULL	NULL	PDT000004562.2	2010-05-12	195102	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	3	"cpa,cpb2,pfoA"	3.11.2	2023-02-23.1	COMBINED	1
PDT000004710.2|SAMN02604008|GCA_000013285.1|Clostridium perfringens ATCC 13124||ATCC 13124|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000013285.1	Complete Genome	3256683	3256683	1	NULL	Generic	PRJNA304	TIGR	SAMN02604008	"ATCC 13124","ATCC:13124","CP000246"	NULL	NULL	NULL	14088	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000246	Clostridium perfringens ATCC 13124	NULL	NULL	1502	NULL	NULL	ATCC 13124	NULL	NULL	PDT000004710.2	2010-05-12	195103	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	2	"cpa,pfoA"	3.10.42	2022-10-11.2	COMBINED	1
PDT000004736.3|SAMN02604026|GCA_000013845.2|Clostridium perfringens SM101||SM101|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000013845.2	Complete Genome	2897393	2960088	4	NULL	Generic	PRJNA12521	TIGR	SAMN02604026	"CP000312","SM101"	NULL	NULL	NULL	4132398	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000312	Clostridium perfringens SM101	NULL	NULL	1502	NULL	NULL	SM101	NULL	NULL	PDT000004736.3	2017-02-16	289380	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	2	"cpa,cpe"	3.11.2	2023-02-23.1	COMBINED	1
PDT000006056.2|SAMN02436294|GCA_000171135.1|Clostridium perfringens C str. JGS1495||JGS1495|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000171135.1	Contig	117588	3661329	84	NULL	Generic	PRJNA20025	J. Craig Venter Institute	SAMN02436294	"ABDU","JGS1495"	NULL	NULL	NULL	210598	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ABDU	Clostridium perfringens C str. JGS1495	NULL	NULL	1502	NULL	NULL	JGS1495	NULL	NULL	PDT000006056.2	2010-11-18	445334	ABDU	ABDU00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"ant(6)-Ib,tet(44),tetA(P)=MISTRANSLATION"	"ant(6)-Ib,tet(44),tetA(P)=MISTRANSLATION"	0	NULL	5	"cpa,cpb,cpb2,pfoA,tpeL"	3.11.2	2023-02-23.1	COMBINED	1
PDT000006057.2|SAMN02436295|GCA_000171155.1|Clostridium perfringens B str. ATCC 3626||ATCC 3626|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000171155.1	Contig	88742	3896305	98	NULL	Generic	PRJNA20027	J. Craig Venter Institute	SAMN02436295	"ABDV","ATCC 3626"	NULL	NULL	NULL	210638	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ABDV	Clostridium perfringens B str. ATCC 3626	NULL	NULL	1502	NULL	NULL	ATCC 3626	NULL	NULL	PDT000006057.2	2010-11-18	451754	ABDV	ABDV00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	6	"cpa,cpb,cpb2,etx,pfoA,tpeL"	3.11.2	2023-02-23.1	COMBINED	1
PDT000006058.2|SAMN02436167|GCA_000171175.1|Clostridium perfringens E str. JGS1987||JGS1987|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000171175.1	Contig	88895	4127102	101	NULL	Generic	PRJNA20029	J. Craig Venter Institute	SAMN02436167	"ABDW","JGS1987"	NULL	NULL	NULL	210678	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ABDW	Clostridium perfringens E str. JGS1987	NULL	NULL	1502	NULL	NULL	JGS1987	NULL	NULL	PDT000006058.2	2010-11-18	451755	ABDW	ABDW00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"abc-f=HMM,tetA(P),tetB(P)"	"abc-f=HMM,tetA(P),tetB(P)"	0	NULL	5	"cpa,cpb2,iap,ibp,pfoA"	3.11.2	2023-02-23.1	COMBINED	1
PDT000006059.2|SAMN02436168|GCA_000171195.1|Clostridium perfringens CPE str. F4969||F4969|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000171195.1	Contig	96499	3510272	74	NULL	Generic	PRJNA20031	J. Craig Venter Institute	SAMN02436168	"ABDX","F4969"	NULL	NULL	NULL	210718	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ABDX	Clostridium perfringens CPE str. F4969	NULL	NULL	1502	NULL	NULL	F4969	NULL	NULL	PDT000006059.2	2010-11-18	451756	ABDX	ABDX00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	3	"cpa,cpe,pfoA"	3.11.2	2023-02-23.1	COMBINED	1
PDT000006060.2|SAMN02436239|GCA_000171215.1|Clostridium perfringens NCTC 8239||str. NCTC 8239|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000171215.1	Contig	134604	3324319	55	NULL	Generic	PRJNA20033	J. Craig Venter Institute	SAMN02436239	"ABDY","str. NCTC 8239"	NULL	NULL	NULL	210758	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ABDY	Clostridium perfringens NCTC 8239	NULL	NULL	1502	NULL	NULL	str. NCTC 8239	NULL	NULL	PDT000006060.2	2010-11-18	451757	ABDY	ABDY00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"abc-f=HMM"	"abc-f=HMM"	0	NULL	2	"cpa,pfoA"	3.11.2	2023-02-23.1	COMBINED	1
PDT000006106.2|SAMN02436277|GCA_000172455.1|Clostridium perfringens D str. JGS1721||JGS1721|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000172455.1	Contig	80514	4045016	221	NULL	Generic	PRJNA28587	J. Craig Venter Institute	SAMN02436277	"ABOO","JGS1721"	NULL	NULL	NULL	213178	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ABOO	Clostridium perfringens D str. JGS1721	NULL	NULL	1502	NULL	NULL	JGS1721	NULL	NULL	PDT000006106.2	2010-11-18	488537	ABOO	ABOO00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"tetA(P),tetB(P)"	"tetA(P),tetB(P)"	0	NULL	3	"cpa,etx,pfoA"	3.11.2	2023-02-23.1	COMBINED	1
PDT000008463.2|SAMN02463856|GCA_000243175.1|Clostridium perfringens WAL-14572||WAL-14572|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000243175.1	Scaffold	307728	3466039	35	Newbler v. 2.3-PostRelease-11/19/2009	MIGS Cultured Bacterial/Archaeal	PRJNA46397	Broad Institute	SAMN02463856	"46397","SRS4768302","WAL-14572"	NULL	missing	clinical	329928	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	46397	Clostridium perfringens WAL-14572	NULL	NULL	1502	NULL	NULL	WAL-14572	NULL	"Clostridium perfringens WAL-14572"	PDT000008463.2	2012-01-24	742739	ADLP	ADLP00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"tetA(P),tetB(P)"	"tetA(P),tetB(P)"	0	NULL	3	"cpa,cpb2,pfoA"	3.11.2	2022-12-19.1	COMBINED	1
