Aeromonas_salmonicida | número de entradas: 31 | date: 2023-05-03 10:40:44.905561
GCF_029854275.1 SAMN34178809
GCF_029541925.1 SAMN25210568
GCF_028358575.1 SAMN31541904
GCF_028356375.1 SAMN31541903
GCF_028356175.1 SAMN31541905
GCF_028355995.1 SAMN31541906
GCF_028355815.1 SAMN31541907
GCF_028355655.1 SAMN31541908
GCF_027947675.1 SAMN32781198
GCF_027947655.1 SAMN32781197
GCF_001643355.2 SAMN04450000
GCF_024508255.1 SAMN30005339
GCF_020683025.1 SAMN22480857
GCF_019443825.1 SAMN14351711
GCF_019443805.1 SAMN14325646
GCF_014872735.1 SAMN14260301
GCA_012933685.1 SAMN13518351
GCF_012931585.1 SAMN14515089
GCF_001643275.2 SAMN04449844
GCF_009858135.1 SAMN13518350
GCF_009858115.1 SAMN13518349
GCF_008370735.1 SAMN11172869
GCF_003692675.1 SAMN02469939
GCF_002764135.1 SAMN07410266
GCF_002735225.1 SAMN04208118
GCF_002313065.1 SAMN05735119
GCF_002214305.1 SAMN07276874
GCF_002214265.1 SAMN07276873
GCF_002214245.1 SAMN07276469
GCF_002180335.1 SAMN06812489
GCF_000196395.1 SAMN02603664
