Edwardsiella_piscicida | número de entradas: 17 | date: 2023-05-03 10:42:06.693915
GCA_029910275.1 SAMN32615904
GCA_029910255.1 SAMN32615104
GCA_028219255.1 SAMN30802608
GCF_003113095.2 SAMN08939785
GCF_021733145.1 SAMN19803006
GCF_021733125.1 SAMN19803008
GCF_021733105.1 SAMN19803007
GCF_003074755.2 SAMN08939762
GCF_003074715.2 SAMN08939752
GCF_003074775.2 SAMN08939553
GCF_003074735.2 SAMN08939456
GCF_003112395.2 SAMN08938004
GCF_003074855.2 SAMN08939787
GCF_001729265.2 SAMN05240433
GCF_010061665.1 SAMN13812492
GCF_004153325.1 SAMN10855903
GCF_000348565.1 SAMN02603613
