Enterobacter_asburiae | número de entradas: 31 | date: 2023-05-03 10:42:20.751657
GCF_028622135.1 SAMN32733969
GCF_027595525.1 SAMN16387623
GCF_025999975.1 SAMD00535934
GCF_024917675.1 SAMN28174002
GCF_024599655.1 SAMN29928038
GCF_023101705.1 SAMN21379551
GCF_023023265.1 SAMN21379552
GCF_023023145.1 SAMN21379553
GCF_023023045.1 SAMN21379558
GCF_022570715.1 SAMN26527994
GCF_019973695.1 SAMD00268104
GCF_019968865.1 SAMN18916999
GCF_019968785.1 SAMN18917003
GCF_019428505.1 SAMN18388147
GCF_019048485.1 SAMN16357574
GCF_018394395.1 SAMN19111026
GCF_017347425.1 SAMD00282211
GCF_016027695.1 SAMN13450422
GCF_015168595.1 SAMN16515958
GCF_013784425.1 SAMN15148645
GCF_013782005.1 SAMN15148766
GCF_013740195.1 SAMN15148650
GCF_011396735.1 SAMD00197875
GCF_009755685.1 SAMN13499302
GCF_007035805.1 SAMD00166968
GCF_007035645.1 SAMD00166948
GCF_003940765.1 SAMN10521483
GCF_001617645.1 SAMN04538166
GCF_001521715.1 SAMN03742638
GCF_001022095.1 SAMN03733641
GCF_000632395.1 SAMN02716203
