Enterobacter_kobei | número de entradas: 21 | date: 2023-05-03 10:43:02.987458
GCF_027595935.1 SAMN16387637
GCF_026240695.1 SAMN31675492
GCF_025398875.1 SAMN30864116
GCF_023612495.1 SAMN18091014
GCF_023558885.1 SAMN28416108
GCF_023547315.1 SAMN22612881
GCF_023333675.1 SAMN21379547
GCF_023023705.1 SAMN21379548
GCF_023023125.1 SAMN21379554
GCF_022559745.1 SAMN23139065
GCF_015137465.1 SAMD00195972
GCF_015136055.1 SAMD00195902
GCF_015135855.1 SAMD00195900
GCF_015135595.1 SAMD00195891
GCF_014041955.1 SAMN15594913
GCF_011604705.1 SAMN14372987
GCF_008931545.1 SAMN12289356
GCF_008365235.1 SAMN12648938
GCF_003665375.1 SAMN08027255
GCF_001729765.1 SAMN05581747
GCF_000286275.1 SAMN02603959
