Flavobacterium_psychrophilum | número de entradas: 23 | date: 2023-05-03 10:44:03.058150
GCF_023066195.1 SAMN27489127
GCF_023066175.1 SAMN27509540
GCF_022982435.1 SAMN27278900
GCF_022982415.1 SAMN27278814
GCF_019774595.1 SAMN20804762
GCF_019774575.1 SAMN20804763
GCF_016803475.1 SAMN15518435
GCF_013343195.2 SAMN11356336
GCF_013343175.2 SAMN11356335
GCF_013457195.1 SAMN02903962
GCA_013426055.1 SAMN14943929
GCF_009730675.1 SAMN13381501
GCF_900130145.1 SAMEA4545687
GCF_001708385.1 SAMN03983344
GCF_000064305.2 SAMEA3138269
GCF_001431805.1 SAMN04009762
GCF_000831225.1 SAMN02900749
GCF_000831205.1 SAMN02900764
GCF_000831185.1 SAMN02900760
GCF_000767095.1 SAMN02903962
GCF_000754405.1 SAMN03290988
GCF_000754365.1 SAMN03290989
GCF_000739395.1 SAMN02770278
