Morganella | número de entradas: 51 | date: 2023-05-03 10:45:04.211144
GCA_025398975.1 SAMN28869591
GCF_024917155.1 SAMN30502440
GCF_022369415.1 SAMN15594731
GCF_020911745.1 SAMN19659029
GCF_020790175.1 SAMN22814155
GCF_003034205.2 SAMN08142803
GCF_019243775.1 SAMN17310992
GCF_019243695.1 SAMN17059475
GCF_019243605.1 SAMN17070622
GCF_019243485.1 SAMN17070621
GCF_019243435.1 SAMN17070562
GCF_019243335.1 SAMN17070561
GCF_019243235.1 SAMN17070466
GCF_019243165.1 SAMN17069496
GCF_019243055.1 SAMN17066452
GCF_019242955.1 SAMN17066406
GCF_019242835.1 SAMN17058980
GCF_018802585.1 SAMN16623060
GCF_018802565.1 SAMN16623063
GCF_018802545.1 SAMN16623059
GCF_018802525.1 SAMN16623062
GCF_018802505.1 SAMN16623064
GCF_018802485.1 SAMN16623066
GCF_018802465.1 SAMN16623061
GCF_018802445.1 SAMN16623065
GCF_018802425.1 SAMN16623190
GCF_018802405.1 SAMN16622915
GCF_018141465.1 SAMN15719828
GCF_016939635.1 SAMN16933284
GCF_016939575.1 SAMN16933275
GCF_016939515.1 SAMN16933265
GCF_016727445.1 SAMN16357254
GCF_016618235.1 SAMN16124556
GCF_015698325.1 SAMN16619592
GCF_013378135.1 SAMN11401652
GCF_011465095.1 SAMN12769847
GCF_010748915.1 SAMN14085905
GCF_010365245.1 SAMN13936254
GCF_902387845.1 SAMEA5852017
GCF_006094455.1 SAMN10712293
GCF_900635025.1 SAMEA2665114
GCF_003955965.1 SAMN10218950
GCF_003573445.1 SAMN10031395
GCF_900478755.1 SAMEA2709025
GCF_003071325.1 SAMN04014974
GCF_002968775.1 SAMN04014898
GCF_001558895.2 SAMN03996316
GCF_000783955.2 SAMN02934512
GCF_002891475.1 SAMN08335225
GCF_002386305.1 SAMN07312409
GCF_000286435.2 SAMN02603113
