Mycobacterium_tuberculosis | número de entradas: 365 | date: 2023-05-03 10:45:12.275134
GCF_029867265.1 SAMN24042990
GCF_029867245.1 SAMN24042982
GCF_029867225.1 SAMN24040618
GCF_029867205.1 SAMN24040410
GCF_029867185.1 SAMN24040385
GCF_029867165.1 SAMN24040382
GCF_029867145.1 SAMN24039640
GCF_029867125.1 SAMN24039598
GCF_029867105.1 SAMN24039564
GCF_029867085.1 SAMN24039456
GCF_029867065.1 SAMN24039411
GCF_029867045.1 SAMN24038646
GCF_028768425.1 SAMN33010680
GCF_028752235.1 SAMN22456105
GCF_028583305.1 SAMN27865567
GCF_028583285.1 SAMN27865565
GCF_028583265.1 SAMN27865561
GCF_028583245.1 SAMN27865558
GCF_028583225.1 SAMN27865560
GCF_028583205.1 SAMN27865563
GCF_028583185.1 SAMN27865559
GCF_028583165.1 SAMN27865566
GCF_028583145.1 SAMN27865564
GCF_028583125.1 SAMN27865562
GCF_027912555.1 SAMN32350377
GCF_026727615.1 SAMN31746260
GCF_026727575.1 SAMN31746122
GCF_026185275.1 SAMN28173806
GCF_026167585.1 SAMN31644110
GCF_022871145.1 SAMN27028221
GCF_022871125.1 SAMN27028220
GCF_022871105.1 SAMN27028219
GCF_022871085.1 SAMN27028218
GCF_022870445.1 SAMN16406462
GCF_022870425.1 SAMN16406463
GCF_022870405.1 SAMN16406464
GCF_022870385.1 SAMN16406466
GCF_022870365.1 SAMN16406467
GCF_022870345.1 SAMN16406468
GCF_022870325.1 SAMN16406469
GCF_022870305.1 SAMN16406470
GCF_022870285.1 SAMN16406471
GCF_022870265.1 SAMN16406472
GCF_022870245.1 SAMN16406473
GCF_022870225.1 SAMN16406474
GCF_022870205.1 SAMN16406475
GCF_022870185.1 SAMN16406476
GCF_022870165.1 SAMN16406477
GCF_022870145.1 SAMN16406478
GCF_022870125.1 SAMN16406479
GCF_932527325.1 SAMEA13188731
GCF_932527315.1 SAMEA13188688
GCF_932530395.1 SAMEA13188715
GCA_932530255.1 SAMEA13188674
GCF_932527465.1 SAMEA13188685
GCF_932530315.1 SAMEA13188689
GCF_022023995.1 SAMN18614372
GCF_021559895.1 SAMN15348336
GCF_021535155.1 SAMN23482338
GCF_019670745.1 SAMD00322307
GCF_017901115.1 SAMN18576178
GCF_017901095.1 SAMN18576182
GCF_017901075.1 SAMN18576180
GCF_017901055.1 SAMN18576179
GCF_017901035.1 SAMN18576181
GCF_017164055.1 SAMN18056929
GCF_017164035.1 SAMN18056856
GCF_016917775.1 SAMN17832565
GCF_904810365.1 SAMEA7336316
GCF_904810355.1 SAMEA7336318
GCF_904810335.1 SAMEA7336315
GCF_904810325.1 SAMEA7336314
GCF_904810345.1 SAMEA7336317
GCF_902459825.2 SAMEA5803801
GCF_015482805.1 SAMN16605479
GCF_014901155.1 SAMN12325189
GCF_014901135.1 SAMN12325190
GCF_014901115.1 SAMN12325191
GCF_014901095.1 SAMN12325192
GCF_014901075.1 SAMN12325193
GCF_014901055.1 SAMN12325194
GCF_014901035.1 SAMN12325195
GCF_014900965.1 SAMN12325196
GCF_014900895.1 SAMN12325197
GCF_014900855.1 SAMN12325198
GCF_014900835.1 SAMN12325199
GCF_014900815.1 SAMN12325200
GCF_014900795.1 SAMN12325201
GCF_014900775.1 SAMN12325202
GCF_014900755.1 SAMN12325203
GCF_014900735.1 SAMN12325204
GCF_014900715.1 SAMN12325205
GCF_014900695.1 SAMN12325206
GCF_014900675.1 SAMN12325207
GCF_014900655.1 SAMN12325209
GCF_014900635.1 SAMN12325210
GCF_014900615.1 SAMN12325212
GCF_014900595.1 SAMN12325213
GCF_014900555.1 SAMN12325214
GCF_014900515.1 SAMN12325215
GCF_014900495.1 SAMN12325216
GCF_014900475.1 SAMN12325217
GCF_014900455.1 SAMN12325218
GCF_014900435.1 SAMN12325219
GCF_014900415.1 SAMN12325220
GCF_014900395.1 SAMN12325221
GCF_014900375.1 SAMN12325222
GCF_014900355.1 SAMN12325223
GCF_014900335.1 SAMN12325224
GCF_014900315.1 SAMN12325225
GCF_014900295.1 SAMN12325226
GCF_014900275.1 SAMN12325227
GCF_014900255.1 SAMN12325228
GCF_014900235.1 SAMN12325229
GCF_014900215.1 SAMN12325230
GCF_014900195.1 SAMN12325231
GCF_014900175.1 SAMN12325232
GCF_014900155.1 SAMN12325233
GCF_014900135.1 SAMN12325234
GCF_014900115.1 SAMN12325235
GCF_014900095.1 SAMN12325236
GCF_014900075.1 SAMN12325237
GCF_014900055.1 SAMN12325238
GCF_014900005.1 SAMN12325239
GCF_014899985.1 SAMN12325240
GCF_014899965.1 SAMN12325241
GCF_014899945.1 SAMN12325242
GCF_014899925.1 SAMN12325243
GCF_014899905.1 SAMN12325244
GCF_014899885.1 SAMN12325245
GCF_014899865.1 SAMN12325247
GCF_014899845.1 SAMN12325248
GCF_014899825.1 SAMN12325249
GCF_014899805.1 SAMN12325250
GCF_014899785.1 SAMN12325251
GCF_014899765.1 SAMN12325252
GCF_014899745.1 SAMN12325253
GCF_014899725.1 SAMN12325254
GCF_014899705.1 SAMN12325255
GCF_014899685.1 SAMN12325256
GCF_014899665.1 SAMN12325257
GCF_014899645.1 SAMN12325258
GCF_014899625.1 SAMN12325259
GCF_014899605.1 SAMN12325260
GCF_014899585.1 SAMN12325261
GCF_014899565.1 SAMN12325262
GCF_014899545.1 SAMN12325263
GCF_014899525.1 SAMN12325264
GCF_014899505.1 SAMN12325265
GCF_014899485.1 SAMN12325266
GCF_014899465.1 SAMN12325267
GCF_014899445.1 SAMN12325268
GCF_014899425.1 SAMN12325269
GCF_014899405.1 SAMN12325270
GCF_014899385.1 SAMN12325271
GCF_014899365.1 SAMN12325272
GCF_014899345.1 SAMN12325273
GCF_014899325.1 SAMN12325274
GCF_014899305.1 SAMN12325275
GCF_014899285.1 SAMN12325277
GCF_014899265.1 SAMN12325276
GCF_014899245.1 SAMN12325278
GCF_014899225.1 SAMN12325279
GCF_014899205.1 SAMN12325280
GCF_014884665.1 SAMN12325208
GCF_014884645.1 SAMN12325211
GCF_014884625.1 SAMN12325246
GCF_000195835.3 SAMEA20450668
GCF_013267655.1 SAMN11056471
GCF_013267635.1 SAMN11056472
GCF_013010385.1 SAMN14598146
GCF_012923765.1 SAMN13736268
GCF_009762675.2 SAMN10417149
GCA_011044455.1 SAMN14150054
GCF_001597645.2 SAMN04492771
GCF_009730235.1 SAMN11056465
GCF_009730215.1 SAMN11056466
GCF_009664875.1 SAMN13191639
GCF_008761675.1 SAMN12816907
GCF_007833935.1 SAMN12126281
GCF_900520315.1 SAMEA104027311
GCF_005156105.1 SAMN10219708
GCF_005155785.1 SAMN10219709
GCF_003293655.1 SAMN08973501
GCF_003287185.1 SAMN06292067
GCF_003287165.1 SAMN06292065
GCF_003287145.1 SAMN06292590
GCF_003287125.1 SAMN06292592
GCF_003265005.1 SAMN09453176
GCF_002895185.1 SAMN07125453
GCF_003006135.1 SAMN07414819
GCF_003006115.1 SAMN07414820
GCF_002975475.1 SAMN08321034
GCF_002886225.1 SAMN08199276
GCF_002887335.1 SAMN08199348
GCF_002887255.1 SAMN08199306
GCF_002887145.1 SAMN08199303
GCF_002887065.1 SAMN08199267
GCF_002886945.1 SAMN08199265
GCF_002886865.1 SAMN08199268
GCF_002886775.1 SAMN08199271
GCF_002886685.1 SAMN08199347
GCF_002886585.1 SAMN08199266
GCF_002886505.1 SAMN08199277
GCF_002886405.1 SAMN08199301
GCF_002886335.1 SAMN08199305
GCF_002886195.1 SAMN08199302
GCF_002886165.1 SAMN08199260
GCF_002886145.1 SAMN08199254
GCF_002448215.1 SAMN07664890
GCF_002448195.1 SAMN07664889
GCF_002448175.1 SAMN07664888
GCF_002448155.1 SAMN07664887
GCF_002448135.1 SAMN07664886
GCF_002448115.1 SAMN07664885
GCF_002448095.1 SAMN07664884
GCF_002448075.1 SAMN07664883
GCF_002448055.1 SAMN07664882
GCF_002448035.1 SAMN07664881
GCF_002448015.1 SAMN07664880
GCF_002447995.1 SAMN07664879
GCF_002447975.1 SAMN07664878
GCF_002447955.1 SAMN07664877
GCF_002447935.1 SAMN07664876
GCF_002447915.1 SAMN07664875
GCF_002447895.1 SAMN07664874
GCF_002447875.1 SAMN07664873
GCF_002447855.1 SAMN07664872
GCF_002447835.1 SAMN07664871
GCF_002447815.1 SAMN07664870
GCF_002447795.1 SAMN07664869
GCF_002447775.1 SAMN07664868
GCF_002447755.1 SAMN07664867
GCF_002447735.1 SAMN07664866
