Neisseria_gonorrhoeae | número de entradas: 144 | date: 2023-05-03 10:45:16.998599
GCF_029378455.1 SAMN33482239
GCF_029378435.1 SAMN33482240
GCF_028483175.2 SAMN32765978
GCF_027920425.1 SAMN31428012
GCF_027886375.1 SAMN31428011
GCF_025562675.2 SAMN28859076
GCF_025562635.2 SAMN28859053
GCF_025171255.1 SAMN28871626
GCF_025170665.1 SAMN28837864
GCF_025169995.1 SAMN28835821
GCF_025169605.2 SAMN28869553
GCF_025169565.2 SAMN28869504
GCF_025169515.2 SAMN28858852
GCF_025169825.2 SAMN28871636
GCF_025791005.1 SAMN31165850
GCF_025790965.1 SAMN31165852
GCF_025790945.1 SAMN31165853
GCF_025790925.1 SAMN31165854
GCF_025790205.1 SAMN28833726
GCF_025790185.1 SAMN28830140
GCF_025758415.1 SAMN31203372
GCF_025171215.2 SAMN28870224
GCF_025171315.2 SAMN28871700
GCF_025171295.2 SAMN28871698
GCF_025170725.2 SAMN28869552
GCF_025170705.2 SAMN28859049
GCF_025170685.2 SAMN28858863
GCF_025170505.2 SAMN28836998
GCF_025170325.2 SAMN28835919
GCF_025170885.1 SAMN28869554
GCF_025170155.1 SAMN28835880
GCF_025169495.2 SAMN28859080
GCF_020906775.2 SAMN22600892
GCF_025169685.2 SAMN28869590
GCF_025169745.2 SAMN28871631
GCF_020904985.2 SAMN22600315
GCF_020904955.2 SAMN22599455
GCF_020905095.2 SAMN22600590
GCF_020882925.2 SAMN22599447
GCF_021193625.2 SAMN22600672
GCF_020905105.2 SAMN22600608
GCF_020906835.2 SAMN22600584
GCF_020905035.2 SAMN22600865
GCF_020904995.2 SAMN22599711
GCF_020904975.2 SAMN22599488
GCF_020906765.2 SAMN22600605
GCF_025642475.1 SAMN31014998
GCF_025642455.1 SAMN31015000
GCF_025642435.1 SAMN31014989
GCF_025642415.1 SAMN31014987
GCF_025642395.1 SAMN31014981
GCF_025642375.1 SAMN31014963
GCF_025642355.1 SAMN31014148
GCF_025642335.1 SAMN31014135
GCF_025641865.1 SAMN28858607
GCF_025171275.1 SAMN28871644
GCA_025171235.1 SAMN28870232
GCF_025171075.1 SAMN28869592
GCA_025169785.1 SAMN28835169
GCF_025169585.1 SAMN28835168
GCF_025169475.1 SAMN28834904
GCF_023822665.1 SAMN28560617
GCF_023611785.1 SAMN13812694
GCF_023611765.1 SAMN13812695
GCF_023611705.1 SAMN13812696
GCF_023205595.1 SAMN13151448
GCF_019380275.1 SAMN14131123
GCF_019212165.1 SAMN19998456
GCF_019212025.1 SAMN19998457
GCF_019211885.1 SAMN19998458
GCF_019211865.1 SAMN19998459
GCF_019211845.1 SAMN19998460
GCF_019211825.1 SAMN19998455
GCF_019211805.1 SAMN19998461
GCF_018798905.1 SAMN13151449
GCF_016802445.1 SAMN14116987
GCF_016802425.1 SAMN14116988
GCF_016802405.1 SAMN14116989
GCF_016802385.1 SAMN14116990
GCF_016802355.1 SAMN14116991
GCF_016802335.1 SAMN14116992
GCF_016802315.1 SAMN14117309
GCF_016775785.1 SAMN17393045
GCF_015509285.1 SAMD00257605
GCF_014700555.1 SAMN14433815
GCF_013030135.1 SAMD00220610
GCF_013030115.1 SAMD00220609
GCF_013030095.1 SAMD00220608
GCF_013030075.1 SAMD00217348
GCF_013030055.1 SAMD00217347
GCF_011058675.1 SAMN12676038
GCF_011058655.1 SAMN12676039
GCF_011058635.1 SAMN12676040
GCF_008065015.2 SAMD00179626
GCF_009650075.1 SAMN10920452
GCF_004332555.2 SAMN10031335
GCF_004332535.2 SAMN10035124
GCF_900087875.2 SAMEA2448463
GCF_900087785.2 SAMEA2448461
GCF_900087735.2 SAMEA2448467
GCF_900087725.2 SAMEA2448465
GCF_900087715.2 SAMEA2796326
GCF_900087685.2 SAMEA2448469
GCF_900087645.2 SAMEA2448470
GCF_900087635.2 SAMEA2448460
GCF_007107365.1 SAMN12252303
GCF_007107165.1 SAMN12252293
GCF_900087795.2 SAMEA2796328
GCF_900087905.2 SAMEA2796327
GCF_900087815.2 SAMEA2448468
GCF_900087625.2 SAMEA2448466
GCF_900087615.2 SAMEA2448464
GCF_900087865.2 SAMEA2448462
GCF_004001185.1 SAMD00092841
GCF_004001165.1 SAMD00092837
GCF_004001105.1 SAMD00092833
GCF_900637245.1 SAMEA4364223
GCF_003855435.1 SAMN10395998
GCF_003855415.1 SAMN10395914
GCF_003855375.1 SAMN10395999
GCF_003855355.1 SAMN10396003
GCF_003855295.1 SAMN10395917
GCF_003855235.1 SAMN10396000
GCF_003855215.1 SAMN10395915
GCF_003855195.1 SAMN10395916
GCF_003855175.1 SAMN10395918
GCF_003571465.1 SAMN06251594
GCF_003571445.1 SAMN06251593
GCF_002073615.2 SAMN04875542
GCF_002073535.2 SAMN04875541
GCF_002073655.2 SAMN04875544
GCF_900186875.1 SAMEA4076741
GCF_900186935.1 SAMEA4076765
GCF_900186915.1 SAMEA4076768
GCF_001956715.1 SAMN02380725
GCF_001661135.1 SAMN05210257
GCF_001661115.1 SAMN05210135
GCF_001661085.1 SAMN04233132
GCF_001047275.1 SAMN03459417
GCF_001047255.1 SAMN03459416
GCF_001047225.1 SAMN03459415
GCF_000156855.2 SAMN02596923
GCF_000020105.1 SAMN02603475
GCF_000006845.1 SAMN02604088
