Neisseria_meningitidis | número de entradas: 127 | date: 2023-05-03 10:45:25.948796
GCF_022869645.1 SAMN14078801
GCF_019356015.1 SAMN20308719
GCF_019048825.1 SAMN19789151
GCF_017347365.1 SAMD00246645
GCF_016026895.1 SAMN13450444
GCF_015732685.1 SAMN09429006
GCA_015732665.1 SAMN09429007
GCF_015679925.1 SAMN09429002
GCF_015679905.1 SAMN09429003
GCA_015679885.1 SAMN09429004
GCF_015679865.1 SAMN09429005
GCF_015679845.1 SAMN09429008
GCF_015679815.1 SAMN09429009
GCF_015679795.1 SAMN09429010
GCA_015679775.1 SAMN09429011
GCF_015679735.1 SAMN09429012
GCA_015679705.1 SAMN09429013
GCF_015679665.1 SAMN09429014
GCF_014302495.1 SAMN15813653
GCF_009664695.1 SAMN13191640
GCF_009664675.1 SAMN13191641
GCF_008330925.1 SAMN07137415
GCF_008330905.1 SAMN07137414
GCF_008330885.1 SAMN07137406
GCF_008330865.1 SAMN07137407
GCF_008330845.1 SAMN07137408
GCF_008330825.1 SAMN07137409
GCF_008330805.1 SAMN07137410
GCF_008330785.1 SAMN07137411
GCF_008330765.1 SAMN07137412
GCF_008330745.1 SAMN07137416
GCF_008329765.1 SAMN07137413
GCF_900638605.1 SAMEA104307689
GCF_900638595.1 SAMEA104307690
GCF_900638575.1 SAMEA104307687
GCF_900638555.1 SAMEA104307683
GCF_003355435.1 SAMN09704670
GCF_003355415.1 SAMN09704690
GCF_003355395.1 SAMN09704694
GCF_003355375.1 SAMN09704671
GCF_003355335.1 SAMN09704682
GCF_003355315.1 SAMN09704702
GCF_003355295.1 SAMN09704698
GCF_003355275.1 SAMN09704706
GCF_003355255.1 SAMN09704687
GCF_003355235.1 SAMN09704705
GCF_003355215.1 SAMN09704693
GCF_002073235.2 SAMN04875551
GCF_002073595.2 SAMN04875547
GCF_002073675.2 SAMN04875549
GCF_002073275.2 SAMN04875552
GCF_002073555.2 SAMN04875548
GCF_002073575.2 SAMN04875546
GCF_002951575.1 SAMN06144986
GCF_002556585.1 SAMN07615714
GCF_002075815.1 SAMN05560575
GCF_001974965.1 SAMN04321475
GCF_001750825.1 SAMN04023208
GCF_001698105.1 SAMN04883375
GCF_001698085.1 SAMN04883402
GCF_001698065.1 SAMN04883368
GCF_001698045.1 SAMN04883365
GCF_001698025.1 SAMN04883394
GCF_001698005.1 SAMN04883378
GCF_001697985.1 SAMN04883430
GCF_001697965.1 SAMN04883439
GCF_001697945.1 SAMN04883451
GCF_001697925.1 SAMN04883364
GCF_001697905.1 SAMN04883373
GCF_001697885.1 SAMN04883440
GCF_001697865.1 SAMN04883395
GCF_001697845.1 SAMN04883386
GCF_001697825.1 SAMN04883421
GCF_001697805.1 SAMN04883382
GCF_001697785.1 SAMN04883448
GCF_001697765.1 SAMN04883452
GCF_001697745.1 SAMN04883441
GCF_001697725.1 SAMN04883370
GCF_001697705.1 SAMN04883408
GCF_001697685.1 SAMN04883377
GCF_001697665.1 SAMN04883396
GCF_001697645.1 SAMN04883437
GCF_001697625.1 SAMN04883390
GCF_001697605.1 SAMN04883389
GCF_001697585.1 SAMN04883405
GCF_001697565.1 SAMN04883379
GCF_001697545.1 SAMN04883384
GCF_001697525.1 SAMN04883385
GCF_001697505.1 SAMN04883392
GCF_001697485.1 SAMN04883381
GCF_001697465.1 SAMN04883369
GCF_001697445.1 SAMN04883450
GCF_001697425.1 SAMN04883361
GCF_001697405.1 SAMN04883374
GCF_001697385.1 SAMN04883371
GCF_001697365.1 SAMN04883391
GCF_001697345.1 SAMN04883393
GCF_001697325.1 SAMN04883372
GCF_001697305.1 SAMN04883376
GCF_001697205.1 SAMN03944751
GCF_001697165.1 SAMN03944750
GCF_001697125.1 SAMN03944748
GCF_001697105.1 SAMN03944749
GCF_000787195.2 SAMN03203069
GCF_000191525.1 SAMN02604197
GCF_000191485.1 SAMN02604196
GCF_000191445.1 SAMN02604200
GCF_000191505.1 SAMN02604199
GCF_000152165.1 SAMN02603384
GCF_000191465.1 SAMN02604198
GCF_000191425.1 SAMN02604201
GCF_000253215.1 SAMEA2272690
GCF_000026965.1 SAMEA2272745
GCF_001029835.1 SAMN02595591
GCF_001029815.1 SAMN02595590
GCF_000816165.1 SAMN03201679
GCF_000800415.1 SAMN03022902
GCF_000800355.1 SAMN03022885
GCF_000800315.1 SAMN03020600
GCF_000800275.1 SAMN03020254
GCF_000800235.1 SAMN03020302
GCF_000626595.1 SAMN02709031
GCF_000083565.1 SAMEA3138289
GCF_000014105.1 SAMN02603605
GCF_000009465.1 SAMEA1705939
GCF_000009105.1 SAMEA1705949
GCF_000008805.1 SAMN02603997
