Pasteurella_multocida | número de entradas: 138 | date: 2023-05-03 10:45:34.251006
GCF_029873295.1 SAMN29020738
GCA_029762475.1 SAMN33747217
GCF_024055505.2 SAMN28553350
GCF_029224005.1 SAMN33607990
GCF_026723845.1 SAMN31765281
GCF_026636255.1 SAMN31750315
GCF_026409365.1 SAMN31765285
GCF_026409345.1 SAMN31765396
GCF_026409325.1 SAMN31736550
GCF_026409305.1 SAMN31765425
GCF_026409285.1 SAMN31765475
GCF_026409265.1 SAMN31765310
GCF_026409245.1 SAMN31765282
GCF_026409225.1 SAMN31765270
GCF_026315225.1 SAMN31751474
GCF_026315165.1 SAMN31751361
GCF_026315145.1 SAMN31751329
GCF_026315125.1 SAMN31750135
GCF_026315085.1 SAMN31750065
GCF_026315065.1 SAMN31749861
GCF_026153375.1 SAMN31560870
GCF_026153335.1 SAMN31560871
GCF_001670425.2 SAMN04285688
GCF_023587725.1 SAMN27163529
GCF_023587705.1 SAMN27163538
GCF_023587685.1 SAMN27163539
GCF_023587665.1 SAMN27163541
GCF_023587645.1 SAMN27163548
GCF_023587625.1 SAMN27163549
GCF_023587605.1 SAMN27163552
GCF_023587585.1 SAMN27163559
GCF_023587465.1 SAMN27163560
GCF_023587305.1 SAMN27163568
GCF_023587205.1 SAMN27163569
GCF_023587085.1 SAMN27163570
GCF_023586965.1 SAMN27163571
GCF_023573125.1 SAMN28553054
GCF_023573105.1 SAMN28552999
GCF_023573085.1 SAMN28552996
GCF_023573065.1 SAMN28553020
GCF_023573045.1 SAMN28553023
GCF_023573025.1 SAMN28552975
GCF_023573005.1 SAMN28553018
GCF_023572985.1 SAMN28552832
GCF_023572945.1 SAMN28552780
GCF_023572925.1 SAMN28552779
GCF_023572905.1 SAMN28552806
GCF_023572885.1 SAMN28548364
GCF_023572865.1 SAMN28548360
GCF_022637295.1 SAMN19461146
GCF_022179625.1 SAMD00436440
GCA_021474165.1 SAMN24595886
GCF_021474145.1 SAMN24595887
GCF_021441925.1 SAMN24596083
GCF_020971725.1 SAMN22599412
GCF_020221775.1 SAMN21591049
GCF_019916005.1 SAMN21014890
GCF_019754275.1 SAMN20845833
GCF_019754255.1 SAMN20842242
GCF_019134675.1 SAMN19771027
GCF_018139065.1 SAMN18753491
GCF_017815735.1 SAMN18520938
GCF_016313205.1 SAMN17080908
GCF_014495805.1 SAMN15955129
GCF_014058665.1 SAMN15501679
GCF_014058645.1 SAMN15501680
GCF_014058625.1 SAMN15501681
GCF_014058605.1 SAMN15501682
GCF_014058585.1 SAMN15501683
GCF_014058485.1 SAMN15501684
GCF_014058465.1 SAMN15501685
GCF_011390865.1 SAMN14001150
GCF_011149495.1 SAMN14260239
GCF_010443215.1 SAMN13867109
GCF_002891825.2 SAMN03860035
GCF_002891845.2 SAMN03860038
GCF_009739575.1 SAMN10373508
GCF_009739555.1 SAMN10371982
GCF_009646155.1 SAMN13069870
GCF_008693845.1 SAMN11056359
GCF_006351865.1 SAMN11964561
GCF_006274235.1 SAMN11963756
GCF_006232125.1 SAMN11040711
GCF_006232065.1 SAMN11049962
GCF_004792635.1 SAMN11349653
GCF_004792615.1 SAMN11349649
GCF_004792595.1 SAMN11349313
GCF_004792575.1 SAMN11349311
GCF_004792555.1 SAMN11349271
GCF_900638665.1 SAMEA104338374
GCF_900638315.1 SAMEA104167231
GCF_900636625.1 SAMEA3696435
GCF_003402935.1 SAMN09781076
GCF_003402915.1 SAMN09781075
GCF_003402895.1 SAMN09781074
GCF_003402875.1 SAMN09781073
GCF_003261475.1 SAMN08512321
GCA_003261355.1 SAMN08512318
GCF_900478175.1 SAMEA2822166
GCF_003061385.1 SAMN08912486
GCF_003061265.1 SAMN08912474
GCF_002073255.2 SAMN04875555
GCF_002073295.2 SAMN04875553
GCF_002948995.1 SAMN08498425
GCF_002859545.1 SAMN04622945
GCF_002859525.1 SAMN04622939
GCF_002859505.1 SAMN04622934
GCF_002859485.1 SAMN04622932
GCF_002859465.1 SAMN04622940
GCF_002859445.1 SAMN04622937
GCF_002859425.1 SAMN04622942
GCF_002859405.1 SAMN04622943
GCF_002859385.1 SAMN04622936
GCF_002859365.1 SAMN04622944
GCF_002859345.1 SAMN04622938
GCF_002859325.1 SAMN04622931
GCF_002859305.1 SAMN04622933
GCF_002859285.1 SAMN04622946
GCF_002859265.1 SAMN04622935
GCF_002859245.1 SAMN04622941
GCF_002591295.1 SAMN07312429
GCF_002393385.1 SAMN07312428
GCF_001578435.2 SAMN04528716
GCF_900187275.1 SAMEA4521464
GCF_002068175.1 SAMN06140952
GCF_002059225.1 SAMN06140953
GCF_001956795.1 SAMN06238074
GCF_001956675.1 SAMN06205305
GCF_001874445.1 SAMN05967336
GCF_001721885.1 SAMN04520874
GCF_001663095.1 SAMN03604281
GCF_000259545.1 SAMN02603505
GCF_000255915.1 SAMN02603325
GCF_000234745.1 SAMN02603284
GCF_000973565.1 SAMN03492042
GCF_000754275.1 SAMN02904551
GCF_000512395.1 SAMN02641508
GCF_000006825.1 SAMN02604085
