Stenotrophomonas_maltophilia | número de entradas: 80 | date: 2023-05-03 10:46:53.035344
GCF_029457435.1 SAMN33320463
GCF_028891445.1 SAMN33370506
GCF_027594805.1 SAMN23434718
GCF_026428295.1 SAMN09720998
GCF_025642255.1 SAMN30996861
GCF_025426215.1 SAMN30637997
GCF_020641355.2 SAMN21163378
GCF_020641395.2 SAMN21163376
GCF_020641085.2 SAMN21163379
GCF_020641095.2 SAMN21163375
GCF_020641455.2 SAMN21163374
GCF_020641415.2 SAMN21163373
GCF_020641075.2 SAMN21163372
GCF_020641425.2 SAMN21163377
GCF_020641365.2 SAMN21163380
GCF_025200825.1 SAMN28910278
GCF_024734725.1 SAMN30333624
GCF_023702495.1 SAMN28867336
GCF_023277525.1 SAMN20569879
GCF_022014735.1 SAMN25416139
GCF_021441865.1 SAMN24492124
GCF_021378335.1 SAMN18275197
GCF_021117255.1 SAMN23441566
GCF_021117235.1 SAMN23441567
GCF_021117215.1 SAMN23441568
GCF_021117195.1 SAMN23441569
GCF_021117175.1 SAMN23441570
GCF_918593995.1 SAMEA10558844
GCF_020132085.1 SAMN15794714
GCF_020080085.1 SAMN21404530
GCA_019203765.1 SAMN19929417
GCF_019048905.1 SAMN19803883
GCF_016659185.1 SAMN17255814
GCF_016126935.1 SAMN16357213
GCA_014171555.1 SAMN14081051
GCF_014156975.1 SAMD00194327
GCF_014076535.1 SAMN12671355
GCF_012971765.1 SAMN12500624
GCF_012647025.1 SAMN14591332
GCF_011386925.1 SAMN14206046
GCF_011067225.1 SAMN14209924
GCF_009857175.1 SAMN13642261
GCF_009676605.1 SAMN11652191
GCF_009676585.1 SAMN11652192
GCF_009676565.1 SAMN11652193
GCF_009676545.1 SAMN11652194
GCF_009676525.1 SAMN11652196
GCF_009676505.1 SAMN11652195
GCF_009676485.1 SAMN11652197
GCF_009676465.1 SAMN11652198
GCF_009676445.1 SAMN11652199
GCF_009676425.1 SAMN11652200
GCF_009676405.1 SAMN11652201
GCF_009676385.1 SAMN11652202
GCF_009618035.1 SAMD00190103
GCF_008693985.1 SAMN11056364
GCF_007833655.1 SAMN09665072
GCF_006974125.1 SAMN11032470
GCF_900636905.1 SAMEA4537264
GCF_900636655.1 SAMEA3724090
GCF_003812985.1 SAMN10163201
GCF_900475685.1 SAMEA3956094
GCF_900475405.1 SAMEA3856672
GCF_003205835.1 SAMN09355365
GCF_002189545.2 SAMN06678536
GCF_003030985.1 SAMN08798397
GCF_003006435.1 SAMN08643285
GCF_002208885.2 SAMN06173338
GCF_002951115.1 SAMN03996266
GCF_002847385.1 SAMN08161503
GCF_900186865.1 SAMEA4076705
GCF_002138415.1 SAMN04992827
GCF_002025605.1 SAMN06130959
GCF_001274675.1 SAMN03389649
GCF_001274655.1 SAMN03389647
GCF_001274595.1 SAMN03389650
GCF_000284595.1 SAMEA2272378
GCF_000223885.1 SAMN02261377
GCF_000072485.1 SAMEA1705934
GCF_000020665.1 SAMN00623065
