Streptococcus_agalactiae | número de entradas: 150 | date: 2023-05-03 10:46:58.845621
GCF_029625275.1 SAMN33836061
GCF_029625255.1 SAMN33836060
GCF_029537275.1 SAMN33760391
GCF_029278525.1 SAMN33687318
GCF_029011675.1 SAMN33275441
GCF_029011635.1 SAMN33275442
GCF_029011195.1 SAMN33275459
GCF_025808195.1 SAMN31213618
GCF_025402775.1 SAMN30873149
GCF_025402755.1 SAMN30873150
GCF_025402735.1 SAMN30873151
GCF_021655535.1 SAMD00173301
GCF_021496965.1 SAMN12355400
GCF_021496945.1 SAMN03329878
GCF_021496905.1 SAMN12355373
GCF_021496885.1 SAMN12355421
GCF_021496865.1 SAMN03329918
GCF_021496845.1 SAMN03329919
GCF_021496825.1 SAMN03329869
GCF_021496805.1 SAMN03329879
GCF_021460195.1 SAMN22108509
GCF_021460175.1 SAMN22108510
GCF_019552345.1 SAMN03329970
GCA_016454805.1 SAMN14644153
GCF_015221735.2 SAMN16191206
GCF_014218155.1 SAMN12355383
GCF_014218135.1 SAMN12355381
GCF_014218115.1 SAMN12355372
GCF_014218095.1 SAMN12355365
GCF_014218075.1 SAMN12355362
GCF_013786965.1 SAMN15580042
GCF_013414325.1 SAMN15246708
GCF_013000945.1 SAMN14677105
GCF_012593885.1 SAMN13536106
GCF_012222485.1 SAMN10907844
GCF_011383065.1 SAMN14331836
GCF_009930915.1 SAMN08374240
GCF_009930895.1 SAMN08374174
GCF_008693585.1 SAMN11056385
GCF_008693505.1 SAMN11056384
GCF_006874565.1 SAMN09267180
GCF_006716245.1 SAMN09229090
GCF_001729925.2 SAMN05370985
GCF_900638495.1 SAMEA104224788
GCF_003966545.1 SAMD00137662
GCF_900638415.1 SAMEA104210798
GCF_900636375.1 SAMEA3529271
GCF_003939065.1 SAMN09379579
GCF_003812805.1 SAMN10163206
GCF_003403115.1 SAMN09789228
GCF_003319215.1 SAMN09606624
GCF_003288075.1 SAMN07178058
GCF_003288055.1 SAMN07178059
GCF_003288035.1 SAMN07178057
GCF_003288015.1 SAMN07178060
GCF_003287995.1 SAMN07178061
GCF_900475355.1 SAMEA3856681
GCF_900474905.1 SAMEA3597587
GCA_003186145.1 SAMN07998570
GCF_002073695.2 SAMN04875580
GCF_002882835.1 SAMN06294326
GCF_002882745.1 SAMN06294325
GCF_002882645.1 SAMN06294323
GCF_002882555.1 SAMN06294321
GCF_002882465.1 SAMN06294320
GCF_002882375.1 SAMN06294319
GCF_002882275.1 SAMN06294313
GCF_002882205.1 SAMN06294311
GCF_002882125.1 SAMN06294309
GCF_002882035.1 SAMN06294304
GCF_002881935.1 SAMN06294302
GCF_002881865.1 SAMN06294297
GCF_002881775.1 SAMN06294327
GCF_002881695.1 SAMN06294324
GCF_002881615.1 SAMN06294322
GCF_002881595.1 SAMN06294318
GCF_002881575.1 SAMN06294317
GCF_002881555.1 SAMN06294316
GCF_002881535.1 SAMN06294315
GCF_002881515.1 SAMN06294314
GCF_002881495.1 SAMN06294312
GCF_002881475.1 SAMN06294310
GCF_002881455.1 SAMN06294308
GCA_002881435.1 SAMN06294306
GCF_002881415.1 SAMN06294305
GCA_002881395.1 SAMN06294303
GCF_002881375.1 SAMN06294301
GCF_002881355.1 SAMN06294300
GCF_002881335.1 SAMN06294299
GCF_002881315.1 SAMN06294298
GCF_002881295.1 SAMN06294292
GCF_002881275.1 SAMN06294291
GCF_002881255.1 SAMN06294290
GCF_002881235.1 SAMN06294295
GCF_002881215.1 SAMN06294289
GCF_002881195.1 SAMN06294296
GCF_002881175.1 SAMN06294294
GCF_002881155.1 SAMN06294293
GCF_002812505.1 SAMN08111303
GCF_002812465.1 SAMN08111300
GCF_002812445.1 SAMN08111301
GCF_002812425.1 SAMN08111302
GCF_002289205.1 SAMN07374522
GCF_002214425.1 SAMN02850626
GCF_002197425.1 SAMN05384092
GCF_002197385.1 SAMN05384060
GCF_002197365.1 SAMN05384057
GCF_002197325.1 SAMN05384054
GCF_002197305.1 SAMN05384059
GCF_002197285.1 SAMN05384163
GCF_002197265.1 SAMN05384089
GCF_002197245.1 SAMN05384208
GCF_002197205.1 SAMN05384056
GCF_900155855.1 SAMEA46071418
GCF_000302475.2 SAMN02603506
GCF_002025025.1 SAMN06329441
GCF_002025005.1 SAMN06445344
GCF_001932715.1 SAMN04376007
GCF_001908255.1 SAMN06124256
GCF_900078265.1 SAMEA3888151
GCF_001712835.1 SAMN04007152
GCF_001683515.1 SAMN05187216
GCF_001655175.1 SAMN05185185
GCF_001592425.1 SAMN03331944
GCF_001592385.1 SAMN03331945
GCF_001552035.1 SAMN04007140
GCF_001448985.1 SAMN04111187
GCF_001275545.2 SAMN04002524
GCF_001266635.1 SAMN03108598
GCF_001190885.1 SAMN02991570
GCF_001190865.1 SAMN02906739
GCF_001190805.1 SAMN02992126
GCF_000299135.1 SAMN02603155
GCF_001026925.1 SAMN03329971
GCF_000967445.1 SAMEA3283110
GCF_000196055.1 SAMEA3138330
GCF_000831145.1 SAMN02720890
GCF_000831125.1 SAMN05771130
GCF_000831105.1 SAMN05771129
GCF_000782855.1 SAMN03178022
GCF_000730215.1 SAMN02741687
GCF_000730255.1 SAMN02741688
GCF_000689235.1 SAMEA3139000
GCF_000636115.1 SAMN02721568
GCF_000599965.1 SAMN02689812
GCF_000427075.1 SAMEA2272371
GCF_000427055.1 SAMEA2272025
GCF_000427035.1 SAMEA2272272
GCF_000012705.1 SAMN02604011
GCF_000007265.1 SAMN02604013
