Streptococcus_equi | número de entradas: 33 | date: 2023-05-03 10:47:06.089971
GCA_029910475.1 SAMN33707028
GCF_021029685.1 SAMN19647690
GCF_021029665.1 SAMN19647685
GCA_019645895.1 SAMN20691904
GCA_011316785.2 SAMN13268575
GCF_018604745.1 SAMN18051970
GCF_018604685.1 SAMN18051974
GCF_018604665.1 SAMN18051975
GCF_018604625.1 SAMN18051978
GCF_018140535.1 SAMN18752700
GCF_015689455.1 SAMN16565173
GCF_015689435.1 SAMN16565172
GCF_015689415.1 SAMN16565169
GCF_015689395.1 SAMN16565168
GCF_015689375.1 SAMN16565171
GCF_015689355.1 SAMN16565170
GCF_015767555.1 SAMN16565175
GCA_015767535.1 SAMN16565174
GCF_009676685.2 SAMN13257910
GCF_009676725.1 SAMN13257493
GCF_009676645.1 SAMN13257491
GCF_900637675.1 SAMEA24552418
GCF_900636805.1 SAMEA3871788
GCF_900475295.1 SAMEA3696439
GCF_900475125.1 SAMEA3597586
GCF_900474875.1 SAMEA3542451
GCF_900474805.1 SAMEA3542438
GCA_002202295.1 SAMN07173892
GCF_000219765.1 SAMN02603034
GCF_000696505.1 SAMN02997653
GCF_000026605.1 SAMEA2272197
GCF_000026585.1 SAMEA2272426
GCF_000020765.1 SAMN02603943
