Yersinia_ruckeri | número de entradas: 37 | date: 2023-05-03 10:48:12.489523
GCF_023212445.2 SAMN22982383
GCF_023212565.2 SAMN22982378
GCF_023212425.2 SAMN22982385
GCF_023212385.2 SAMN22982389
GCF_023212325.2 SAMN22982390
GCF_023212585.2 SAMN23150584
GCF_026435835.1 SAMN28878999
GCF_026435655.1 SAMN28879000
GCF_026435495.1 SAMN28879001
GCF_026435335.1 SAMN28879002
GCF_026435315.1 SAMN28879003
GCF_026435295.1 SAMN28879004
GCF_026435275.1 SAMN28879005
GCF_026435255.1 SAMN28879006
GCF_026435235.1 SAMN28879007
GCF_026435215.1 SAMN28879008
GCF_026435195.1 SAMN28879009
GCF_026435175.1 SAMN28879010
GCF_026435155.1 SAMN28879011
GCF_026435135.1 SAMN28879012
GCF_026435115.1 SAMN28879013
GCF_021399235.1 SAMN21914069
GCF_021399215.1 SAMN21914067
GCF_021399195.1 SAMN21914070
GCF_021399175.1 SAMN21914068
GCF_021399155.1 SAMN21914072
GCF_021399135.1 SAMN21914071
GCF_021399115.1 SAMN21914073
GCF_021399095.1 SAMN21914074
GCF_021399075.1 SAMN21914076
GCF_021399055.1 SAMN21914075
GCF_017498685.1 SAMN16418414
GCF_002442495.2 SAMN07594326
GCF_000775355.2 SAMN03112801
GCF_002192595.1 SAMN03287980
GCF_000964565.1 SAMN03421018
GCF_000834255.1 SAMN03010447
