Acinetobacter | número de entradas: 878 | date: 2023-05-03 10:40:35.083817
GCA_029909475.1 SAMN34271990
GCF_029906465.1 SAMN34258005
GCF_029873195.1 SAMN31210261
GCF_029814975.1 SAMN16560991
GCF_029774355.1 SAMN19690117
GCF_029774335.1 SAMN19690116
GCF_029774315.1 SAMN19690115
GCF_029774295.1 SAMN16560992
GCF_029774275.1 SAMN16560993
GCF_029774235.1 SAMN16560994
GCF_029774195.1 SAMN30697790
GCF_029674845.1 SAMN34062947
GCF_029674825.1 SAMN34062951
GCF_029674805.1 SAMN34062976
GCF_029674685.1 SAMN33498121
GCF_029582015.1 SAMN31681934
GCF_029459775.1 SAMN31681938
GCF_029459755.1 SAMN31681939
GCF_029459655.1 SAMN31681940
GCF_029459635.1 SAMN31681941
GCF_029459615.1 SAMN31681942
GCF_029392135.1 SAMN31060675
GCA_029223565.1 SAMN30697644
GCA_029168575.1 SAMN33465245
GCF_029168555.1 SAMN33546470
GCA_029168535.1 SAMN33446731
GCA_029168515.1 SAMN33446730
GCA_029168495.1 SAMN33464299
GCA_029168475.1 SAMN33446574
GCA_029168455.1 SAMN33467113
GCA_029168435.1 SAMN33466636
GCA_029168415.1 SAMN33466342
GCA_029168395.1 SAMN33475902
GCA_029168375.1 SAMN33465848
GCA_029168355.1 SAMN33446732
GCF_029025845.1 SAMN33268550
GCF_029025705.1 SAMN33440631
GCF_029024105.1 SAMN33336513
GCF_028753295.1 SAMN30174926
GCF_028752815.1 SAMN20255406
GCA_028752795.1 SAMN20255405
GCF_028751705.1 SAMN20255403
GCA_028751665.1 SAMN19522711
GCF_028622915.1 SAMN32734002
GCF_028622775.1 SAMN32733960
GCF_028622715.1 SAMN32734006
GCF_028622695.1 SAMN32733979
GCF_028621895.1 SAMN32722957
GCF_028657965.1 SAMN19459915
GCF_028583505.1 SAMN31681936
GCF_028583485.1 SAMN31681937
GCF_028583465.1 SAMN31681935
GCA_028464025.1 SAMN11997570
GCF_028464005.1 SAMN11997571
GCF_028370175.1 SAMN32805326
GCA_028201695.1 SAMN32745367
GCA_028201675.1 SAMN32745368
GCF_028201495.1 SAMN32770956
GCA_027943705.1 SAMD00414017
GCA_027943685.1 SAMD00258369
GCF_027942235.1 SAMN27606092
GCA_027941715.1 SAMN32261885
GCA_023093135.2 SAMN27739163
GCA_022916555.2 SAMN27182072
GCA_023615705.2 SAMN28788563
GCA_024922185.2 SAMN30655645
GCA_023054035.2 SAMN27591179
