Bacillus_cereus_group | número de entradas: 396 | date: 2023-05-03 10:40:58.765771
GCF_029636705.1 SAMN32614574
GCF_029636605.1 SAMN32614595
GCF_029636405.1 SAMN32614585
GCF_029282725.1 SAMN33463191
GCF_029027925.1 SAMN28980187
GCF_029024805.1 SAMN33336515
GCA_025946485.2 SAMN31311886
GCF_028607045.1 SAMN33094253
GCF_028356755.1 SAMN32746260
GCF_028356555.1 SAMN32746259
GCF_027945115.1 SAMN32721127
GCF_027627765.1 SAMN31131917
GCF_027627745.1 SAMN31131916
GCF_027627725.1 SAMN31131915
GCF_027626015.1 SAMN32338359
GCF_027625975.1 SAMN13865275
GCA_026874145.1 SAMN30148863
GCA_026874125.1 SAMN30148851
GCA_026874105.1 SAMN30148864
GCF_026684175.1 SAMN31888295
GCF_026559795.1 SAMN31227707
GCF_026559775.1 SAMN31227706
GCF_026559755.1 SAMN31227705
GCF_026559735.1 SAMN31227700
GCF_026559715.1 SAMN31227697
GCF_025960305.1 SAMN31432031
GCF_025947955.1 SAMN28108890
GCF_025917685.1 SAMN23897437
GCF_025677725.1 SAMN31013773
GCF_025502485.1 SAMN30959809
GCF_024919115.1 SAMN30473217
GCF_024396795.1 SAMN27777120
GCF_024396775.1 SAMN27776999
GCF_024296885.1 SAMN29494290
GCF_024134505.1 SAMN29358476
GCF_023921665.1 SAMN18221107
GCF_023824115.1 SAMN22304414
GCF_023824095.1 SAMN22304413
GCF_023824055.1 SAMN22304411
GCF_023824035.1 SAMN22304410
GCF_023159405.1 SAMN19981404
GCF_023094015.1 SAMN27611792
GCF_023008425.1 SAMN26288012
GCF_022810725.1 SAMN03890260
GCF_022810705.1 SAMN04513597
GCF_022700995.1 SAMN16562415
GCF_022630575.1 SAMN26561939
GCF_022532085.1 SAMN26328110
GCF_022221345.1 SAMN18241461
GCF_022221325.1 SAMN18241462
GCF_022221305.1 SAMN18241463
GCF_022221285.1 SAMN18241464
GCF_022221265.1 SAMN18241465
GCF_022221245.1 SAMN18241466
GCF_022221225.1 SAMN18241467
GCF_022221205.1 SAMN18241468
GCF_022221185.1 SAMN18241469
GCF_022221165.1 SAMN18241470
GCF_022221145.1 SAMN18241471
GCF_022221125.1 SAMN18241472
GCF_022221105.1 SAMN18241473
GCF_022221085.1 SAMN02469407
GCF_022221065.1 SAMN13164730
GCF_022221045.1 SAMN13164726
GCF_022221025.1 SAMN13164716
GCF_022221005.1 SAMN13164724
GCF_022220985.1 SAMN13164747
GCF_022220965.1 SAMN13164740
GCF_022220945.1 SAMN13164734
GCF_022220925.1 SAMN13164741
GCF_022220905.1 SAMN13164717
GCF_022220685.1 SAMN13640833
GCF_022220665.1 SAMN13164733
GCF_022220645.1 SAMN13164731
GCF_022220625.1 SAMN13164718
GCF_022220605.1 SAMN13164723
GCF_022220585.1 SAMN13164720
GCF_022220565.1 SAMN13164715
GCF_022220545.1 SAMN13164732
GCF_022220525.1 SAMN13164728
GCF_022220505.1 SAMN13164746
GCF_022170805.1 SAMN20890002
GCF_022014775.1 SAMN25418999
GCF_022014795.1 SAMN25419190
GCF_022014755.1 SAMN25416578
GCA_021655395.1 SAMD00203345
GCA_021655375.1 SAMD00203344
GCF_021655355.1 SAMD00203343
GCF_021655335.1 SAMD00203342
GCF_021655315.1 SAMD00203341
GCF_021655275.1 SAMD00203339
GCF_021655255.1 SAMD00203338
GCF_021655235.1 SAMD00203337
GCF_021655215.1 SAMD00203336
GCF_021655195.1 SAMD00203335
GCF_021655175.1 SAMD00203334
GCF_021655135.1 SAMD00203332
GCF_021655055.1 SAMD00203331
GCF_021655035.1 SAMD00203330
GCF_021655015.1 SAMD00203329
GCF_021654995.1 SAMD00203328
GCF_021654975.1 SAMD00203327
GCA_021654955.1 SAMD00203326
GCF_021654935.1 SAMD00203325
GCF_021654915.1 SAMD00203324
GCF_021654895.1 SAMD00203323
GCF_021654875.1 SAMD00203322
GCF_021651035.1 SAMN13118470
GCF_021390035.1 SAMN22566405
GCF_021249305.1 SAMN24016028
GCF_018779945.3 SAMN15012570
GCF_020861345.1 SAMN21380731
GCF_020809245.1 SAMN21214332
GCF_020809205.1 SAMN21214333
GCF_020809185.1 SAMN21214335
GCF_020809165.1 SAMN21214336
GCF_020809145.1 SAMN21214337
GCF_020809125.1 SAMN21214334
GCF_020809105.1 SAMN21214338
GCF_006349715.2 SAMN11959879
GCF_019693235.1 SAMN20475816
GCA_000732525.2 SAMN02834838
GCF_018885365.1 SAMN19606524
GCF_018884185.1 SAMN16416451
GCF_018751995.1 SAMN10879060
GCF_018742285.1 SAMN10879081
GCF_018742265.1 SAMN10879066
GCF_018742245.1 SAMN10879080
GCF_018742225.1 SAMN10879079
GCF_018742205.1 SAMN10879084
GCF_018742185.1 SAMN10879068
GCF_018742105.1 SAMN10879066
GCF_018742045.1 SAMN10879070
GCA_018741985.1 SAMN17164168
GCF_018741645.1 SAMN10879067
GCF_018741625.1 SAMN10879049
GCF_018741605.1 SAMN10879058
GCF_018741585.1 SAMN10879072
GCF_018741565.1 SAMN10879071
GCF_018741545.1 SAMN10879078
GCF_018741525.1 SAMN10879053
GCF_018741505.1 SAMN10879070
GCF_018741465.1 SAMN10879083
GCF_018741405.1 SAMN10879069
GCF_018741285.1 SAMN10879065
GCF_018741165.1 SAMN10879063
GCF_018741145.1 SAMN10879068
GCF_018741125.1 SAMN10879088
GCF_018741085.1 SAMN10879052
GCF_018741005.1 SAMN10879075
GCF_018740945.1 SAMN10879074
GCF_018739705.1 SAMN10879077
GCF_018739685.1 SAMN10879086
GCF_018739665.1 SAMN10879062
GCF_018739645.1 SAMN10879073
GCF_018739625.1 SAMN10879076
GCF_018739605.1 SAMN10879057
GCF_018739545.1 SAMN10879064
GCF_018739525.1 SAMN10879085
GCF_018739505.1 SAMN10879051
GCF_018739485.1 SAMN10879087
GCF_018739445.1 SAMN10879056
GCF_018739385.1 SAMN10879084
GCF_018739365.1 SAMN10879050
GCF_018739305.1 SAMN10879061
GCF_018736765.1 SAMN10879055
GCF_018736745.1 SAMN10879059
GCF_018736725.1 SAMN10879054
GCF_018736705.1 SAMN10879082
GCF_018309145.1 SAMN18603854
GCF_018309125.1 SAMN18603837
GCF_018141085.1 SAMN14440804
GCF_018141025.1 SAMN13705136
GCF_017909435.1 SAMN17065807
GCF_017909395.1 SAMN17065808
GCF_017909295.1 SAMN17065809
GCF_017909235.1 SAMN17065810
GCF_017909135.1 SAMN17065811
GCF_017909015.1 SAMN17065812
GCF_017751245.1 SAMN12229110
GCF_016917795.1 SAMN17864500
GCF_016774555.1 SAMN17369856
GCF_016774535.1 SAMN17369855
GCF_016605985.1 SAMN16812771
GCF_002980615.3 SAMN08627228
GCF_016070565.1 SAMN14343650
GCF_016027575.1 SAMN13450427
GCF_016027015.1 SAMN13450448
GCF_016026855.1 SAMN13450450
GCF_015693885.1 SAMN16815327
GCF_013177495.2 SAMN14944756
GCF_013343075.1 SAMN11056506
GCF_013331815.1 SAMN11056497
GCF_013267815.1 SAMN11056507
GCF_013267795.1 SAMN11056509
GCF_013267775.1 SAMN11056512
GCF_013267475.1 SAMN11056495
GCF_013267455.1 SAMN11056496
GCF_013267335.1 SAMN11056508
GCF_013267315.1 SAMN11056510
GCF_013267295.1 SAMN11056511
GCF_013267275.1 SAMN11056513
GCF_013267255.1 SAMN11056514
GCF_013267235.1 SAMN11056517
GCF_013113775.1 SAMN14614897
GCF_010669045.1 SAMN14074934
GCA_009884335.1 SAMN12340779
GCF_009884315.1 SAMN12340734
GCA_009873395.1 SAMN12302793
GCF_000295695.2 SAMN02469407
GCF_009806695.1 SAMN11056419
GCF_009806675.1 SAMN11056420
GCF_009806655.1 SAMN11056421
GCF_009806635.1 SAMN11056415
GCF_009806615.1 SAMN11056416
GCF_009806595.1 SAMN11056413
GCF_009799965.1 SAMN13620036
GCF_009740005.1 SAMN10739311
GCF_009739945.1 SAMN10819129
GCF_009739925.1 SAMN10819077
GCA_009738575.1 SAMN13391868
GCF_009497015.2 SAMN13111578
GCF_009648955.1 SAMN10574728
GCF_009025915.1 SAMN12860338
GCF_008807735.1 SAMN10058771
GCF_008274925.1 SAMN09370089
GCF_008274905.1 SAMN09370087
GCF_006742565.1 SAMD00171951
GCF_006384875.1 SAMN09111977
GCF_006151925.1 SAMN11931319
GCF_006094295.1 SAMN10591533
GCF_006088855.1 SAMN09041402
GCF_005848985.1 SAMN11534844
GCF_005155285.1 SAMN11479299
GCF_004801195.1 SAMN11244868
GCF_004367995.1 SAMN11079031
GCF_004328845.1 SAMN08456585
GCF_004006495.1 SAMN09652006
GCF_003966295.1 SAMN10584399
GCA_003866015.1 SAMN07977110
GCF_003626955.1 SAMN10141297
GCF_003612955.1 SAMN09761867
GCF_003445395.2 SAMN04288432
GCF_000534935.2 SAMD00002586
GCF_003546665.1 SAMN07981265
GCF_003410355.1 SAMN09789252
GCF_003410255.1 SAMN09789251
GCF_003227955.1 SAMN03790807
GCF_002250905.2 SAMN07367962
GCF_002251005.2 SAMN07367964
GCF_002250965.2 SAMN07367958
GCF_002250945.2 SAMN07367959
GCF_002251025.2 SAMN07367960
GCF_002250925.2 SAMN07367961
GCF_002251055.2 SAMN07367955
GCF_002251045.2 SAMN07367956
GCF_002251115.2 SAMN07367957
GCF_002250885.2 SAMN07367963
GCF_003013315.1 SAMN08455831
GCF_002208785.1 SAMN06173354
GCF_000512775.2 SAMN02641484
GCF_002073415.2 SAMN04875572
GCF_002833485.1 SAMN08026715
GCF_002813875.1 SAMN07821877
GCF_002356575.1 SAMD00026520
GCF_002290105.1 SAMN07593956
GCF_002277915.1 SAMN07498358
GCF_002243685.1 SAMN06706903
GCF_002222555.1 SAMN07317425
GCF_002220285.1 SAMN05506965
GCF_002215175.1 SAMN05300204
GCF_002214725.1 SAMN05300199
GCF_002192515.1 SAMN06689774
GCF_002184245.1 SAMN06197294
GCF_002119445.1 SAMN06844127
GCF_002104575.1 SAMN06706669
GCF_002025105.1 SAMN06473083
GCF_001990245.1 SAMN06270326
GCF_001941925.1 SAMN05442529
GCF_001941905.1 SAMN05442524
GCF_001941885.1 SAMN05442525
GCF_001936375.1 SAMN06186720
GCF_001880305.1 SAMN04924832
GCF_000512835.2 SAMN02641483
GCF_001831375.1 SAMN05607843
GCF_001721165.1 SAMN04513593
GCF_001692675.1 SAMN05417762
GCF_001685565.1 SAMN03890259
GCF_001683295.1 SAMN04075686
GCF_001683275.1 SAMN04075685
GCF_001683255.1 SAMN04075684
GCF_001683235.1 SAMN04075683
GCF_001683215.1 SAMN04075682
GCF_001683195.1 SAMN04075681
GCF_001683175.1 SAMN04075680
GCF_001683155.1 SAMN04075677
GCF_001683135.1 SAMN04075676
GCF_001683095.1 SAMN04093743
GCF_001683065.1 SAMN04093744
GCF_001675515.1 SAMN05232858
GCF_001654475.1 SAMN05003865
GCF_000635895.2 SAMN02693464
GCF_001640965.1 SAMN04628222
GCF_001635995.1 SAMN03457175
GCF_001635955.1 SAMN03457174
GCF_001635915.1 SAMN03457169
GCF_001618665.1 SAMN04605079
GCF_001598095.1 SAMN04266503
GCF_001595725.1 SAMN04469537
GCF_001543225.1 SAMN04442145
GCF_001455345.1 SAMN04278951
GCF_001420855.1 SAMN04210076
GCF_000338755.1 SAMN02603412
GCF_000341665.1 SAMN02604143
GCF_000774075.2 SAMN02727381
GCF_000292705.1 SAMN02603564
GCF_001277915.1 SAMN03785549
GCF_000306745.1 SAMN02603279
GCF_000300475.1 SAMN02603757
GCF_001183785.1 SAMN03121810
GCF_001182785.1 SAMN03840349
