Clostridium_perfringens | número de entradas: 77 | date: 2023-05-03 10:41:42.089958
GCF_029581155.1 SAMN33826337
GCF_029580895.1 SAMN33824391
GCF_029580815.1 SAMN33826312
GCF_029580795.1 SAMN33826306
GCF_029580775.1 SAMN33824413
GCF_029580675.1 SAMN33820436
GCF_029541585.1 SAMN33819949
GCF_029393235.1 SAMN32781891
GCF_029393075.1 SAMN32781892
GCA_029392975.1 SAMN32781894
GCF_029392955.1 SAMN32781895
GCF_029392935.1 SAMN32781893
GCF_029392915.1 SAMN32781896
GCF_029233855.1 SAMN28005067
GCF_028867175.1 SAMN33306092
GCF_028743735.1 SAMN33244154
GCA_028472985.1 SAMN24532405
GCF_026072755.1 SAMD00402162
GCF_025989775.1 SAMD00523266
GCF_025946785.1 SAMN31421577
GCF_025677705.1 SAMN30965902
GCA_025643675.1 SAMN12648941
GCA_025643655.1 SAMN12648943
GCF_024652865.1 SAMN27755654
GCF_024652845.1 SAMN28405500
GCF_024599955.1 SAMN28416573
GCF_024599935.1 SAMN28230540
GCF_024599915.1 SAMN28416506
GCF_022429605.1 SAMN26101717
GCF_020139295.1 SAMN18175726
GCF_020139275.1 SAMN18175742
GCF_020139255.1 SAMN18175743
GCF_020139235.1 SAMN18175744
GCF_020139215.1 SAMN18175741
GCF_020138795.1 SAMN18175734
GCF_020138775.1 SAMN18175750
GCF_020138755.1 SAMN18175727
GCF_020138735.1 SAMN18175739
GCF_020138715.1 SAMN18175740
GCF_020138695.1 SAMN18175729
GCF_020138675.1 SAMN18175730
GCF_020138655.1 SAMN18175731
GCF_020138635.1 SAMN18175732
GCF_020138615.1 SAMN18175723
GCF_020138595.1 SAMN18175749
GCF_020138575.1 SAMN18175724
GCF_020138555.1 SAMN18175725
GCF_020138535.1 SAMN18175728
GCF_020138515.1 SAMN18175735
GCF_020138495.1 SAMN18175745
GCF_020138475.1 SAMN18175736
GCF_020138455.1 SAMN18175746
GCF_020138435.1 SAMN18175747
GCF_020138415.1 SAMN18175748
GCF_020138395.1 SAMN18175737
GCF_020138375.1 SAMN18175738
GCF_020138355.1 SAMN18175751
GCF_020138335.1 SAMN18175752
GCF_018135545.1 SAMN18740316
GCF_016027375.1 SAMN13450433
GCF_016027155.1 SAMN13450434
GCF_016026995.1 SAMN13450435
GCF_016026675.1 SAMN13450461
GCF_902386435.1 SAMEA5851876
GCF_003350945.1 SAMN08771210
GCF_900478015.1 SAMEA4040483
GCF_900475545.1 SAMEA3867463
GCF_003203455.1 SAMN08195748
GCF_002355795.1 SAMD00057672
GCF_002312985.1 SAMN07624709
GCF_000013845.2 SAMN02604026
GCF_001854085.1 SAMN04209542
GCF_001579785.1 SAMN03377063
GCF_001579765.1 SAMN03372134
GCF_001304735.1 SAMN03140316
GCF_000013285.1 SAMN02604008
GCF_000009685.1 SAMD00061119
