Legionella_pneumophila | número de entradas: 119 | date: 2023-05-03 10:44:41.579509
GCA_027920625.1 SAMN32643989
GCA_027920605.1 SAMN32643990
GCA_027920585.1 SAMN32643992
GCA_027920565.1 SAMN32643993
GCF_027286285.1 SAMN32225163
GCF_027286265.1 SAMN32225162
GCF_026689515.1 SAMN31452916
GCF_026689495.1 SAMN31452917
GCF_026689475.1 SAMN31452921
GCF_026689455.1 SAMN31452932
GCF_026689435.1 SAMN31452936
GCF_026689415.1 SAMN31452938
GCF_026689395.1 SAMN31452945
GCF_022870105.1 SAMN14078810
GCF_022220445.1 SAMN25696377
GCF_019974095.1 SAMD00393827
GCF_019930805.1 SAMN20888899
GCF_019930765.1 SAMN20888900
GCF_014789345.1 SAMN16234158
GCF_010669065.1 SAMEA4394418
GCF_009664815.1 SAMN13191634
GCF_006364635.1 SAMN11056494
GCF_900637585.1 SAMEA44537668
GCF_900636955.1 SAMEA3923587
GCF_900635825.1 SAMEA3111979
GCF_900635115.1 SAMEA3111980
GCF_900475735.1 SAMEA3923592
GCF_900475745.1 SAMEA3905390
GCF_001590615.2 SAMN04438305
GCF_003004335.1 SAMN06928774
GCF_003004315.1 SAMN06928753
GCF_003004295.1 SAMN06928755
GCF_003004275.1 SAMN06928758
GCF_003004255.1 SAMN06928761
GCF_003004235.1 SAMN06928772
GCF_003004215.1 SAMN06928763
GCF_003004195.1 SAMN06928773
GCF_003004175.1 SAMN06928756
GCF_003004155.1 SAMN06928757
GCF_003004135.1 SAMN06928759
GCF_003004115.1 SAMN06928765
GCF_003004065.1 SAMN06928768
GCF_003003955.1 SAMN06928769
GCF_003003865.1 SAMN06928770
GCF_003003815.1 SAMN06928754
GCF_003003755.1 SAMN06928760
GCF_003003675.1 SAMN06928762
GCF_003003595.1 SAMN06928764
GCF_003003555.1 SAMN06928766
GCF_003003535.1 SAMN06928767
GCF_003003515.1 SAMN06928771
GCF_002813735.1 SAMN05856000
GCF_002813715.1 SAMN05856001
GCF_900186855.1 SAMEA4040027
GCF_900186925.1 SAMEA4040028
GCF_001989475.1 SAMN04544730
GCF_001969405.1 SAMN04544525
GCF_001941585.1 SAMN03988484
GCF_900119765.1 SAMEA4535100
GCF_900119775.1 SAMEA4535098
GCF_900119755.1 SAMEA4535097
GCF_900119785.1 SAMEA4535099
GCF_001886835.1 SAMN05818649
GCF_001886795.1 SAMN05818658
GCF_001766375.1 SAMN05513581
GCF_001766355.1 SAMN05513580
GCF_001766335.1 SAMN05513579
GCF_001766315.1 SAMN05513578
GCF_001766295.1 SAMN05513577
GCF_001766275.1 SAMN05513576
GCF_001677115.2 SAMN05199028
GCF_001677075.2 SAMN05198688
GCF_001753405.1 SAMN05180041
GCF_001753385.1 SAMN05180040
GCF_001753365.1 SAMN05180039
GCF_001753345.1 SAMN05180038
GCF_001753325.1 SAMN05180037
GCF_001753305.1 SAMN05180036
GCF_001753285.1 SAMN05180035
GCF_001753265.1 SAMN05180034
GCF_001753145.1 SAMN05180033
GCF_001753125.1 SAMN05180032
GCF_001753105.1 SAMN05180031
GCF_001753085.1 SAMN05180030
GCF_001753065.1 SAMN05180029
GCF_001752965.1 SAMN05180028
GCF_001752945.1 SAMN05180027
GCF_001752925.1 SAMN05180026
GCF_001752905.1 SAMN05180025
GCF_001752885.1 SAMN05180024
GCF_001752865.1 SAMN05179997
GCF_001752845.1 SAMN05179547
GCF_001752825.1 SAMN05180047
GCF_001752805.1 SAMN05180046
GCF_001752785.1 SAMN05180045
GCF_001752765.1 SAMN05180044
GCF_001752745.1 SAMN05180048
GCF_001752725.1 SAMN05180043
GCF_001752705.1 SAMN05180042
GCF_900092465.1 SAMEA4067783
GCF_001652685.1 SAMN04634513
GCF_001652665.1 SAMN04634091
GCF_001652645.1 SAMN04633978
GCF_001610735.1 SAMN03379010
GCF_001592705.1 SAMN03839261
GCF_001590695.1 SAMN04438273
GCF_001590645.1 SAMN04438278
GCF_000404245.1 SAMN02603729
GCF_000277065.1 SAMN02603309
GCF_000277025.1 SAMN02603308
GCF_000347615.1 SAMN02604344
GCF_000306865.1 SAMEA3138425
GCF_000306845.1 SAMEA3138424
GCF_000239175.1 SAMN02603182
GCF_000092625.1 SAMN02604292
GCF_000092545.1 SAMN02603241
GCF_000048665.1 SAMEA3138253
GCF_000048645.1 SAMEA3138252
GCF_000008485.1 SAMN02603156
