Listeria_innocua | número de entradas: 16 | date: 2023-05-03 10:44:54.311887
GCF_028596125.1 SAMN32977651
GCF_024800705.1 SAMN13941779
GCF_024721565.1 SAMN13941777
GCF_024721545.1 SAMN13941775
GCF_004636745.1 SAMN04263682
GCF_017363655.2 SAMN10869156
GCF_004636605.1 SAMN03761736
GCF_017363615.2 SAMN10869157
GCF_004636665.1 SAMN03761682
GCF_023078395.1 SAMN27548027
GCF_018279565.1 SAMN08138574
GCF_018106325.1 SAMN18080009
GCF_018106305.1 SAMN18080006
GCF_018106285.1 SAMN18079989
GCF_009648575.1 SAMN04417899
GCF_000195795.1 SAMEA3138320
