Shewanella_algae | número de entradas: 21 | date: 2023-05-03 10:46:25.653543
GCF_026013945.1 SAMN31456038
GCF_025643615.1 SAMN09988152
GCF_019670685.1 SAMD00284642
GCF_019670665.1 SAMD00284641
GCF_019670645.1 SAMD00284640
GCF_019670625.1 SAMD00284639
GCF_019670605.1 SAMD00284638
GCF_019670585.1 SAMD00284637
GCF_019670545.1 SAMD00284628
GCF_019670525.1 SAMD00284623
GCF_009183365.2 SAMN11083189
GCF_017570325.1 SAMN16670464
GCF_017570225.1 SAMN16670468
GCF_017570125.1 SAMN16670438
GCF_017570045.1 SAMN16670445
GCF_014702225.1 SAMN08166472
GCF_014263185.1 SAMN15232066
GCF_009846595.1 SAMN13381879
GCF_009730655.1 SAMN13381317
GCF_003721455.1 SAMN10373660
GCF_003427415.1 SAMN06099076
