Staphylococcus_pseudintermedius | número de entradas: 113 | date: 2023-05-03 10:46:48.559172
GCA_019998365.3 SAMN21249956
GCA_019997925.3 SAMN21249953
GCA_020685925.2 SAMN20568727
GCA_020685685.2 SAMN20568730
GCA_020685705.2 SAMN20568736
GCA_020685885.2 SAMN20568728
GCA_020685905.2 SAMN20568729
GCA_020685745.2 SAMN20568733
GCA_020685805.2 SAMN20568734
GCA_019998825.2 SAMN21249943
GCA_019998805.2 SAMN21249944
GCA_019998785.2 SAMN21249950
GCA_019998765.2 SAMN21249945
GCA_019998745.2 SAMN21249948
GCA_019998705.2 SAMN21249934
GCA_019998685.2 SAMN21249949
GCA_019998665.2 SAMN21249939
GCA_019998525.2 SAMN21249946
GCA_019998395.2 SAMN21249938
GCA_019998285.2 SAMN21249976
GCA_019998185.2 SAMN21249947
GCA_019998065.2 SAMN21249936
GCA_019998045.2 SAMN21249969
GCA_019998025.2 SAMN21249970
GCA_019998005.2 SAMN21249941
GCA_019997985.2 SAMN21249937
GCA_019997965.2 SAMN21249977
GCA_019997945.2 SAMN21249971
GCA_019997905.2 SAMN21249929
GCA_019997885.2 SAMN21249957
GCA_019997845.2 SAMN21249967
GCA_019997825.2 SAMN21249963
GCA_019997805.2 SAMN21249955
GCA_019997785.2 SAMN21249962
GCA_019997765.2 SAMN21249958
GCA_019997705.2 SAMN21249965
GCA_019997625.2 SAMN21249968
GCA_019997565.2 SAMN21249935
GCA_019997445.2 SAMN21249942
GCA_019997325.2 SAMN21249940
GCA_019997285.2 SAMN21249954
GCA_019997265.2 SAMN21249933
GCA_019997245.2 SAMN21249961
GCA_019997225.2 SAMN21249972
GCA_019997205.2 SAMN21249959
GCA_019997185.2 SAMN21249930
GCA_019997165.2 SAMN21249951
GCA_019997145.2 SAMN21249931
GCA_019997125.2 SAMN21249932
GCA_019997105.2 SAMN21249928
GCA_019997085.2 SAMN21249966
GCA_019997065.2 SAMN21249964
GCA_019997045.2 SAMN21249974
GCA_019997005.2 SAMN21249960
GCA_019996945.2 SAMN21249978
GCA_019996845.2 SAMN21249952
GCA_020685845.2 SAMN20568731
GCA_020685645.2 SAMN20568732
GCA_020685785.2 SAMN20568735
GCA_020685625.2 SAMN20568738
GCA_020685725.2 SAMN20568737
GCA_020685865.2 SAMN20568739
GCA_020685765.2 SAMN20568740
GCA_020685605.2 SAMN20568742
GCA_020686685.2 SAMN20568743
GCA_022544835.1 SAMN25353203
GCA_020693985.1 SAMN21249975
GCA_020693965.1 SAMN21249973
GCF_017795485.1 SAMN14548661
GCF_016598915.1 SAMN17102146
GCF_016598895.1 SAMN17102145
GCF_016455285.1 SAMN17102138
GCF_016455265.1 SAMN17102140
GCF_016455245.1 SAMN17102155
GCF_016455225.1 SAMN17102133
GCF_016455205.1 SAMN17102118
GCF_016455165.1 SAMN17102122
GCF_016455145.1 SAMN17102132
GCF_016455105.1 SAMN17102158
GCF_016455085.1 SAMN17102137
GCF_016455065.1 SAMN17102159
GCF_016455025.1 SAMN17102142
GCF_016455005.1 SAMN17102154
GCF_016454985.1 SAMN17102161
GCF_016454965.1 SAMN17102162
GCF_016127335.1 SAMN16357241
GCF_016126795.1 SAMN17039292
GCF_016126775.1 SAMN17039293
GCF_016126755.1 SAMN17039296
GCF_016126735.1 SAMN17039294
GCF_016126715.1 SAMN17039295
GCF_016126695.1 SAMN17039297
GCF_016026635.1 SAMN13450460
GCF_014490535.1 SAMN15950890
GCF_014353035.1 SAMN15897749
GCF_900636355.2 SAMEA3504576
GCF_009184825.1 SAMN12999204
GCF_009184805.1 SAMN12999206
GCF_009184785.1 SAMN12999170
GCF_007833755.1 SAMN09378520
GCF_007833735.1 SAMN09378519
GCF_007833715.1 SAMN09378648
GCF_007833695.1 SAMN09519064
GCF_007833535.1 SAMN09378493
GCF_007833515.1 SAMN09378491
GCF_004001305.1 SAMD00154384
GCF_003627735.1 SAMN10142584
GCF_002950775.1 SAMN02947195
GCF_001682435.2 SAMN05181827
GCF_001685665.2 SAMN04886711
GCF_001682335.1 SAMN05181828
GCF_000189495.1 SAMN02604167
GCF_000185885.1 SAMN02603958
