Streptococcus_pneumoniae | número de entradas: 151 | date: 2023-05-03 10:47:15.515702
GCA_027943845.1 SAMD00453552
GCA_027943825.1 SAMD00453558
GCA_027943805.1 SAMD00453556
GCA_027943785.1 SAMD00453554
GCA_027943765.1 SAMD00453553
GCF_027563115.1 SAMN27647185
GCF_026683935.1 SAMN31830494
GCF_026683915.1 SAMN31830702
GCF_026625965.1 SAMN31844858
GCF_026625945.1 SAMN31844607
GCF_025643315.1 SAMN25149807
GCF_025643295.1 SAMN25149806
GCF_025136435.1 SAMN16580452
GCF_024703115.1 SAMN26566062
GCF_024089355.1 SAMN24060680
GCF_024089335.1 SAMN24060681
GCF_022558605.1 SAMN15783364
GCF_930986525.1 SAMEA4657913
GCF_022318545.1 SAMN08647378
GCF_022318525.1 SAMN08647902
GCF_022318505.1 SAMN08647838
GCF_022318485.1 SAMN08647831
GCF_022318465.1 SAMN08647706
GCF_022318445.1 SAMN08647626
GCF_022318425.1 SAMN08647548
GCF_022318405.1 SAMN08647361
GCF_022318385.1 SAMN08647280
GCF_022075745.1 SAMN10734562
GCF_022075645.1 SAMN10734565
GCF_022075545.1 SAMN10734563
GCF_022070565.1 SAMN10734538
GCF_022070545.1 SAMN10734539
GCF_022070505.1 SAMN10734536
GCF_022070485.1 SAMN10734540
GCF_022070465.1 SAMN10734509
GCF_022070425.1 SAMN10734518
GCF_022070225.1 SAMN10734520
GCF_022070005.1 SAMN10734522
GCF_022069905.1 SAMN10734523
GCF_022069785.1 SAMN10734525
GCF_022069645.1 SAMN10734510
GCF_022069545.1 SAMN10734526
GCF_022069505.1 SAMN10734527
GCF_022069485.1 SAMN10734528
GCF_022069445.1 SAMN10734529
GCF_022069325.1 SAMN10734530
GCF_022069205.1 SAMN10734531
GCF_022069085.1 SAMN10734532
GCF_022069005.1 SAMN10734533
GCF_022068885.1 SAMN10734511
GCF_022068765.1 SAMN10734512
GCF_022068645.1 SAMN10734513
GCF_022068525.1 SAMN10734514
GCF_022068405.1 SAMN10734515
GCF_022068285.1 SAMN10734516
GCF_022068265.1 SAMN10734517
GCF_022068245.1 SAMN10734537
GCF_022068225.1 SAMN10734535
GCF_021398285.1 SAMN18323755
GCF_021398265.1 SAMN18323757
GCF_021398235.1 SAMN18323756
GCF_020097335.1 SAMN21218864
GCF_020008085.1 SAMN14609417
GCF_019915285.1 SAMN20982453
GCF_019456615.1 SAMN20337307
GCF_019454385.1 SAMN20327787
GCF_018336875.1 SAMN15858987
GCF_017569245.1 SAMN17602804
GCF_015840115.1 SAMN13321475
GCF_015839915.1 SAMN13321477
GCF_015839775.1 SAMN13321476
GCF_015839575.1 SAMN13321474
GCF_015839415.1 SAMN13321473
GCF_015839235.1 SAMN13321472
GCF_015839035.1 SAMN13321471
GCF_015838875.1 SAMN13321470
GCF_900622505.2 SAMEA5092022
GCF_013047165.1 SAMN14779717
GCF_011694695.1 SAMN14380576
GCF_009664475.1 SAMN13191652
GCF_003967155.2 SAMD00110695
GCF_008253725.1 SAMN11338705
GCF_900795205.1 SAMEA104035599
GCF_004331935.1 SAMN11032549
GCF_900693075.1 SAMEA3714520
GCF_900693055.1 SAMEA3714487
GCF_900693025.1 SAMEA3713867
GCF_900692935.1 SAMEA3431333
GCF_004291255.1 SAMN10908922
GCF_900618585.1 SAMEA5092024
GCF_900618575.1 SAMEA5092023
GCF_900618555.1 SAMEA5092021
GCF_900618545.1 SAMEA5092020
GCF_003994915.1 SAMN06233407
GCF_003966525.1 SAMD00137663
GCF_003966505.1 SAMD00137664
GCF_003966485.1 SAMD00137665
GCF_900636585.1 SAMEA3679170
GCF_003609935.1 SAMD00096762
GCF_003354825.1 SAMN08323709
GCF_003351725.1 SAMN09704658
GCF_003351705.1 SAMN09704657
GCF_003351645.1 SAMN09704646
GCF_003351525.1 SAMN09704656
GCF_900475805.1 SAMEA3956100
GCF_900475305.1 SAMEA3714884
GCF_900475515.1 SAMEA3649044
GCF_900476475.1 SAMEA4469815
GCF_900476465.1 SAMEA104042956
GCF_900476455.1 SAMEA104042955
GCF_900476445.1 SAMEA104042953
GCF_900476505.1 SAMEA104042952
GCF_000014365.2 SAMN02604051
GCF_003003495.1 SAMN04093378
GCF_002947575.1 SAMN08501023
GCF_002843545.1 SAMN08155818
GCF_002813955.1 SAMN06166933
GCF_002813535.1 SAMN08105887
GCF_002357995.1 SAMD00073590
GCF_001902455.1 SAMN06109026
GCF_001896085.1 SAMN06009955
GCF_001896065.1 SAMN06009945
GCF_001896045.1 SAMN05981365
GCF_000211055.1 SAMEA3138392
GCF_000211035.1 SAMEA3138391
GCF_000211015.1 SAMEA3138390
GCF_000210995.1 SAMEA3138389
GCF_001457635.1 SAMEA2479568
GCF_000211095.1 SAMEA3138394
GCF_000211075.1 SAMEA3138393
GCF_000251085.2 SAMN02604071
GCF_001255215.1 SAMEA3367470
GCF_000299015.1 SAMN02299431
GCF_000180515.1 SAMEA3138306
GCF_000210935.1 SAMEA3138386
GCF_000210955.1 SAMEA3138387
GCF_000210975.1 SAMEA3138388
GCF_000147095.1 SAMN02604004
GCF_000146975.1 SAMN02603428
GCF_000196595.1 SAMN00002223
GCF_000817005.1 SAMN02725063
GCF_000026665.1 SAMEA1705947
GCF_000019985.1 SAMN02603015
GCF_000019825.1 SAMN02603350
GCF_000019265.1 SAMN02603442
GCF_000019025.1 SAMN02603443
GCF_000019005.1 SAMN02603445
GCF_000018985.1 SAMN02603444
GCF_000018965.1 SAMN02603446
GCF_000007045.1 SAMN02603218
GCF_000006885.1 SAMN02604002
