Streptococcus_pyogenes | número de entradas: 270 | date: 2023-05-03 10:47:20.601046
GCF_029637645.1 SAMN34032715
GCF_029323775.1 SAMN33707422
GCF_029280585.1 SAMN33709030
GCF_029280565.1 SAMN33693473
GCF_029280505.1 SAMN33693461
GCF_028867825.1 SAMN00013012
GCF_028370295.1 SAMN15783172
GCF_028370275.1 SAMN15783173
GCF_028370255.1 SAMN15783174
GCF_028370235.1 SAMN15783175
GCF_028370215.1 SAMN15783176
GCF_028370195.1 SAMN15783177
GCF_028215815.1 SAMN32807490
GCF_023380045.1 SAMN28104815
GCF_023278205.1 SAMN17127784
GCF_022869605.1 SAMN14078802
GCF_022494495.1 SAMN18523098
GCF_020827135.1 SAMN15824160
GCF_020827115.1 SAMN15824161
GCF_020827095.1 SAMN15824162
GCF_020827075.1 SAMN15824163
GCF_020827055.1 SAMN15824164
GCF_020827035.1 SAMN15824165
GCF_020827015.1 SAMN15824166
GCF_020826995.1 SAMN15824167
GCF_020826975.1 SAMN15824169
GCF_020826955.1 SAMN15824170
GCF_020826935.1 SAMN15824171
GCF_020826915.1 SAMN15824172
GCF_019448315.1 SAMN14235217
GCF_019343085.1 SAMN14234404
GCF_019343065.1 SAMN14234425
GCF_019343045.1 SAMN14234475
GCF_019343025.1 SAMN14234519
GCF_019343005.1 SAMN14234551
GCF_019342985.1 SAMN14234553
GCF_019342965.1 SAMN14234593
GCF_019342945.1 SAMN14234602
GCF_019342925.1 SAMN14234614
GCF_019342905.1 SAMN14234637
GCF_019342885.1 SAMN14235194
GCF_019342865.1 SAMN14235203
GCF_019342845.1 SAMN14235221
GCF_000167435.2 SAMN02469731
GCF_018140985.1 SAMN14162572
GCF_017638465.1 SAMN18435893
GCF_017132795.1 SAMN18034722
GCF_016549375.1 SAMN17141634
GCF_016549355.1 SAMN17141633
GCF_016549335.1 SAMN17141635
GCF_016126835.1 SAMN17054563
GCF_014495985.1 SAMN15964726
GCF_014495965.1 SAMN15964728
GCF_014495945.1 SAMN15964727
GCF_014495925.1 SAMN15964725
GCF_014218015.1 SAMN12251806
GCF_014192175.1 SAMD00238720
GCF_014192005.1 SAMD00238719
GCF_014191835.1 SAMD00238718
GCF_014191695.1 SAMD00238717
GCF_013306985.1 SAMN14547667
GCF_012572265.1 SAMN12657656
GCA_011290585.1 SAMN14260634
GCF_011290565.1 SAMN14260617
GCF_009832845.1 SAMN13632409
GCF_009738495.1 SAMN11032819
GCF_009738475.1 SAMN11029189
GCF_009664495.1 SAMN13191653
GCF_008694005.1 SAMN11056383
GCF_006740645.1 SAMD00034931
GCF_006364235.1 SAMN11056489
GCF_901482645.1 SAMEA3597581
