Streptococcus_suis | número de entradas: 131 | date: 2023-05-03 10:47:25.300085
GCF_029542385.1 SAMN32652950
GCF_029542065.1 SAMN30305623
GCF_029542025.1 SAMN30305624
GCF_029203915.1 SAMN28462640
GCF_025980045.1 SAMN29861932
GCF_025946945.1 SAMN31277171
GCF_025946925.1 SAMN31277173
GCF_025946905.1 SAMN31277172
GCF_025946885.1 SAMN31277175
GCF_025946865.1 SAMN31277174
GCA_025349925.1 SAMN04956545
GCF_024583135.1 SAMN30065792
GCF_024583115.1 SAMN30065793
GCF_024583095.1 SAMN30065794
GCF_024583075.1 SAMN30065795
GCF_024583055.1 SAMN30065796
GCF_024583035.1 SAMN30065798
GCF_024583015.1 SAMN30065797
GCF_024582995.1 SAMN30065800
GCF_024582975.1 SAMN30065802
GCF_024582955.1 SAMN30065801
GCF_024582935.1 SAMN30065803
GCF_024582915.1 SAMN30065799
GCF_024582755.1 SAMN29938211
GCF_024498155.1 SAMN29862018
GCF_024220135.1 SAMN02603633
GCF_024220115.1 SAMN14932654
GCF_024220075.1 SAMN14932458
GCF_024206755.1 SAMN29401332
GCF_024206735.1 SAMN29401324
GCF_024206715.1 SAMN29401325
GCF_024206695.1 SAMN29401328
GCF_024206675.1 SAMN29401321
GCF_024206655.1 SAMN29401322
GCF_024206635.1 SAMN29401323
GCF_024206615.1 SAMN29401320
GCF_024206595.1 SAMN29401318
GCF_023023005.1 SAMN27395176
GCF_022964955.1 SAMN27363618
GCF_022354845.1 SAMN09935028
GCF_021729405.1 SAMN25212000
GCF_021729385.1 SAMN25220527
GCF_020542045.1 SAMN21439326
GCF_020542025.1 SAMN21439327
GCA_020542005.1 SAMN21439329
GCF_020541965.1 SAMN21439331
GCF_020541945.1 SAMN21439333
GCF_020462325.1 SAMN18029937
GCF_019967855.1 SAMN21240299
GCF_016887735.2 SAMN17277758
GCF_019856475.1 SAMN20955370
GCA_019856455.1 SAMN20955366
GCF_019856415.1 SAMN20955371
GCF_019856395.1 SAMN20955374
GCF_019856375.1 SAMN20955372
GCF_019856355.1 SAMN20955373
GCA_019856335.1 SAMN20955367
GCF_019856315.1 SAMN20955368
GCF_019856275.1 SAMN20955369
GCF_019297755.1 SAMN20090113
GCF_018885285.1 SAMN19600291
GCF_017372155.1 SAMN18202284
GCF_017309405.1 SAMN18091836
GCF_016774475.1 SAMN17277757
GCF_015908985.1 SAMN16966905
GCF_015908885.1 SAMN16966886
GCF_015291825.1 SAMN09937248
GCF_014874555.1 SAMN13648692
GCF_014843095.1 SAMN15143496
GCF_014843075.1 SAMN15143497
GCF_014843055.1 SAMN15143498
GCF_014192525.1 SAMD00238722
GCF_014192345.1 SAMD00238721
GCF_013488185.1 SAMN09237991
GCF_013488165.1 SAMN09210929
GCF_013488145.1 SAMN09237990
GCF_013488125.1 SAMN09237935
GCF_013488105.1 SAMN09237933
GCF_013488085.1 SAMN09210932
GCF_902702775.1 SAMEA6227228
GCF_902702785.1 SAMEA6227226
GCF_902702755.1 SAMEA6227224
GCF_902702745.1 SAMEA6227225
GCF_902702765.1 SAMEA6227227
GCF_007724845.1 SAMN12347734
GCF_901543625.1 SAMEA3649032
GCF_004843685.1 SAMN11431856
GCF_003352225.1 SAMN09460428
GCF_003352205.1 SAMN09460429
GCF_003288175.1 SAMN07764633
GCF_003285245.1 SAMN05912965
GCF_003285225.1 SAMN05912964
GCF_900475585.1 SAMEA3861961
GCF_003144175.1 SAMN09080446
GCF_002831545.1 SAMN08103192
GCF_002812525.1 SAMN08102920
GCF_002803825.1 SAMN08040402
GCF_002736265.1 SAMN07807408
GCF_002688665.1 SAMN07807405
GCF_002285735.1 SAMN04956520
GCF_002285535.1 SAMN04956488
GCF_002189695.1 SAMN05231907
GCF_002111405.1 SAMN06765615
GCF_001936415.1 SAMN06187704
GCF_900143575.1 SAMEA19981168
GCF_001721625.1 SAMN05567566
GCF_001640765.1 SAMN04884928
GCF_001610935.1 SAMN04044079
GCF_000390245.1 SAMN02603120
GCF_001572685.1 SAMN04156190
GCF_000344765.1 SAMN02603632
GCF_001272635.1 SAMN03652427
GCF_000294495.1 SAMN02604110
GCF_000231925.1 SAMN02603323
GCF_000233575.1 SAMN02603318
GCF_000231905.1 SAMN02603322
GCF_000231885.1 SAMN02603321
GCF_000018185.1 SAMN02603644
GCF_000231865.1 SAMN02603320
GCF_000186405.1 SAMN02603326
GCF_000168355.3 SAMN02469350
GCF_000993745.1 SAMN02691834
GCF_000204625.1 SAMN02603319
GCF_000732355.1 SAMN02905150
GCF_000091905.1 SAMEA3138299
GCF_000494895.1 SAMN02603633
GCF_000471985.1 SAMN02603121
GCF_000026745.1 SAMEA2272697
GCF_000026725.1 SAMEA2272312
GCF_000014325.1 SAMN02603019
GCF_000014305.1 SAMN02603018
