Enterobacter_hormaechei | número de entradas: 255 | date: 2023-05-03 10:42:58.720271
GCA_029873415.1 SAMN34233930
GCF_029721335.1 SAMN15488704
GCF_029719865.1 SAMN15488669
GCF_029719845.1 SAMN15488670
GCF_029719585.1 SAMN15488699
GCF_029639565.1 SAMN34062071
GCF_029207635.1 SAMN33277205
GCF_028898905.1 SAMN15907134
GCF_028891505.1 SAMN15907141
GCF_028872235.1 SAMN15907159
GCF_028752775.1 SAMN21522362
GCF_028743675.1 SAMN33269781
GCF_028622735.1 SAMN32093416
GCA_028532685.1 SAMN07610198
GCF_027920365.1 SAMN32541572
GCF_027886545.1 SAMN15907137
GCF_027886525.1 SAMN15907139
GCF_027886505.1 SAMN15907138
GCF_027595125.1 SAMN28016882
GCA_027577865.1 SAMN31152634
GCF_027271235.1 SAMN32214983
GCF_026240655.1 SAMN31691762
GCF_026109755.1 SAMN27409789
GCF_026015945.1 SAMN31455096
GCF_025398715.1 SAMN30655620
GCF_025398395.1 SAMN16505100
GCF_025369895.1 SAMN30506756
GCF_025311595.1 SAMN30695411
GCF_025311555.1 SAMN30695412
GCF_025311535.1 SAMN30695413
GCF_025266795.1 SAMN28865091
GCF_025244885.1 SAMN30697279
GCF_024918795.1 SAMN28174019
GCF_024918255.1 SAMN28174037
GCF_024918215.1 SAMN28174038
GCF_024917775.1 SAMN28173982
GCF_024917635.1 SAMN28174063
GCF_024917395.1 SAMN28174055
GCF_024917315.1 SAMN28173991
GCF_024585325.1 SAMN28200646
GCF_024218835.1 SAMN24667500
GCF_024182025.1 SAMD00490869
GCF_024182005.1 SAMD00490864
GCF_023897035.1 SAMN14943915
GCF_023805415.1 SAMN28918927
GCF_023736015.1 SAMD00490893
GCF_023735995.1 SAMD00490892
GCF_023735975.1 SAMD00490891
GCF_023735955.1 SAMD00490890
GCF_023735935.1 SAMD00490889
GCF_023735915.1 SAMD00490888
GCF_023735895.1 SAMD00490887
GCF_023735875.1 SAMD00490886
GCF_023735855.1 SAMD00490885
GCF_023735835.1 SAMD00490884
GCF_023735815.1 SAMD00490883
GCF_023735795.1 SAMD00490882
GCF_023735775.1 SAMD00490881
GCF_023735755.1 SAMD00490880
GCF_023735735.1 SAMD00490879
GCF_023735715.1 SAMD00490878
GCF_023735695.1 SAMD00490877
GCF_023735615.1 SAMD00490875
GCF_023735535.1 SAMD00490874
GCF_023735515.1 SAMD00490873
GCF_023735495.1 SAMD00490872
GCF_023735475.1 SAMD00490871
GCF_023735435.1 SAMD00490867
GCF_023735395.1 SAMD00490863
GCF_023735375.1 SAMD00490862
GCF_023735355.1 SAMD00490860
GCF_023735335.1 SAMD00490858
GCF_023735315.1 SAMD00490857
GCF_023735295.1 SAMD00490856
GCF_023735275.1 SAMD00490855
GCF_023735255.1 SAMD00490854
GCF_023735235.1 SAMD00490852
GCF_023735215.1 SAMD00490850
GCF_023735195.1 SAMD00490847
GCF_023735155.1 SAMD00490846
GCF_023735075.1 SAMD00490845
GCF_023735055.1 SAMD00490844
GCF_023735035.1 SAMD00490843
GCF_023735015.1 SAMD00490842
GCF_023734995.1 SAMD00490840
GCF_023734975.1 SAMD00490839
GCF_023734955.1 SAMD00490838
GCF_023734935.1 SAMD00490837
GCF_023734915.1 SAMD00490836
GCF_023734895.1 SAMD00490835
GCF_023734875.1 SAMD00490833
GCF_023734855.1 SAMD00490832
GCF_023734835.1 SAMD00490831
GCF_023734815.1 SAMD00490830
GCF_023734795.1 SAMD00490829
GCF_023612875.1 SAMN10995734
GCF_023547485.1 SAMN14943921
GCF_023547225.1 SAMN22612719
GCF_023375605.1 SAMN27363748
GCF_023023665.1 SAMN21379550
GCF_022376815.1 SAMN17117771
GCA_022376795.1 SAMN17116081
GCF_022023955.1 SAMN13747513
GCF_022023895.1 SAMN13747518
GCF_022023915.1 SAMN13747514
GCF_021497625.1 SAMN18311225
GCF_021496135.1 SAMN24852042
GCF_021491635.1 SAMN24596082
GCF_021491615.1 SAMN24596081
GCF_021398115.1 SAMN24425646
GCF_021397695.1 SAMN24341409
GCF_020695725.1 SAMN22377411
GCF_020695705.1 SAMN22377412
GCF_020695685.1 SAMN22377414
GCF_020695605.1 SAMN22377422
GCF_020695585.1 SAMN22377429
GCF_020695485.1 SAMN22377432
GCF_020695365.1 SAMN22377434
GCF_020097195.1 SAMN21402700
GCF_019458525.1 SAMN20500401
GCF_019356035.1 SAMN20299883
GCF_019355415.1 SAMN14142282
GCF_019048625.1 SAMN16357577
GCF_019048245.1 SAMN16357575
GCF_019047945.1 SAMN16357576
GCF_005217135.2 SAMN11514786
GCF_005217155.2 SAMN11514785
GCF_018255815.1 SAMN18859124
GCF_017310485.1 SAMN16561277
