Salmonella | número de entradas: 1951 | date: 2023-04-28 10:44:43.635615
GCA_029866625.1 SAMN26754305
GCA_014946605.2 SAMN16532586
GCA_007425265.2 SAMN10924178
GCA_029854355.1 SAMN33848916
GCF_029814235.1 SAMN34003877
GCA_029775435.1 SAMN33744784
GCA_029748255.1 SAMN24255092
GCA_029748135.1 SAMN24255093
GCA_029748105.1 SAMN24254903
GCA_029748085.1 SAMN24255041
GCA_029748065.1 SAMN24255067
GCA_029748045.1 SAMN24255070
GCA_029748025.1 SAMN24255072
GCA_029748005.1 SAMN24255077
GCA_029692165.1 SAMN24255094
GCF_029692105.1 SAMN33715200
GCF_029692065.1 SAMN33715201
GCF_029692025.1 SAMN33715202
GCF_029692005.1 SAMN33715203
GCA_029690525.1 SAMN30615447
GCA_029690425.1 SAMN30615446
GCA_029690245.1 SAMN30615445
GCA_029690105.1 SAMN30615444
GCA_029690085.1 SAMN30615443
GCF_029674785.1 SAMN33695198
GCF_029674765.1 SAMN33695197
GCF_029674745.1 SAMN33695195
GCF_029674725.1 SAMN33695196
GCF_029625035.1 SAMN33942062
GCF_029594695.1 SAMN34043128
GCF_029592185.1 SAMN33760349
GCF_029592105.1 SAMN33760354
GCF_029592045.1 SAMN33760338
GCF_029591945.1 SAMN33760342
GCF_029591825.1 SAMN33760351
GCF_029591745.1 SAMN33760335
GCF_029590355.1 SAMN33944461
GCF_029580835.1 SAMN33819937
GCA_029542505.1 SAMN33591654
GCF_029537315.1 SAMN33818803
GCA_007374985.2 SAMN10579127
GCA_020516365.2 SAMN22356286
GCA_009028185.2 SAMN06048856
GCA_009092745.2 SAMN06187001
GCA_009060905.2 SAMN06256106
GCA_008919525.2 SAMN12925425
GCA_011442035.2 SAMN13763817
GCA_017905275.2 SAMN18687443
GCA_020700595.2 SAMN22663601
GCA_029225745.1 SAMN24255096
GCA_029225705.1 SAMN24255097
GCA_029225665.1 SAMN24255099
GCA_029225605.1 SAMN24255102
GCA_009047335.2 SAMN06256178
GCA_029223845.1 SAMN33394020
GCA_029223825.1 SAMN33394021
GCA_029223805.1 SAMN33394022
GCA_029223785.1 SAMN33394023
GCA_029223765.1 SAMN33394024
GCA_029223745.1 SAMN33394025
GCF_029166965.1 SAMN33329050
GCF_028993675.1 SAMN33409181
GCF_028893475.1 SAMN32950784
GCF_028893455.1 SAMN32950785
GCF_028893435.1 SAMN32950786
GCF_028893415.1 SAMN32950787
GCF_028893395.1 SAMN32950788
GCF_028893375.1 SAMN32950789
GCF_028893355.1 SAMN32950790
GCF_028893335.1 SAMN32950791
GCF_028893315.1 SAMN32950792
GCF_028893295.1 SAMN32950793
GCF_028893275.1 SAMN32950794
GCF_028893255.1 SAMN32950795
GCF_028893235.1 SAMN32950796
GCF_028893215.1 SAMN32950797
GCF_028893195.1 SAMN32950798
GCF_028893175.1 SAMN32950799
GCF_028893155.1 SAMN32950800
GCF_028893135.1 SAMN32950801
GCF_028893115.1 SAMN32950802
GCF_028893095.1 SAMN32950803
GCF_028893075.1 SAMN32950804
GCF_028893055.1 SAMN32950805
GCF_028893035.1 SAMN32950806
GCF_028893015.1 SAMN32950807
GCF_028892995.1 SAMN32950808
GCF_028892975.1 SAMN32950809
GCF_028892955.1 SAMN32950811
GCF_028892935.1 SAMN32950810
GCF_028892885.1 SAMN32950771
GCF_028892865.1 SAMN32950772
GCF_028892845.1 SAMN32950773
GCF_028892825.1 SAMN32950774
GCF_028892805.1 SAMN32950775
GCF_028892785.1 SAMN32950776
GCF_028892765.1 SAMN32950777
GCF_028892745.1 SAMN32950778
GCF_028892725.1 SAMN32950779
GCF_028892705.1 SAMN32950780
GCF_028892685.1 SAMN32950781
GCF_028892665.1 SAMN32950782
GCF_028892635.1 SAMN32950783
GCF_028891385.1 SAMN33346707
GCF_028891365.1 SAMN33346708
GCF_028747905.1 SAMN32935253
GCF_028747885.1 SAMN32935254
GCF_028747865.1 SAMN32935255
GCF_028747845.1 SAMN32935256
GCF_028747825.1 SAMN32935257
GCF_028743635.1 SAMN33246676
GCF_028735975.1 SAMN33218604
GCF_028735955.1 SAMN33218603
GCF_028735935.1 SAMN33218593
GCF_028623145.1 SAMN33062119
GCF_028623125.1 SAMN33061817
GCF_028623105.1 SAMN33062111
GCF_028607065.1 SAMN32741785
GCF_028596185.1 SAMN32977646
GCF_028596085.1 SAMN33038040
GCF_028596065.1 SAMN32989812
GCF_028551175.1 SAMN32929940
GCA_015740605.2 SAMN16989644
GCA_024624245.2 SAMN29924137
GCA_027943865.1 SAMD00280083
GCA_027943645.1 SAMD00206786
