#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000005559.3|SAMN00000733|GCA_000155995.1|Enterobacter cancerogenus ATCC 35316||ATCC 35316|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000155995.1	Scaffold	330219	4638653	62	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA28663	Washington University Genome Sequencing Center	SAMN00000733	"ATCC 35316","ATCC:35316","Enterobacter cancerogenus ATCC 35316","SRS001151"	NULL	missing	clinical	182898	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	NULL	Enterobacter cancerogenus ATCC 35316	NULL	NULL	69218	NULL	NULL	ATCC 35316	NULL	"Enterobacter cancerogenus ATCC 35316"	PDT000005559.3	2010-10-15	500639	ABWM	ABWM00000000.2	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"ampC,fosA,tet(C)"	"ampC,fosA,tet(C)"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	3.10.42	2022-10-11.2	COMBINED	1
PDT000018223.3|SAMN02469365|GCA_000478345.1|Enterobacter cancerogenus YZ1||YZ1|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000478345.1	Contig	1157430	4808813	11	SOAPdenovo v. 1.05	Generic	PRJNA180988	BGI Research Institution	SAMN02469365	"ANIC","YZ1"	NULL	2012-02	NULL	820748	China	Tenebrio molitor	NULL	feces	NULL	NULL	NULL	ANIC	Enterobacter cancerogenus YZ1	NULL	NULL	69218	NULL	NULL	YZ1	NULL	NULL	PDT000018223.3	2013-10-22	1260277	ANIC	ANIC00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaACT-17,catA=HMM,oqxB"	"blaACT-17,catA=HMM,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	3.10.21	2021-12-21.1	COMBINED	1
PDT000100582.2|SAMN03401392|GCA_001475535.1|Enterobacter cancerogenus||NS104|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001475535.1	Contig	261552	4884126	52	CLC Genomics Workbench v. 7.5	Microbe	PRJNA278227	Bacterial Genomics and Evolution Laboratory, CSIR-Institute of Microbial Technology, Sector 39-A, Chandigarh, India	SAMN03401392	"NS104"	NULL	2013	NULL	2733178	India	Oryza sativa	NULL	NULL	NULL	NULL	NULL	NS104	Enterobacter cancerogenus	NULL	NULL	69218	NULL	NULL	NS104	NULL	NULL	PDT000100582.2	2015-12-22	69218	LDQG	LDQG00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC,fosA"	"ampC,fosA"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	3.11.2	2023-02-23.1	COMBINED	1
PDT000100585.2|SAMN03401404|GCA_001475565.1|Enterobacter cancerogenus||NS188|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001475565.1	Contig	254143	4889753	62	CLC Genomics Workbench v. 7.5	Microbe	PRJNA278239	Bacterial Genomics and Evolution Laboratory, CSIR-Institute of Microbial Technology, Sector 39-A, Chandigarh, India	SAMN03401404	"NS188"	NULL	2013	NULL	2733238	India	Oryza sativa	NULL	NULL	NULL	NULL	NULL	NS188	Enterobacter cancerogenus	NULL	NULL	69218	NULL	NULL	NS188	NULL	NULL	PDT000100585.2	2015-12-22	69218	LDQI	LDQI00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC,fosA"	"ampC,fosA"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	3.11.2	2023-02-23.1	COMBINED	1
PDT000100604.2|SAMN03401388|GCA_001475985.1|Enterobacter cancerogenus||NS31|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001475985.1	Contig	261547	4869467	45	CLC Genomics Workbench v. 7.5	Microbe	PRJNA278420	Bacterial Genomics and Evolution Laboratory, CSIR-Institute of Microbial Technology, Sector 39-A, Chandigarh, India	SAMN03401388	"NS31"	NULL	2013	NULL	2733628	India	Oryza sativa	NULL	NULL	NULL	NULL	NULL	NS31	Enterobacter cancerogenus	NULL	NULL	69218	NULL	NULL	NS31	NULL	NULL	PDT000100604.2	2015-12-22	69218	LDQJ	LDQJ00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC,fosA"	"ampC,fosA"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	3.11.2	2023-04-17.1	COMBINED	1
PDT000100605.2|SAMN03401390|GCA_001475965.1|Enterobacter cancerogenus||NS111|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001475965.1	Contig	268762	4874699	49	CLC Genomics Workbench v. 7.5	Microbe	PRJNA278225	Bacterial Genomics and Evolution Laboratory, CSIR-Institute of Microbial Technology, Sector 39-A, Chandigarh, India	SAMN03401390	"NS111"	NULL	2013	NULL	2733648	India	Oryza sativa	NULL	NULL	NULL	NULL	NULL	NS111	Enterobacter cancerogenus	NULL	NULL	69218	NULL	NULL	NS111	NULL	NULL	PDT000100605.2	2015-12-22	69218	LDQH	LDQH00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC,fosA"	"ampC,fosA"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	3.11.2	2023-02-23.1	COMBINED	1
PDT000197549.2|SAMN06237083|GCA_002072125.1|Enterobacter cancerogenus||C9|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002072125.1	Contig	430159	4871986	25	CLC NGS Cell v. 7.5.1	Microbe	PRJNA362261	Institute of Microbial Technology	SAMN06237083	"C9"	NULL	2013-02-10	NULL	4301758	India: Rajasthan, Khetri	NULL	NULL	soil	NULL	NULL	NULL	C9	Enterobacter cancerogenus	NULL	NULL	69218	NULL	NULL	C9	NULL	NULL	PDT000197549.2	2017-03-23	69218	MTKD	MTKD00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	19	"arsC=HMM,arsD=HMM,asr=HMM,fieF,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000219699.2|SAMEA104113916|GCA_900185905.1|Enterobacter cancerogenus|||Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_900185905.1	Contig	678345	4879939	142	NULL	Generic	PRJEB9821	JUSTUS LIEBIG UNIVERSITY	SAMEA104113916	"ERS1777809","Enterobacter cancerogenus ATCC33241"	NULL	NULL	NULL	4608268	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Enterobacter cancerogenus	NULL	NULL	69218	NULL	NULL	NULL	NULL	NULL	PDT000219699.2	2017-06-16	69218	FYBA	FYBA00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC,fosA"	"ampC,fosA"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	3.10.30	2022-05-26.1	COMBINED	1
PDT000276296.2|SAMN08107552|GCA_002850575.1|Enterobacter cancerogenus||CR-Eb1|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002850575.1	Complete Genome	4796512	4796512	1	HGAP v. 2 (smrtanalysis_2.3.0)	Microbe	PRJNA420145	Korea Research Institute of Bioscience and Biotechnology (KRIBB)	SAMN08107552	"CR-Eb","CR-Eb1","SRS2736646"	NULL	2015-09	NULL	5829268	South Korea: Daejeon	Galleria mellonella	NULL	gut (3-4th instar larva)	NULL	NULL	NULL	CR-Eb	Enterobacter cancerogenus	NULL	NULL	69218	NULL	NULL	CR-Eb1	NULL	NULL	PDT000276296.2	2018-01-03	69218	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	2	"arsC=HMM,fieF"	3	"iroB,iroC,iroN"	3.10.42	2022-10-11.2	COMBINED	1
PDT000279255.2|SAMN04875569|GCA_002891235.1|Enterobacter cancerogenus||FDAARGOS_232|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002891235.1	Contig	4999358	5179590	7	HGAP v. 3	Pathogen: clinical or host-associated	PRJNA231221	US Food and Drug Administration	SAMN04875569	"FDA:FDAARGOS_232","FDAARGOS_232","SRS1665837"	Children's National Hospital	2014-08-29	clinical	5903508	USA:DC	Homo sapiens	Wound infection	wound swab	NULL	NULL	NULL	FDAARGOS_232	Enterobacter cancerogenus	NULL	NULL	69218	NULL	NULL	FDAARGOS_232	NULL	NULL	PDT000279255.2	2018-01-17	69218	POWA	POWA00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC,fosA"	"ampC,fosA"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	3.10.42	2022-10-11.2	COMBINED	1
