#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000585001.1|SAMN05379575||[Candida] auris||B11096|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883426	NULL	NULL	21175	12242012	1078	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379575	"B11096","CDC_B11096","SRS1558387"	NULL	2014	clinical	NULL	Pakistan	Homo sapiens	not collected	blood	not collected	NULL	NULL	CDC_B11096	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11096	NULL	NULL	PDT000585001.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
PDT000585002.1|SAMN05379576||[Candida] auris||B11097|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883427	NULL	NULL	21271	12221330	964	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379576	"B11097","CDC_B11097","SRS1558388"	NULL	2014	clinical	NULL	Pakistan	Homo sapiens	not collected	urine	not collected	NULL	NULL	CDC_B11097	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11097	NULL	NULL	PDT000585002.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
PDT000585003.1|SAMN05379586||[Candida] auris||B11114|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883428	NULL	NULL	20032	12210790	1048	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379586	"B11114","CDC_B11114","SRS1558389"	NULL	2015	clinical	NULL	Pakistan	Homo sapiens	not collected	blood	not collected	NULL	NULL	CDC_B11114	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11114	NULL	NULL	PDT000585003.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
PDT000585004.1|SAMN05379587||[Candida] auris||B11115|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883429	NULL	NULL	19697	12204051	1033	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379587	"B11115","CDC_B11115","SRS1558390"	NULL	2015	clinical	NULL	Pakistan	Homo sapiens	not collected	urine	not collected	NULL	NULL	CDC_B11115	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11115	NULL	NULL	PDT000585004.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
PDT000585005.1|SAMN05379588||[Candida] auris||B11116|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883430	NULL	NULL	21110	12201367	978	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379588	"B11116","CDC_B11116","SRS1558391"	NULL	2015	clinical	NULL	Pakistan	Homo sapiens	not collected	urine	not collected	NULL	NULL	CDC_B11116	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11116	NULL	NULL	PDT000585005.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
PDT000585006.1|SAMN05379589||[Candida] auris||B11117|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883431	NULL	NULL	20483	12215560	1013	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379589	"B11117","CDC_B11117","SRS1558392"	NULL	2015	clinical	NULL	Pakistan	Homo sapiens	not collected	blood	not collected	NULL	NULL	CDC_B11117	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11117	NULL	NULL	PDT000585006.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
PDT000585007.1|SAMN05379590||[Candida] auris||B11118|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883432	NULL	NULL	21100	12216116	989	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379590	"B11118","CDC_B11118","SRS1558393"	NULL	2015	clinical	NULL	Pakistan	Homo sapiens	not collected	urine	not collected	NULL	NULL	CDC_B11118	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11118	NULL	NULL	PDT000585007.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
PDT000585008.1|SAMN05379591||[Candida] auris||B11119|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883433	NULL	NULL	21517	12215592	983	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379591	"B11119","CDC_B11119","SRS1558394"	NULL	2015	clinical	NULL	Pakistan	Homo sapiens	not collected	urine	not collected	NULL	NULL	CDC_B11119	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11119	NULL	NULL	PDT000585008.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
PDT000585009.1|SAMN05379592||[Candida] auris||B11200|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883434	NULL	NULL	21134	12224557	969	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379592	"B11200","CDC_B11200","SRS1558395"	NULL	NULL	clinical	NULL	India	Homo sapiens	not collected	blood	not collected	NULL	NULL	CDC_B11200	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11200	NULL	NULL	PDT000585009.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
PDT000585010.1|SAMN05379593||[Candida] auris||B11201|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883435	NULL	NULL	21280	12225249	987	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379593	"B11201","CDC_B11201","SRS1558396"	NULL	NULL	clinical	NULL	India	Homo sapiens	not collected	blood	not collected	NULL	NULL	CDC_B11201	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11201	NULL	NULL	PDT000585010.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
PDT000585012.1|SAMN05379595||[Candida] auris||B11206|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883437	NULL	NULL	20958	12223074	1001	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379595	"B11206","CDC_B11206","SRS1558398"	NULL	NULL	clinical	NULL	India	Homo sapiens	not collected	tissue	not collected	NULL	NULL	CDC_B11206	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11206	NULL	NULL	PDT000585012.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
PDT000585013.1|SAMN05379577||[Candida] auris||B11098|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR3883438	NULL	NULL	20038	12200606	1045	NULL	Pathogen: clinical or host-associated	PRJNA328792	Centers for Disease Control and Prevention	SAMN05379577	"B11098","CDC_B11098","SRS1558399"	NULL	2014	clinical	NULL	Pakistan	Homo sapiens	not collected	blood	not collected	NULL	NULL	CDC_B11098	[Candida] auris	NULL	NULL	498019	CENTERS FOR DISEASE CONTROL AND PREVENTION	2016-09-15	B11098	NULL	NULL	PDT000585013.1	2019-09-12	498019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	0
