#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000004905.2|SAMN02603913|GCA_000017665.1|Cronobacter sakazakii ATCC BAA-894||ATCC BAA-894|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000017665.1	Complete Genome	4368373	4530777	3	NULL	Generic	PRJNA12720	The Enterobacter sakazakii Genome Sequencing Project	SAMN02603913	"ATCC BAA-894","ATCC:BAA-894","CP000783","SRS3465741"	NULL	NULL	NULL	18468	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000783	Cronobacter sakazakii ATCC BAA-894	NULL	NULL	28141	NULL	NULL	ATCC BAA-894	NULL	NULL	PDT000004905.2	2010-05-12	290339	NULL	NULL	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"blaCSA,fos=HMM"	"blaCSA,fos=HMM"	20	"asr=HMM,fieF,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000007780.2|SAMN02603850|GCA_000263215.1|Cronobacter sakazakii ES15||ES15|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000263215.1	Complete Genome	4268675	4268675	1	Newbler v. 2.3	Generic	PRJNA81953	Seoul National University	SAMN02603850	"CP003312","ES15"	NULL	NULL	NULL	380658	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP003312	Cronobacter sakazakii ES15	NULL	NULL	28141	NULL	NULL	ES15	NULL	NULL	PDT000007780.2	2012-05-17	1138308	NULL	NULL	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"blaCSA,fos=HMM"	"blaCSA,fos=HMM"	2	"asr=HMM,fieF"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000010470.2|SAMEA2272515|GCA_000319285.1|Cronobacter condimenti 1330||1330|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000319285.1	Contig	83159	4480625	155	NULL	Generic	PRJEB164	Life Technologies	SAMEA2272515	"1330","ERS379933","GCA_000319285"	NULL	NULL	NULL	506208	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Cronobacter condimenti 1330	NULL	NULL	1163710	NULL	NULL	1330	NULL	NULL	PDT000010470.2	2012-12-11	1073999	CAKW	CAKW00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	2	"asr=HMM,fieF"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000010471.2|SAMEA2271931|GCA_000319325.1|Cronobacter universalis NCTC 9529||NCTC 9529|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000319325.1	Scaffold	81711	4524631	328	NULL	Generic	PRJEB163	Life Technologies	SAMEA2271931	"ERS379397","GCA_000319325","NCTC 9529"	NULL	NULL	NULL	506278	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Cronobacter universalis NCTC 9529	NULL	NULL	535744	NULL	NULL	NCTC 9529	NULL	NULL	PDT000010471.2	2012-12-11	1074000	CAKX	CAKX00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC=HMM,fos=HMM"	"ampC=HMM,fos=HMM"	2	"asr=HMM,fieF=PARTIAL"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000010472.2|SAMEA2272335|GCA_000319345.1|Cronobacter dublinensis 1210||1210|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000319345.1	Contig	45222	4600629	221	NULL	Generic	PRJEB161	Life Technologies	SAMEA2272335	"1210","ERS379768","GCA_000319345"	NULL	NULL	NULL	506318	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Cronobacter dublinensis 1210	NULL	NULL	413497	NULL	NULL	1210	NULL	NULL	PDT000010472.2	2012-12-11	1208656	CAKZ	CAKZ00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	3.8.28	2020-09-30.1	COMBINED	1
PDT000010475.2|SAMEA2272594|GCA_000319495.1|Cronobacter dublinensis 582||582|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000319495.1	Scaffold	135847	4764789	504	NULL	Generic	PRJEB160	Life Technologies	SAMEA2272594	"582","ERS380008","GCA_000319495"	NULL	NULL	NULL	506548	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Cronobacter dublinensis 582	NULL	NULL	413497	NULL	NULL	582	NULL	NULL	PDT000010475.2	2012-12-12	1208661	CALA	CALA00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	3.6.7	2020-01-06.1	COMBINED	1
PDT000010889.2|SAMN02604116|GCA_000339015.1|Cronobacter sakazakii SP291||Sp291|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000339015.1	Complete Genome	4344092	4518784	4	Velvet v. 1.0.15, Newbler v. 2.6	Generic	PRJNA62201	University College Dublin	SAMN02604116	"CP004091","Sp291"	NULL	NULL	NULL	538458	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP004091	Cronobacter sakazakii SP291	NULL	NULL	28141	NULL	NULL	Sp291	NULL	NULL	PDT000010889.2	2013-02-11	956149	NULL	NULL	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"blaCSA-2,fos=HMM"	"blaCSA-2,fos=HMM"	18	"asr=HMM,clpK,fieF,hsp20,pcoA=MISTRANSLATION,pcoB,pcoC,pcoD,pcoE,pcoR,silA,silB,silC,silE,silF,silP=PARTIAL,silR,silS"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000015427.2|SAMN02952927|GCA_000409265.1|Cronobacter sakazakii 2151||2151|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000409265.1	Contig	207113	4382750	60	Celera Assembler v. 01-15-20115	Generic	PRJNA89093	Cronobacter sakazakii Genome Sequencing Consortium	SAMN02952927	"2151","gb|AJKT00000000.1"	NULL	NULL	clinical	701068	USA	Homo sapiens	NULL	cerebrospinal fluid	NULL	NULL	NULL	NULL	Cronobacter sakazakii 2151	NULL	NULL	28141	NULL	NULL	2151	NULL	NULL	PDT000015427.2	2013-06-07	1159489	AJKT	AJKT00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"blaCSA-2,fos=HMM"	"blaCSA-2,fos=HMM"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000015428.2|SAMN02952928|GCA_000409285.1|Cronobacter muytjensii ATCC 51329||ATCC 51329|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000409285.1	Contig	123205	4322611	72	Celera Assembler v. 01-15-2011	Generic	PRJNA258403	FDA/CFSAN	SAMN02952928	"ATCC 51329","ATCC:51329","gb|AJKU00000000.1"	NULL	NULL	clinical	701088	NULL	Homo sapiens	NULL	NULL	NULL	NULL	NULL	NULL	Cronobacter muytjensii ATCC 51329	NULL	NULL	413501	NULL	NULL	ATCC 51329	NULL	NULL	PDT000015428.2	2013-06-07	1159613	AJKU	AJKU00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC=HMM,fos=HMM"	"ampC=HMM,fos=HMM"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000015429.2|SAMN02952929|GCA_000409305.1|Cronobacter malonaticus LMG 23826||LMG 23826|Generic	NULL	NULL	clinical/research| human	NULL	NULL	NULL	NULL	NULL	GCA_000409305.1	Contig	108289	4434037	127	Celera Assembler v. 01-15-2011	Generic	PRJNA258403	FDA/CFSAN	SAMN02952929	"LMG 23826","LMG:23826","gb|AJKV00000000.1"	NULL	NULL	clinical	701108	USA	Homo sapiens	NULL	breast abscess	NULL	breast:uberon_0000310| abscess:mpath_608	NULL	NULL	Cronobacter malonaticus LMG 23826	NULL	NULL	413503	NULL	NULL	LMG 23826	NULL	NULL	PDT000015429.2	2013-06-07	1159491	AJKV	AJKV00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"blaCMA,fos=HMM"	"blaCMA,fos=HMM"	30	"arsA,arsB,arsC,arsD,arsR,asr=HMM,fieF,hdeD-GI,hsp20,kefB-GI,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,psi-GI,shsP,silA,silB,silC,silE,silF,silP,silR,silS,trxLHR,yfdX1,yfdX2"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
