Enterobacter_cloacae | número de entradas: 112 | date: 2023-05-03 10:42:53.356408
GCF_029873395.1 SAMN34233931
GCA_027595725.1 SAMN16387654
GCA_905233075.2 SAMEA7962818
GCA_905233065.2 SAMEA7962815
GCA_905233055.2 SAMEA7962814
GCA_905233045.2 SAMEA7962813
GCA_905233035.2 SAMEA7962812
GCA_905232845.2 SAMEA7962793
GCA_905232785.2 SAMEA7962791
GCA_905232805.2 SAMEA7962789
GCA_905232815.2 SAMEA7962787
GCA_905232775.2 SAMEA7962786
GCA_905232075.2 SAMEA7962773
GCA_905232125.2 SAMEA7962772
GCA_905232035.2 SAMEA7962771
GCA_905231975.2 SAMEA7962770
GCA_905231985.2 SAMEA7962766
GCA_905232045.2 SAMEA7962763
GCA_905232685.2 SAMEA7962759
GCA_905232655.2 SAMEA7962754
GCA_905232645.2 SAMEA7962753
GCA_905232625.2 SAMEA7962752
GCA_905232535.2 SAMEA7962743
GCA_905232525.2 SAMEA7962740
GCA_905232495.2 SAMEA7962739
GCA_905232485.2 SAMEA7962738
GCA_905232475.2 SAMEA7962737
GCA_905232455.2 SAMEA7962733
GCA_905219305.2 SAMEA7853283
GCA_905219245.2 SAMEA7853278
GCA_905219205.2 SAMEA7853274
GCA_905219195.2 SAMEA7853273
GCA_905217835.2 SAMEA7853270
GCA_025908375.1 SAMN31029875
GCF_025426135.1 SAMN29981189
GCF_024917615.1 SAMN28174020
GCA_024138875.1 SAMN18256316
GCF_023920605.1 SAMN26208495
GCA_905330775.2 SAMEA8065771
GCA_903993235.2 SAMEA7082339
GCA_905335515.2 SAMEA8158470
GCA_905335505.2 SAMEA8158463
GCA_903993075.2 SAMEA7082316
GCA_905337795.2 SAMEA8158520
GCA_905338035.2 SAMEA8158515
GCA_905335585.2 SAMEA8158477
GCA_905331255.2 SAMEA8065832
GCA_905330335.2 SAMEA8065723
GCA_905331095.2 SAMEA8065803
GCA_905330795.2 SAMEA8065774
GCF_905331265.2 SAMEA8065834
GCA_905331005.2 SAMEA8065795
GCA_905330885.2 SAMEA8065783
GCA_905330345.2 SAMEA8065724
GCA_905322485.2 SAMEA8065682
GCA_905329565.2 SAMEA8065826
GCA_905322515.2 SAMEA8065681
GCA_905330285.2 SAMEA8065717
GCA_905329655.2 SAMEA8065845
GCA_905334015.2 SAMEA8158443
GCA_905331205.2 SAMEA8065814
GCA_905330125.2 SAMEA8065700
GCA_905333945.2 SAMEA8158444
GCA_905331215.2 SAMEA8065815
GCF_905331365.1 SAMEA8065846
GCF_905322535.1 SAMEA8065687
GCF_023238665.1 SAMN26686306
GCF_023023085.1 SAMN21379556
GCF_022220405.1 SAMN25692586
GCF_021497605.1 SAMN18311224
GCF_021496745.1 SAMN14938331
GCA_020886835.1 SAMD00389785
GCF_020882135.1 SAMN22871632
GCA_020695565.1 SAMN22377430
GCF_020540925.1 SAMN22169090
GCF_019047105.1 SAMN16357573
GCF_018140965.1 SAMN18753389
GCA_017347405.1 SAMD00282210
GCF_016864115.1 SAMN12999973
GCF_016864095.1 SAMN12999971
GCF_016864075.1 SAMN12999970
GCF_015138375.1 SAMD00195991
GCA_015137855.1 SAMD00195978
GCF_014169815.1 SAMD00194638
GCF_014169635.1 SAMD00194608
GCF_014169315.1 SAMD00194528
GCF_014169295.1 SAMD00194526
GCA_013750175.1 SAMN15148601
GCA_013747975.1 SAMN15148640
GCA_013739155.1 SAMN15148680
GCA_013736615.1 SAMN15148625
GCA_013736395.1 SAMN15148634
GCF_013376835.1 SAMN15300312
GCF_013376815.1 SAMN15299128
GCF_012974405.1 SAMN14734641
GCF_009707405.1 SAMN13288306
GCF_006228165.1 SAMN11866226
GCF_004193715.1 SAMN10872819
GCF_004151605.1 SAMN10844942
GCF_003719615.1 SAMN10359476
GCF_003573505.1 SAMN04014914
GCF_003031755.1 SAMN04456586
GCF_003031445.1 SAMN04122808
GCF_002982195.1 SAMN06448868
GCF_002303275.1 SAMN05831100
GCF_002197345.1 SAMN07162522
GCF_000235765.1 SAMN02603521
GCF_000784905.1 SAMN02821151
GCF_000784865.1 SAMN02821150
GCF_000770155.1 SAMN03005138
GCF_000724505.1 SAMN02713682
GCF_000025565.1 SAMN02603901
