#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000019204.3|SAMN02138596|GCA_000492675.1|Enterobacter asburiae||BWH 31|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000492675.1	Scaffold	424596	5204871	30	allpaths v. R47032	Generic	PRJNA201971	Broad Institute	SAMN02138596	"BWH 31","Enterobacter cloacae BWH 31","SRS420703"	NULL	NULL	NULL	847688	NULL	NULL	NULL	bile	NULL	NULL	NULL	Enterobacter cloacae BWH 31	Enterobacter asburiae	NULL	NULL	61645	NULL	NULL	BWH 31	NULL	NULL	PDT000019204.3	2013-10-30	61645	AYIP	AYIP00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaACT-2,fosA,oqxB"	"blaACT-2,fosA,oqxB"	25	"arsC,arsC=HMM,asr=HMM,clpK,fieF,hsp20,merA=PARTIAL,merD,merE,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silA=MISTRANSLATION,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT000019453.2|SAMN02471838|GCA_000498635.1|Enterobacter asburiae L1||L1|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000498635.1	Contig	37421	4498316	195	CLC NGS Cell v. 6.0.5	Generic	PRJNA218844	UNIVERSITY OF MALAYA	SAMN02471838	"AWXI","L1"	NULL	NULL	NULL	860948	Malaysia	NULL	NULL	lettuce leaf	NULL	NULL	NULL	AWXI	Enterobacter asburiae L1	NULL	NULL	61645	NULL	NULL	L1	NULL	NULL	PDT000019453.2	2013-11-22	1421338	AWXI	AWXI00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,catA=HMM,fosA,oqxB,qnrE"	"blaACT,catA=HMM,fosA,oqxB,qnrE"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000021104.2|SAMN02356629|GCA_000534055.1|Enterobacter asburiae||UCI 49|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000534055.1	Scaffold	909010	5014370	15	allpaths v. R47768	Generic	PRJNA219301	Broad Institute	SAMN02356629	"Enterobacter cloacae UCI 49","SRS485438","UCI 49"	NULL	NULL	clinical	907488	USA: Irvine, CA	Homo sapiens	NULL	urine	NULL	NULL	NULL	Enterobacter cloacae UCI 49	Enterobacter asburiae	NULL	NULL	61645	NULL	NULL	UCI 49	NULL	NULL	PDT000021104.2	2014-02-03	61645	JCKL	JCKL00000000.1	NULL	NULL	NULL	6	3	5	14	14	13	"amikacin=S,ampicillin=R,cefazolin=R,cefotaxime=R,cefoxitin=R,ceftazidime=R,cephalothin=S,ciprofloxacin=R,ertapenem=I,gentamicin=I,imipenem=I,meropenem=S,nitrofurantoin=S,tigecycline=S"	"aac(3)-IIb,aac(6')-Ib-cr5,arr-3,blaACT,blaFOX-3,blaOXA-1,blaTEM-1,catA=HMM,catB3,fosA,mcr-9.1,mph(A),oqxB,sul1"	"aac(3)-IIb,aac(6')-Ib-cr5,arr-3,blaACT,blaFOX-3,blaOXA-1,blaTEM-1,catA=HMM,catB3,fosA,mph(A),oqxB,sul1"	44	"arsC=HMM,asr=HMM,clpK,fieF,hdeD-GI,hsp20,kefB-GI,merA=HMM,merB,merC,merC=HMM,merD,merD=HMM,merE,merE=HMM,merP,merR,merT,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,psi-GI,qacEdelta1,shsP,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ,trxLHR,yfdX1,yfdX2"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000022790.2|SAMN02567292|GCA_000568175.1|Enterobacter asburiae C1||C1|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000568175.1	Contig	143639	4882441	75	CLC Genomics Workbench v. 6.0.5	MIGS Cultured Bacterial/Archaeal	PRJNA232953	UNIVERSITY OF MALAYA	SAMN02567292	"C1","ENTEROBACTER ASBURIAE C1"	NULL	2012-09	NULL	941778	Malaysia	NULL	NULL	NULL	3.003361 N 101.659194 E	NULL	NULL	ENTEROBACTER ASBURIAE C1	Enterobacter asburiae C1	NULL	NULL	61645	NULL	NULL	C1	NULL	"Isolation of Quorum Sensing Bacteria from Ex-Landfill Site"	PDT000022790.2	2014-02-10	1442602	JACW	JACW00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000026687.2|SAMN02716203|GCA_000632395.1|Enterobacter asburiae L1||L1|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000632395.1	Complete Genome	4561905	4561905	1	De Novo Assembly Method v. unknown	MIGS Cultured Bacterial/Archaeal	PRJNA243408	University of Malaya	SAMN02716203	"L1"	NULL	2013-04-03	NULL	1007568	Malaysia	NULL	NULL	NULL	3.063528 N 101.694417 E	NULL	NULL	L1	Enterobacter asburiae L1	NULL	NULL	61645	NULL	NULL	L1	NULL	NULL	PDT000026687.2	2014-04-15	1421338	NULL	NULL	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,catA=HMM,fosA,oqxB,qnrE"	"blaACT,catA=HMM,fosA,oqxB,qnrE"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000045785.2|SAMN02787124|GCA_000799205.1|Enterobacter asburiae||PDN3|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000799205.1	Scaffold	627840	4625174	16	Unknown program v. before 2014-08-15	MIGS Cultured Bacterial/Archaeal	PRJNA247592	DOE Joint Genome Institute	SAMN02787124	"1035789","PDN3","SRS1652524"	NULL	missing	NULL	1412828	NULL	NULL	NULL	NULL	not collected	NULL	NULL	NULL	Enterobacter asburiae	NULL	NULL	61645	NULL	NULL	PDN3	NULL	"Enterobacter asburiae PDN3"	PDT000045785.2	2014-12-09	61645	JUGH	JUGH00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000052334.2|SAMN03277192|GCA_000965825.1|Enterobacter asburiae||CIDEIMsCOL5|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000965825.1	Contig	84394	4907054	167	SPAdes v. 3.1.0	Microbe	PRJNA271006	JCVI	SAMN03277192	"CIDEIMsCOL5","Enterobacter cloacae CIDEIMsCOL5","SRS849782"	CIDEIM	2009	clinical	1713758	Colombia	Homo sapiens	NULL	excreted bodily substance	NULL	NULL	NULL	Enterobacter cloacae CIDEIMsCOL5	Enterobacter asburiae	NULL	NULL	61645	NULL	NULL	CIDEIMsCOL5	NULL	NULL	PDT000052334.2	2015-03-30	61645	JZKP	JZKP00000000.1	NULL	NULL	NULL	0	0	0	0	6	5	NULL	"blaACT,blaKPC-2,fosA,mcr-9.1,oqxB,qnrB19"	"blaACT,blaKPC-2,fosA,oqxB,qnrB19"	34	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,fieF,hsp20,merA=HMM,merC=HMM,merD,merE,merF,merP,merP=HMM,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS=PARTIAL_END_OF_CONTIG,silA,silA=PARTIAL,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000052342.2|SAMN03277191|GCA_000966005.1|Enterobacter asburiae||CIDEIMsCOL4|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000966005.1	Contig	81812	5170031	231	SPAdes v. 3.1.0	Microbe	PRJNA271006	JCVI	SAMN03277191	"CIDEIMsCOL4","Enterobacter cloacae CIDEIMsCOL4","SRS849197"	CIDEIM	2009	clinical	1713918	Colombia	Homo sapiens	NULL	bodily fluid	NULL	NULL	NULL	Enterobacter cloacae CIDEIMsCOL4	Enterobacter asburiae	NULL	NULL	61645	NULL	NULL	CIDEIMsCOL4	NULL	NULL	PDT000052342.2	2015-03-30	61645	JZKO	JZKO00000000.1	NULL	NULL	NULL	0	0	0	0	19	18	NULL	"aac(3)-IIe,aac(6')-Ian,aadA16,aph(3'')-Ib,aph(6)-Id,blaACT,blaKPC-2,blaOXA-2,blaSHV-12,blaTEM-1,catA1,dfrA29,ere(A)=PARTIAL_END_OF_CONTIG,fosA,mcr-9.1,oqxB,qnrB19,sul1,tet(B)"	"aac(3)-IIe,aac(6')-Ian,aadA16,aph(3'')-Ib,aph(6)-Id,blaACT,blaKPC-2,blaOXA-2,blaSHV-12,blaTEM-1,catA1,dfrA29,ere(A)=PARTIAL_END_OF_CONTIG,fosA,oqxB,qnrB19,sul1,tet(B)"	41	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,fieF,hsp20,merA=HMM,merC,merC=HMM,merD,merD=HMM,merE,merE=HMM,merF,merP,merP=HMM,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,qacEdelta1,silA,silA=PARTIAL,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000061590.2|SAMN03333163|GCA_000952575.1|Enterobacter asburiae||MNCRE20|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000952575.1	Scaffold	130558	4553179	86	CLC Genomics Workbench v. JUNE-2014	Pathogen: clinical or host-associated	PRJNA272863	University of Minnesota	SAMN03333163	"MNCRE20"	NULL	2011	clinical	1683498	USA: Minnesota	Homo sapiens	Not available	Not available	46 N 94 W	NULL	NULL	MNCRE20	Enterobacter asburiae	NULL	NULL	61645	NULL	NULL	MNCRE20	NULL	NULL	PDT000061590.2	2015-03-13	61645	JYMM	JYMM00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT-105,catA=HMM,fosA,oqxB,qnrE4"	"blaACT-105,catA=HMM,fosA,oqxB,qnrE4"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000061593.2|SAMN03333156|GCA_000952605.1|Enterobacter asburiae||MNCRE14|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000952605.1	Scaffold	131368	4525676	81	CLC Genomics Workbench v. JUNE-2014	Pathogen: clinical or host-associated	PRJNA272863	University of Minnesota	SAMN03333156	"MNCRE14"	NULL	2010	clinical	1683538	USA: Minnesota	Homo sapiens	Not available	sputum	46 N 94 W	NULL	NULL	MNCRE14	Enterobacter asburiae	NULL	NULL	61645	NULL	NULL	MNCRE14	NULL	NULL	PDT000061593.2	2015-03-13	61645	JYMF	JYMF00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT-93,blaNMC-A,catA=HMM,fosA,oqxB=PARTIAL"	"blaACT-93,blaNMC-A,catA=HMM,fosA,oqxB=PARTIAL"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
