#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000007260.3|SAMN02470679|GCA_000240095.3|Elizabethkingia anophelis Ag1||Ag1|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000240095.3	Complete Genome	4093812	4093812	1	CLC NGS Cell v. 8.5	Generic	PRJNA77829	New Mexico State University	SAMN02470679	"AHHG","Ag1"	NULL	2010-08	NULL	5025648	USA: New Mexico	Anopheles gambiae	NULL	gut	NULL	NULL	NULL	AHHG	Elizabethkingia anophelis Ag1	NULL	NULL	1117645	NULL	NULL	Ag1	NULL	NULL	PDT000007260.3	2017-09-18	1117646	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"aadS=HMM,bla=HMM,blaB-18,blaCME-3,blaGOB-20,catB=HMM"	"aadS=HMM,bla=HMM,blaB-18,blaCME-3,blaGOB-20,catB=HMM"	0	NULL	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
PDT000010724.2|SAMN02470677|GCA_000331815.1|Elizabethkingia anophelis R26||R26|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000331815.1	Contig	207010	4032720	66	DNAstar SeqMan NGen v. 10.0	Generic	PRJNA178189	Stockholm University	SAMN02470677	"ANIW","R26"	NULL	2006-09	NULL	524748	Sweden	Anopheles gambiae lab colony	NULL	Anopheles gambiae G3 adults	NULL	NULL	NULL	ANIW	Elizabethkingia anophelis R26	NULL	NULL	1117645	NULL	NULL	R26	NULL	NULL	PDT000010724.2	2013-01-15	1246994	ANIW	ANIW00000000.1	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"aadS=HMM,bla=HMM,blaB-18,blaCME-3,blaGOB-20,catB=HMM"	"aadS=HMM,bla=HMM,blaB-18,blaCME-3,blaGOB-20,catB=HMM"	0	NULL	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
PDT000013324.2|SAMD00041814|GCA_000367325.1|Elizabethkingia meningoseptica ATCC 13253 = NBRC 12535||NBRC 12535|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000367325.1	Contig	248179	3840286	34	Newbler v. 2.6	MIGS Cultured Bacterial/Archaeal	PRJDB229	National Institute of Technology and Evaluation	SAMD00041814	"NBRC 12535"	NULL	NULL	NULL	591788	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Elizabethkingia meningoseptica ATCC 13253 = NBRC 12535	NULL	NULL	238	NULL	NULL	NBRC 12535	NULL	"Genome sequencing project"	PDT000013324.2	2013-04-18	1216967	BARD	BARD00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"aadS=HMM,bla=HMM,blaB-19,blaGOB-22,catB=HMM"	"aadS=HMM,bla=HMM,blaB-19,blaGOB-22,catB=HMM"	0	NULL	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
PDT000015284.2|SAMN02470766|GCA_000401415.1|Elizabethkingia meningoseptica ATCC 13253 = NBRC 12535||ATCC 13253|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000401415.1	Contig	64581	3796928	115	Newbler v. 2.7	Generic	PRJNA198814	Oklahoma State University	SAMN02470766	"ASAN","ATCC 13253","ATCC:13253","SRS583681"	NULL	NULL	NULL	692738	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ASAN	Elizabethkingia meningoseptica ATCC 13253 = NBRC 12535	NULL	NULL	238	NULL	NULL	ATCC 13253	NULL	NULL	PDT000015284.2	2013-05-24	1216967	ASAN	ASAN00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"aadS=HMM,bla=HMM,blaB-19,blaGOB,catB=HMM"	"aadS=HMM,bla=HMM,blaB-19,blaGOB,catB=HMM"	0	NULL	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
PDT000017358.2|SAMN02471026|GCA_000447375.1|Elizabethkingia anophelis 502||502|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000447375.1	Contig	482386	3960658	21	SPAdes v. 2.5	Generic	PRJNA176121	University of Birmingham	SAMN02471026	"502","AVCQ"	NULL	2012	clinical	756518	United Kingdom: Birmingham	Homo sapiens	NULL	wound swab	NULL	NULL	NULL	AVCQ	Elizabethkingia anophelis 502	NULL	NULL	1117645	NULL	NULL	502	NULL	NULL	PDT000017358.2	2013-08-15	1355388	AVCQ	AVCQ00000000.1	NULL	NULL	NULL	0	0	0	0	7	7	NULL	"aadS=HMM,arr=HMM,bla=HMM,blaB-17,blaCME,blaGOB-39,catB=HMM"	"aadS=HMM,arr=HMM,bla=HMM,blaB-17,blaCME,blaGOB-39,catB=HMM"	0	NULL	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
PDT000019306.2|SAMN02470988|GCA_000495935.2|Elizabethkingia anophelis NUHP1||NUHP1|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000495935.2	Complete Genome	4369828	4369828	1	SOAPdenovo v. 2.04	Generic	PRJNA205476	SCELSE	SAMN02470988	"ASYE","NUHP1"	NULL	2012	clinical	1192348	Singapore	Homo sapiens	NULL	patient from the cardio-thoracic ICU ward in National University Hospital	NULL	NULL	NULL	ASYE	Elizabethkingia anophelis NUHP1	NULL	NULL	1117645	NULL	NULL	NUHP1	NULL	NULL	PDT000019306.2	2014-08-28	1338011	NULL	NULL	NULL	NULL	NULL	0	0	0	0	7	7	NULL	"aadS,aadS=HMM,bla=HMM,blaB-21,blaCME,blaGOB-21,catB=HMM"	"aadS,aadS=HMM,bla=HMM,blaB-21,blaCME,blaGOB-21,catB=HMM"	0	NULL	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
PDT000019307.1|SAMN02470989|GCA_000495955.1|Elizabethkingia anophelis NUHP2||NUHP2|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000495955.1	Contig	422755	4334646	59	CLC NGS Cell v. 6.0.3	Generic	PRJNA205478	SCELSE	SAMN02470989	"ASYF","NUHP2"	NULL	2012	clinical	855638	Singapore	Homo sapiens	NULL	patient from the cardio-thoracic ICU ward in National University Hospital	NULL	NULL	NULL	ASYF	Elizabethkingia anophelis NUHP2	NULL	NULL	1117645	NULL	NULL	NUHP2	NULL	NULL	PDT000019307.1	2013-11-07	1338012	ASYF	ASYF00000000.1	NULL	NULL	NULL	0	0	0	0	7	7	NULL	"aadS,aadS=HMM,bla=HMM,blaB-21,blaCME,blaGOB-21,catB=HMM"	"aadS,aadS=HMM,bla=HMM,blaB-21,blaCME,blaGOB-21,catB=HMM"	0	NULL	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
PDT000019308.1|SAMN02470991|GCA_000495975.1|Elizabethkingia anophelis NUHP3||NUHP3|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000495975.1	Contig	463853	4334105	71	CLC NGS Cell v. 6.0.3	Generic	PRJNA205479	SCELSE	SAMN02470991	"ASYG","NUHP3"	NULL	2012	clinical	855658	Singapore	Homo sapiens	NULL	patient from the cardio-thoracic ICU ward in National University Hospital	NULL	NULL	NULL	ASYG	Elizabethkingia anophelis NUHP3	NULL	NULL	1117645	NULL	NULL	NUHP3	NULL	NULL	PDT000019308.1	2013-11-07	1338013	ASYG	ASYG00000000.1	NULL	NULL	NULL	0	0	0	0	7	7	NULL	"aadS,aadS=HMM,bla=HMM,blaB-21,blaCME,blaGOB-21,catB=HMM"	"aadS,aadS=HMM,bla=HMM,blaB-21,blaCME,blaGOB-21,catB=HMM"	0	NULL	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
PDT000019309.1|SAMN02470987|GCA_000495995.1|Elizabethkingia anophelis NUH1||NUH1|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000495995.1	Contig	463821	4334661	59	CLC NGS Cell v. 6.0.3	Generic	PRJNA205480	SCELSE	SAMN02470987	"ASYH","NUH1"	NULL	2012	NULL	855678	Singapore	NULL	NULL	hand hygiene sink aerator of the cardio-thoracic ICU ward of National University Hospital	NULL	NULL	NULL	ASYH	Elizabethkingia anophelis NUH1	NULL	NULL	1117645	NULL	NULL	NUH1	NULL	NULL	PDT000019309.1	2013-11-07	1338014	ASYH	ASYH00000000.1	NULL	NULL	NULL	0	0	0	0	7	7	NULL	"aadS,aadS=HMM,bla=HMM,blaB-21,blaCME,blaGOB-21,catB=HMM"	"aadS,aadS=HMM,bla=HMM,blaB-21,blaCME,blaGOB-21,catB=HMM"	0	NULL	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
PDT000019310.1|SAMN02470992|GCA_000496015.1|Elizabethkingia anophelis NUH4||NUH4|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000496015.1	Contig	385850	4239486	50	CLC NGS Cell v. 6.0.3	Generic	PRJNA205481	SCELSE	SAMN02470992	"ASYI","NUH4"	NULL	2012	NULL	855698	Singapore	NULL	NULL	hand hygiene sink aerator of the surgical stepdown ward in National University Hospital	NULL	NULL	NULL	ASYI	Elizabethkingia anophelis NUH4	NULL	NULL	1117645	NULL	NULL	NUH4	NULL	NULL	PDT000019310.1	2013-11-07	1338015	ASYI	ASYI00000000.1	NULL	NULL	NULL	0	0	0	0	8	8	NULL	"aadS,aadS=HMM,bla=HMM,blaB-21,blaCME,blaGOB-21,catB=HMM,tet(X2)"	"aadS,aadS=HMM,bla=HMM,blaB-21,blaCME,blaGOB-21,catB=HMM,tet(X2)"	0	NULL	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
