Enterobacter_ludwigii | número de entradas: 24 | date: 2023-05-03 10:43:07.900563
GCF_029834565.1 SAMN34152342
GCF_029718885.1 SAMN15488648
GCF_029721015.1 SAMN15488725
GCF_029720995.1 SAMN15488726
GCF_029718315.1 SAMN15488591
GCF_029718255.1 SAMN15488597
GCF_028198205.1 SAMN32745804
GCF_022832735.1 SAMN27117998
GCF_020783255.1 SAMN22567594
GCF_020783235.1 SAMN22567595
GCF_020783215.1 SAMN22567593
GCF_020099215.1 SAMN21218854
GCF_019930965.1 SAMN20888892
GCA_019047005.1 SAMN16357578
GCF_013375975.1 SAMN15300311
GCF_006385915.1 SAMN12026966
GCF_005890075.1 SAMN11415809
GCF_005848825.1 SAMN11415807
GCF_005518115.1 SAMN11415570
GCF_002025685.1 SAMN06130962
GCF_001750725.1 SAMN05787341
GCF_001029645.1 SAMN03743787
GCF_000239975.1 SAMN02604307
GCF_000512375.1 SAMN02641647
