#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000005280.3|SAMN02603129|GCA_000020865.1|Edwardsiella tarda EIB202||EIB202|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000020865.1	Complete Genome	3760463	3804166	2	NULL	Generic	PRJNA28539	Chinese National Human Genome Center at Shanghai	SAMN02603129	"CP001135","EIB202","SRS1539764"	NULL	NULL	NULL	21668	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP001135	Edwardsiella tarda EIB202	NULL	NULL	636	NULL	NULL	EIB202	NULL	NULL	PDT000005280.3	2010-05-12	498217	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"ampC,aph(3'')-Ib,aph(6)-Id,catA3,sul2,tet(A)"	"ampC,aph(3'')-Ib,aph(6)-Id,catA3,sul2,tet(A)"	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000005888.3|SAMN00000732|GCA_000163955.1|Edwardsiella tarda ATCC 23685||ATCC 23685|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000163955.1	Scaffold	22002	3744568	372	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA28661	Washington University Genome Sequencing Center	SAMN00000732	"ATCC 23685","ATCC:23685","Edwardsiella tarda ATCC 23685","SRS001150"	NULL	missing	clinical	198618	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	NULL	Edwardsiella tarda ATCC 23685	NULL	NULL	636	NULL	NULL	ATCC 23685	NULL	"Edwardsiella tarda ATCC 23685"	PDT000005888.3	2010-10-15	500638	ADGK	ADGK00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC=HMM,tet(C)=PARTIAL_END_OF_CONTIG"	"ampC=HMM,tet(C)=PARTIAL_END_OF_CONTIG"	2	"arsC=HMM,asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000007762.3|SAMN02603331|GCA_000146305.1|Edwardsiella tarda FL6-60||FL6-60|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000146305.1	Complete Genome	3684607	3728801	2	NULL	Generic	PRJNA45969	IBL Leiden University	SAMN02603331	"CP002154","FL6-60"	NULL	NULL	NULL	168898	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP002154	Edwardsiella tarda FL6-60	NULL	NULL	636	NULL	NULL	FL6-60	NULL	NULL	PDT000007762.3	2010-08-26	718251	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000011196.3|SAMD00041800|GCA_000341505.1|Edwardsiella tarda ATCC 15947 = NBRC 105688||NBRC 105688|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000341505.1	Contig	176730	3610384	34	Newbler v. 2.6	MIGS Cultured Bacterial/Archaeal	PRJDB227	National Institute of Technology and Evaluation	SAMD00041800	"NBRC 105688"	NULL	NULL	NULL	541438	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Edwardsiella tarda ATCC 15947 = NBRC 105688	NULL	NULL	636	NULL	NULL	NBRC 105688	NULL	"Genome sequencing project"	PDT000011196.3	2013-02-20	667121	BANW	BANW00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	2	"arsC=HMM,asr=HMM"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000013500.3|SAMN02469762|GCA_000264805.1|Edwardsiella tarda ATCC 15947 = NBRC 105688||ATCC 15947|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000264805.1	Contig	24848	3694689	247	Velvet v. 0.7.61	Generic	PRJNA39897	State Key Laboratory of Bioreactor Engineering, East China University of Science and Technology	SAMN02469762	"AFJG","ATCC 15947","ATCC:15947"	NULL	1959	clinical	382718	USA: Kentucky	Homo sapiens	NULL	NULL	NULL	NULL	NULL	AFJG	Edwardsiella tarda ATCC 15947 = NBRC 105688	NULL	NULL	636	NULL	NULL	ATCC 15947	NULL	NULL	PDT000013500.3	2012-05-31	667121	AFJG	AFJG00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	2	"arsC=HMM,asr=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000013503.3|SAMN02469760|GCA_000264825.1|Edwardsiella tarda DT||DT|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000264825.1	Contig	119323	3759581	83	Newbler v. 2.3	Generic	PRJNA66369	East China University of Science and Technology, China	SAMN02469760	"AFJJ","DT"	NULL	2007	NULL	382738	China: Guangzhou	Astronotus ocellatus	NULL	NULL	NULL	NULL	NULL	AFJJ	Edwardsiella tarda DT	NULL	NULL	636	NULL	NULL	DT	NULL	NULL	PDT000013503.3	2012-05-31	1027364	AFJJ	AFJJ00000000.1	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"aadA2,ampC=HMM,dfrA12,qnrA1,sul1,tet(A)"	"aadA2,ampC=HMM,dfrA12,qnrA1,sul1,tet(A)"	10	"arsC=HMM,asr=HMM,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT,qacE=PARTIAL_END_OF_CONTIG"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000046273.2|SAMN03004776|GCA_000804515.1|Edwardsiella tarda||ET883|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000804515.1	Contig	48654	3829674	167	Newbler v. 2.7	Microbe	PRJNA259400	East China University of Science and Technology	SAMN03004776	"ET883"	NULL	1989	NULL	1424208	Norway	European eel	NULL	NULL	NULL	NULL	NULL	ET883	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	ET883	NULL	NULL	PDT000046273.2	2014-12-18	636	JRGQ	JRGQ00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000066537.2|SAMN03579666|GCA_001011055.2|Edwardsiella tarda||FL95-01|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001011055.2	Complete Genome	3621131	3621131	1	whole genome shotgun assembler (Celera) v. 8.2beta	Microbe	PRJNA282821	Mississippi State University	SAMN03579666	"FL95-01"	NULL	1995	NULL	29399238	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	FL95-01	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	FL95-01	NULL	NULL	PDT000066537.2	2021-10-08	636	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"aadA2,ampC=HMM,dfrA12,sul1"	"aadA2,ampC=HMM,dfrA12,sul1"	3	"arsC=HMM,asr=HMM,qacEdelta1"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000163857.2|SAMN05415001|GCA_001700615.1|Edwardsiella tarda||ASE201307|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001700615.1	Scaffold	316099	3684793	41	SOAPdenovo v. 2.04	Pathogen: clinical or host-associated	PRJNA329181	Huazhong Agricultural University	SAMN05415001	"ASE201307","Edwardsiella tarda ASE201307"	Jianchun Shao	2013-07-15	clinical	3375858	China: Lichuan City, Hubei Province	swamp eel	edwardsiellosis	Asian swamp eel	30.32 N 108.93 E	NULL	NULL	Edwardsiella tarda ASE201307	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	ASE201307	NULL	NULL	PDT000163857.2	2016-08-08	636	MBLV	MBLV00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"ampC=HMM,qnrS1,tet(A)"	"ampC=HMM,qnrS1,tet(A)"	2	"arsC=HMM,asr=HMM"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000191016.2|SAMN06131423|GCA_002006945.1|Edwardsiella tarda||NCIMB2034|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002006945.1	Contig	133163	3760826	221	SPAdes v. 3.6.2	Microbe	PRJNA357015	Universidade de Santiago de Compostela	SAMN06131423	"NCIMB2034"	NULL	1977	NULL	4161188	USA	unknown fish	NULL	NULL	NULL	NULL	NULL	NCIMB2034	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	NCIMB2034	NULL	NULL	PDT000191016.2	2017-02-27	636	MSSL	MSSL00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC=HMM,sul1"	"ampC=HMM,sul1"	11	"arsC=HMM,asr=HMM,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT,qacEdelta1,qacG2"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
