#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000007270.3|SAMN02604307|GCA_000239975.1|Enterobacter ludwigii||EcWSU1|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000239975.1	Complete Genome	4734438	4798091	2	NULL	Generic	PRJNA67983	Washington State University	SAMN02604307	"CP002886","EcWSU1"	NULL	NULL	NULL	322618	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP002886	Enterobacter ludwigii	NULL	NULL	299767	NULL	NULL	EcWSU1	NULL	NULL	PDT000007270.3	2011-12-23	299767	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA2,oqxB"	"blaACT,catA=HMM,fosA2,oqxB"	5	"arsC=HMM,asr=HMM,fieF,silA,silR"	0	NULL	3.10.40	2022-08-09.1	COMBINED	1
PDT000017264.3|SAMN02212350|GCA_000422225.1|Enterobacter ludwigii||Hanford|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000422225.1	Contig	640760	4832153	62	CLC Genomics Workbench v. 6.0	Generic	PRJNA206261	Oak Ridge National Lab	SAMN02212350	"Enterobacter cloacae strain Hanford","Hanford","SRS452216"	NULL	2008-11	NULL	731728	USA: Washington	NULL	NULL	Water Sample	NULL	NULL	NULL	Enterobacter cloacae strain Hanford	Enterobacter ludwigii	NULL	NULL	299767	NULL	NULL	Hanford	NULL	NULL	PDT000017264.3	2013-07-11	299767	ATCK	ATCK00000000.1	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"blaACT,blaTEM-116,catA=HMM,catA1,fosA,oqxB"	"blaACT,blaTEM-116,catA=HMM,catA1,fosA,oqxB"	5	"arsC=HMM,asr=HMM,fieF,silA,silR"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000020141.2|SAMN02641647|GCA_000512375.1|Enterobacter ludwigii||P101|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000512375.1	Complete Genome	5369929	5369929	1	SMRT Analysis (HGAP) v. 2.0.0	Pathogen: clinical or host-associated	PRJNA210654	Washington State University	SAMN02641647	"CP006580","P101"	NULL	NULL	clinical	884598	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP006580	Enterobacter ludwigii	NULL	NULL	299767	NULL	NULL	P101	NULL	NULL	PDT000020141.2	2013-12-31	299767	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT-12,catA=HMM,fosA2,oqxB"	"blaACT-12,catA=HMM,fosA2,oqxB"	5	"arsC=HMM,arsC=PARTIAL,asr=HMM,fieF,silA"	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT000048105.2|SAMN03246119|GCA_000818595.1|Enterobacter ludwigii||EN-119|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000818595.1	Contig	4857439	4952770	2	HGAP protocol,SMRT Analysis v. 2.3.0	Microbe	PRJNA268890	Chengdu Military General Hospital	SAMN03246119	"DSM:16688","EN-119","Enterobacter ludwigii EN-119"	NULL	2005	NULL	1477178	Germany:Munich	NULL	NULL	urine	NULL	NULL	NULL	Enterobacter ludwigii EN-119	Enterobacter ludwigii	NULL	NULL	299767	NULL	NULL	EN-119	NULL	NULL	PDT000048105.2	2015-01-15	299767	JTLO	JTLO00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	5	"arsC=HMM,asr=HMM,fieF,silA,silR"	0	NULL	3.10.24	2022-04-04.1	COMBINED	1
PDT000051182.2|SAMN03292330|GCA_000948705.1|Enterobacter ludwigii||OLC-1683|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000948705.1	Contig	8888	5136359	955	SPAdes v. 3.1.1	Microbe	PRJNA273275	Canadian Food Inspection Agency	SAMN03292330	"OLC-1683","P1-4","SRS833790"	NULL	NULL	NULL	1667918	NULL	NULL	NULL	not collected	NULL	NULL	NULL	OLC-1683	Enterobacter ludwigii	NULL	NULL	299767	NULL	NULL	OLC-1683	NULL	NULL	PDT000051182.2	2015-03-06	299767	JXWL	JXWL00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"fosA2,oqxB=PARTIAL_END_OF_CONTIG"	"fosA2,oqxB=PARTIAL_END_OF_CONTIG"	17	"arsC=HMM,asr=HMM,fieF,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000051183.2|SAMN03292329|GCA_000948685.1|Enterobacter ludwigii||OLC-1682|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000948685.1	Contig	5354	4910606	1341	SPAdes v. 3.1.1	Microbe	PRJNA273275	Canadian Food Inspection Agency	SAMN03292329	"OLC-1682","P1-3","SRS833789"	NULL	NULL	NULL	1667928	NULL	NULL	NULL	not collected	NULL	NULL	NULL	OLC-1682	Enterobacter ludwigii	NULL	NULL	299767	NULL	NULL	OLC-1682	NULL	NULL	PDT000051183.2	2015-03-06	299767	JXWK	JXWK00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaACT,catA=HMM,oqxB"	"blaACT,catA=HMM,oqxB"	3	"arsC=HMM,asr=HMM,fieF=PARTIAL_END_OF_CONTIG"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000067134.3|SAMN03732707|GCA_001022445.2|Enterobacter ludwigii||GN02454|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001022445.2	Contig	586033	4715527	22	SPAdes v. 3.1.0	Microbe	PRJNA259658	JCVI	SAMN03732707	"Enterobacter sp Enterobacter sp. GN02454","GN02454","SRS953277"	Vance Fowler	2005-07-01	clinical	3140408	USA	Homo sapiens	NULL	bodily fluid	36 N 78.9 W	NULL	NULL	Enterobacter sp Enterobacter sp. GN02454	Enterobacter ludwigii	NULL	NULL	299767	NULL	NULL	GN02454	NULL	NULL	PDT000067134.3	2016-03-28	299767	LEDW	LEDW00000000.2	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000067152.2|SAMN03732724|GCA_001022805.1|Enterobacter ludwigii||GN02730|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001022805.1	Contig	322082	5204500	75	SPAdes v. 3.1.0	Microbe	PRJNA259658	JCVI	SAMN03732724	"Enterobacter sp Enterobacter sp. GN02730","GN02730","SRS953301"	Vance Fowler	2008-10-01	clinical	1801838	USA	Homo sapiens	NULL	NULL	36 N 78.9 W	NULL	NULL	Enterobacter sp Enterobacter sp. GN02730	Enterobacter ludwigii	NULL	NULL	299767	NULL	NULL	GN02730	NULL	NULL	PDT000067152.2	2015-06-09	299767	LEER	LEER00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA2,oqxB"	"blaACT,catA=HMM,fosA2,oqxB"	5	"arsC=HMM,asr=HMM,fieF,silA,silR"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000067171.2|SAMN03732688|GCA_001023245.1|Enterobacter ludwigii||GN02226|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001023245.1	Contig	276882	4836923	36	SPAdes v. 3.1.0	Microbe	PRJNA259658	JCVI	SAMN03732688	"Enterobacter sp Enterobacter sp. GN02226","GN02226","SRS953275"	Vance Fowler	2003-09-01	clinical	1802328	USA	Homo sapiens	NULL	bodily fluid	36 N 78.9 W	NULL	NULL	Enterobacter sp Enterobacter sp. GN02226	Enterobacter ludwigii	NULL	NULL	299767	NULL	NULL	GN02226	NULL	NULL	PDT000067171.2	2015-06-09	299767	LEEO	LEEO00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,catA=HMM,fosA,fosA7=MISTRANSLATION,oqxB"	"blaACT,catA=HMM,fosA,fosA7=MISTRANSLATION,oqxB"	5	"arsC=HMM,asr=HMM,fieF,silA,silR"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000067920.2|SAMN03743787|GCA_001029645.1|Enterobacter ludwigii||UW5|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001029645.1	Complete Genome	4904981	4904981	1	Velvet v. 1.2.10	Microbe	PRJNA285312	University of New Brunswick	SAMN03743787	"EclUW5","SRS950384","UW5"	NULL	1994-09-29	NULL	1819318	Canada:Waterloo	NULL	NULL	NULL	43.46 N 80.51 W	NULL	NULL	EclUW5	Enterobacter ludwigii	NULL	NULL	299767	NULL	NULL	UW5	NULL	NULL	PDT000067920.2	2015-06-19	299767	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	10	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,fieF,silA,silR"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
