Vibrio_harveyi | número de entradas: 25 | date: 2023-05-03 10:47:45.004095
GCA_028993535.1 SAMN33330971
GCF_028898825.1 SAMN33330967
GCA_028898805.1 SAMN33330969
GCA_028898785.1 SAMN33330973
GCA_028898765.1 SAMN33330970
GCF_028898745.1 SAMN33330974
GCF_028898725.1 SAMN33330968
GCF_028898705.1 SAMN33330972
GCF_028898685.1 SAMN33330965
GCF_028898665.1 SAMN33330964
GCF_028898645.1 SAMN33330966
GCF_028898625.1 SAMN33330963
GCF_028885605.1 SAMN33269782
GCF_028885585.1 SAMN33278197
GCA_028885565.1 SAMN33278062
GCF_028885545.1 SAMN33278202
GCF_028551315.1 SAMN32983302
GCF_024971935.1 SAMN20353411
GCF_021397735.1 SAMN24371565
GCF_009665315.1 SAMN10702676
GCF_009184745.1 SAMN12989727
GCF_001558435.2 SAMN03996323
GCF_002850295.1 SAMN08013468
GCF_001908435.2 SAMN06041746
GCF_000770115.1 SAMN03075601
