Enterococcus_faecium | número de entradas: 327 | date: 2023-05-03 10:43:40.529675
GCF_029167665.1 SAMN33438667
GCF_029023785.1 SAMN33336517
GCF_028891525.1 SAMN33358676
GCF_028335625.1 SAMN23424524
GCF_028335605.1 SAMN23424525
GCF_028335585.1 SAMN23424526
GCF_028335565.1 SAMN23424527
GCF_028335525.1 SAMN23424528
GCF_028335485.1 SAMN23424531
GCF_028335465.1 SAMN23424532
GCF_028335265.1 SAMN23424533
GCF_028335245.1 SAMN23424534
GCF_028335225.1 SAMN23424529
GCF_028335205.1 SAMN23424535
GCF_007923925.2 SAMN11180780
GCF_027944535.1 SAMN32632906
GCF_027915235.1 SAMN32527831
GCF_027286245.1 SAMN32302292
GCF_026427575.1 SAMN29360020
GCF_026409165.1 SAMN31742645
GCF_007923905.2 SAMN11180788
GCF_023182835.2 SAMN27545023
GCF_023182815.2 SAMN27545022
GCF_026073915.1 SAMD00466817
GCF_026073735.1 SAMD00466816
GCF_026073625.1 SAMD00466815
GCA_026073555.1 SAMD00466814
GCA_026073535.1 SAMD00466813
GCA_026073515.1 SAMD00466812
GCA_026073495.1 SAMD00466811
GCA_026073475.1 SAMD00466810
GCF_026073455.1 SAMD00466809
GCF_026073435.1 SAMD00466808
GCF_026073415.1 SAMD00466807
GCA_026073395.1 SAMD00466806
GCA_026073375.1 SAMD00466805
GCA_026073355.1 SAMD00466804
GCA_026073255.1 SAMD00466803
GCF_026073115.1 SAMD00466802
GCF_025998395.1 SAMD00533729
GCF_025916235.1 SAMN31247872
GCF_025913595.1 SAMN31247873
GCF_024665675.1 SAMN29862207
GCF_023658035.1 SAMN15486631
GCF_023375445.1 SAMN23424739
GCF_023375425.1 SAMN23424740
GCF_023375405.1 SAMN23424741
GCF_023375385.1 SAMN23424742
GCF_023375365.1 SAMN23424743
GCF_023375345.1 SAMN23424744
GCF_023375225.1 SAMN23424486
GCF_023375205.1 SAMN23424489
GCF_023299805.1 SAMN28025445
GCF_023299745.1 SAMN28025461
GCF_023299725.1 SAMN28025462
GCF_023299325.1 SAMN28025465
GCF_023204975.1 SAMN27728132
GCF_023204955.1 SAMN27725314
GCA_022811465.1 SAMN16483150
GCA_022811445.1 SAMN16483151
GCA_022811425.1 SAMN16483152
GCA_022811405.1 SAMN16483153
GCA_022811385.1 SAMN16483154
GCA_022811365.1 SAMN16483155
GCA_022811345.1 SAMN16483156
GCA_022811325.1 SAMN16483157
GCA_022811305.1 SAMN16483158
GCA_022811285.1 SAMN16483159
GCA_022811265.1 SAMN16483160
GCA_022811245.1 SAMN16483161
GCA_022811225.1 SAMN16483162
GCA_022811205.1 SAMN16483163
GCA_022811185.1 SAMN16483164
GCA_022811165.1 SAMN16483165
GCA_022811145.1 SAMN16483166
GCA_022811125.1 SAMN16483167
GCA_022811085.1 SAMN16442613
GCF_022749455.1 SAMN26755017
GCF_022699565.1 SAMN26754719
GCF_022699225.1 SAMN26754680
GCF_022699545.1 SAMN26754766
GCF_021172105.3 SAMN23500290
GCF_022691445.1 SAMN26026626
GCF_022648125.1 SAMN19573782
GCF_022647945.1 SAMN19573783
GCF_022647825.1 SAMN19573784
GCF_021899455.1 SAMN25260013
GCF_021713095.1 SAMN25134383
GCF_021560195.1 SAMN25039860
GCF_021398505.1 SAMN21240068
GCF_021228615.1 SAMN23828484
GCF_020736625.1 SAMN22627489
GCF_020736585.1 SAMN22627481
GCF_020162175.1 SAMEA5367917
GCF_020162155.1 SAMEA5367970
GCF_020091325.1 SAMN21438094
GCF_019977575.1 SAMD00324536
GCF_019977495.1 SAMD00324535
GCA_019774555.1 SAMN20825195
GCF_019456595.1 SAMN17922919
GCF_019456575.1 SAMN17922923
GCF_019456555.1 SAMN17922924
GCF_907163315.1 SAMEA8520473
GCF_907163255.1 SAMEA8520472
GCF_019356355.1 SAMN20255402
GCF_019175525.1 SAMN18631313
GCF_019175465.1 SAMN18631320
GCF_019175445.1 SAMN18631321
GCF_019175425.1 SAMN18631322
GCF_018517185.1 SAMN16988095
GCA_018517165.1 SAMN16988097
GCA_018517145.1 SAMN16988098
GCF_018517105.1 SAMN16988091
GCF_018517085.1 SAMN16988092
GCF_018517065.1 SAMN16988093
GCF_018517045.1 SAMN16988094
GCA_018517025.1 SAMN16988096
GCF_018516925.1 SAMN16988099
GCF_018516845.1 SAMN16988100
GCF_907177285.1 SAMEA8659977
GCF_907176815.1 SAMEA8659991
GCF_907176135.1 SAMEA8659929
GCF_907165365.1 SAMEA8659956
GCF_018279145.1 SAMN13709031
GCF_018219325.1 SAMN16327730
GCF_018219285.1 SAMN16327791
GCF_017898025.1 SAMN18533778
GCF_017898005.1 SAMN18533757
GCF_017897965.1 SAMN18533763
GCF_017815695.1 SAMN18533868
GCF_017815675.1 SAMN18533866
GCF_017815655.1 SAMN18533867
GCF_017603725.1 SAMN18353823
GCF_017584065.1 SAMN15566637
GCA_017301355.1 SAMN18082828
GCF_016864255.1 SAMN12930511
GCF_016743855.1 SAMN17169726
GCF_016415565.1 SAMN17038107
GCF_016415545.1 SAMN17038105
GCF_016415505.1 SAMN17038106
GCF_016415485.1 SAMN17038111
GCF_016415465.1 SAMN17038101
GCF_016415445.1 SAMN17038102
GCF_016415425.1 SAMN17038104
GCF_016415405.1 SAMN17038103
GCF_016415385.1 SAMN17038098
GCF_016415365.1 SAMN17038100
GCF_016415345.1 SAMN17038095
GCF_016415325.1 SAMN17038094
GCF_016415285.1 SAMN17038091
GCF_016415105.1 SAMN17038093
GCF_016415025.1 SAMN17038090
GCF_016406605.1 SAMN17038088
GCF_016406585.1 SAMN17038089
GCF_016406565.1 SAMN17038080
GCF_016406545.1 SAMN17038077
GCF_016406525.1 SAMN17038083
GCF_016406505.1 SAMN17038085
GCF_016406485.1 SAMN17038069
GCF_016406465.1 SAMN17038075
GCF_016406445.1 SAMN17038071
GCF_016406425.1 SAMN17038084
GCF_016406405.1 SAMN17038081
GCF_016406385.1 SAMN17038079
GCF_016406365.1 SAMN17038078
GCF_016406345.1 SAMN17038086
GCF_016126675.1 SAMN17038066
GCF_015999605.1 SAMN17012772
GCF_015999425.1 SAMN15566664
GCF_015999405.1 SAMN15566671
GCF_015767695.1 SAMN16925096
GCF_015476295.1 SAMN15566645
GCF_015377765.1 SAMN13106282
GCA_015356095.1 SAMN16574827
GCF_015325925.1 SAMN15566652
GCF_014874615.1 SAMN16287686
GCF_007917315.3 SAMN12138986
GCF_012933195.2 SAMN14675386
GCF_012933265.2 SAMN14675384
GCF_014490015.1 SAMN15643623
GCF_002973755.2 SAMN08093650
GCF_012933165.2 SAMN14675388
GCF_012933245.2 SAMN14675385
GCF_012933075.2 SAMN14675395
GCF_012932985.2 SAMN14675394
GCF_012933055.2 SAMN14675393
GCF_012932975.2 SAMN14675398
GCF_012933295.2 SAMN14675383
GCF_012933285.2 SAMN14675381
GCF_012933345.2 SAMN14675380
GCF_013201055.1 SAMN14969421
GCF_007917035.2 SAMN12138936
GCF_012045505.1 SAMN14446138
GCF_012045365.1 SAMN14446140
GCF_011745645.1 SAMN12688234
GCF_009734005.1 SAMN10867607
GCF_010120755.1 SAMN10867605
GCF_009938285.1 SAMD00202474
GCF_009938075.1 SAMN11269520
GCF_009697285.1 SAMN13283502
GCF_009036045.1 SAMN12828129
GCF_008728475.1 SAMN12818041
GCF_008728455.1 SAMN12818007
GCF_008330605.1 SAMN12650248
GCF_008000855.1 SAMN12530214
GCF_006741355.1 SAMD00112300
GCF_006575625.1 SAMN12141647
GCF_006351845.1 SAMN11942428
GCF_006351785.1 SAMN11974796
GCF_006337145.1 SAMN11960005
GCF_006337045.1 SAMN11952093
GCF_006280355.1 SAMN11942429
GCF_006007925.1 SAMN11890391
GCF_005952885.1 SAMN11848047
GCF_005886735.1 SAMN10863493
GCF_005886715.1 SAMN10863492
GCF_005886655.1 SAMN10863491
GCF_005886545.1 SAMN10863479
GCF_005576735.1 SAMN11633508
GCF_005517315.1 SAMN11490474
GCF_005166365.1 SAMN10697318
GCF_004332055.1 SAMN08689723
GCF_900683475.1 SAMEA3614259
GCF_004103475.1 SAMN10754017
GCF_004101385.1 SAMN10742281
GCF_004015145.1 SAMN08289536
GCF_900640265.1 SAMEA4884658
GCF_900639505.1 SAMEA4885156
GCF_900639495.1 SAMEA4885231
GCF_900639485.1 SAMEA4885079
GCF_900639465.1 SAMEA4885211
GCF_900639455.1 SAMEA4885076
GCF_900639445.1 SAMEA4885040
GCF_900639425.1 SAMEA4884974
GCF_900639415.1 SAMEA4884873
GCF_900639405.1 SAMEA4884735
GCF_900639395.1 SAMEA4884860
GCF_900639385.1 SAMEA4884924
GCF_900639355.1 SAMEA4884910
GCF_900639365.1 SAMEA4885012
GCF_900639345.1 SAMEA4884801
GCF_900639335.1 SAMEA4884945
GCF_900639745.1 SAMEA4884734
GCF_900639725.1 SAMEA4885795
GCF_900639715.1 SAMEA4885787
GCF_900639705.1 SAMEA4885972
GCF_900639655.1 SAMEA4885878
GCF_900639635.1 SAMEA4885924
GCF_900639625.1 SAMEA4885688
GCF_900639615.1 SAMEA4885722
GCF_900639605.1 SAMEA4885694
GCF_900639595.1 SAMEA4885755
GCF_900639585.1 SAMEA4885488
GCF_900639575.1 SAMEA4885529
GCF_900639565.1 SAMEA4885624
GCF_900639555.1 SAMEA4885602
GCF_900639545.1 SAMEA4885473
GCF_900639535.1 SAMEA4885631
GCF_900639525.1 SAMEA4885360
GCF_900639515.1 SAMEA4885352
GCF_900638825.1 SAMEA4884718
GCF_900638815.1 SAMEA4884467
GCF_900638805.1 SAMEA4884683
GCF_900638785.1 SAMEA4884544
GCF_900638775.1 SAMEA4884646
GCF_900638765.1 SAMEA4884567
GCF_900637035.1 SAMEA4557825
GCF_900635415.1 SAMEA4884790
GCF_900635365.1 SAMEA4884531
GCF_900634805.1 SAMEA4884426
GCF_003957785.1 SAMN10273305
GCF_003711605.1 SAMN10264165
GCF_003667965.1 SAMN10237539
GCF_003574925.1 SAMN07945858
GCF_900044005.1 SAMEA3726428
GCF_003269465.1 SAMN09464428
GCF_003071445.1 SAMN06621457
GCF_003071425.1 SAMN06621458
GCF_003020765.1 SAMN08628412
GCF_003020745.1 SAMN08628409
GCF_003020725.1 SAMN08628410
GCF_003020705.1 SAMN08628411
GCF_003020685.1 SAMN08628413
GCF_002983785.1 SAMN06173336
GCF_002880635.1 SAMN06252387
GCF_002850515.1 SAMN07211315
GCF_002848745.1 SAMN07679732
GCF_002848725.1 SAMN07679733
GCF_002848705.1 SAMN07679734
GCF_002848685.1 SAMN07679730
GCF_002848665.1 SAMN07679731
GCF_002848645.1 SAMN07679729
GCF_002848625.1 SAMN07679728
GCF_002848385.1 SAMN08174306
GCF_002831505.1 SAMN08102921
GCF_002777275.1 SAMN05933398
GCF_002761555.1 SAMN07198401
GCF_002761275.1 SAMN05933400
GCF_002761255.1 SAMN05933399
GCF_002442955.1 SAMN06006823
GCF_002334625.1 SAMN07638053
GCF_900092475.1 SAMEA4067785
GCF_900094185.1 SAMEA4357170
GCF_002025065.1 SAMN06472829
GCF_002025045.1 SAMN06472830
GCF_002024245.1 SAMN06463381
GCF_002007625.1 SAMN06186500
GCF_001953255.1 SAMN03988627
