Mannheimia_haemolytica | número de entradas: 103 | date: 2023-05-03 10:44:59.321342
GCF_023516395.1 SAMN28102257
GCF_023516375.1 SAMN28102258
GCF_023516355.1 SAMN28102259
GCF_023516335.1 SAMN28102260
GCF_023516315.1 SAMN28102261
GCF_023516295.1 SAMN28102262
GCF_023516275.1 SAMN28102263
GCF_023516255.1 SAMN28102264
GCF_022405035.1 SAMN15535268
GCF_022405015.1 SAMN15535269
GCF_022404995.1 SAMN15535270
GCF_022404975.1 SAMN15535271
GCF_022404955.1 SAMN15535272
GCF_022404935.1 SAMN15535273
GCF_022404915.1 SAMN15535274
GCF_022404895.1 SAMN15535275
GCF_022404875.1 SAMN15535276
GCF_020971705.1 SAMN22599413
GCF_007981045.1 SAMN05717143
GCF_007981025.1 SAMN05717126
GCF_007981005.1 SAMN05717148
GCF_007980985.1 SAMN05717122
GCF_007980965.1 SAMN05717149
GCF_007980905.1 SAMN05717127
GCF_007980785.1 SAMN05717136
GCF_007980645.1 SAMN05717123
GCF_007980445.1 SAMN05717144
GCF_007980285.1 SAMN05717139
GCF_007980145.1 SAMN05717140
GCF_007980045.1 SAMN05717119
GCF_007979905.1 SAMN05717130
GCF_007979665.1 SAMN05717084
GCF_007979525.1 SAMN05717099
GCF_007979365.1 SAMN05717135
GCF_007979225.1 SAMN05717146
GCF_007979065.1 SAMN05717085
GCF_007978905.1 SAMN05717134
GCF_007978725.1 SAMN05717131
GCF_007978505.1 SAMN05717150
GCF_007978365.1 SAMN05717103
GCF_007978185.1 SAMN05717104
GCF_007978045.1 SAMN05717100
GCF_007977825.1 SAMN05717086
GCF_007977645.1 SAMN05717113
GCF_007977495.1 SAMN05717093
GCF_007977225.1 SAMN05717094
GCF_007977085.1 SAMN05717095
GCF_007976905.1 SAMN05717096
GCF_007976765.1 SAMN05717114
GCF_007976625.1 SAMN05717105
GCF_007976445.1 SAMN05717106
GCF_007976245.1 SAMN05717141
GCF_007976025.1 SAMN05717145
GCF_007975765.1 SAMN05717124
GCF_007975575.1 SAMN05717115
GCF_007975365.1 SAMN05717101
GCF_007975225.1 SAMN05717137
GCF_007975085.1 SAMN05717102
GCF_007974925.1 SAMN05717116
GCF_007974745.1 SAMN05717117
GCF_007974525.1 SAMN05717087
GCF_007974375.1 SAMN05717097
GCF_007974165.1 SAMN05717088
GCF_007974145.1 SAMN05717107
GCF_007974125.1 SAMN05717108
GCF_007974105.1 SAMN05717109
GCF_007974085.1 SAMN05717138
GCF_007974065.1 SAMN05717089
GCF_007974045.1 SAMN05717110
GCF_007974025.1 SAMN05717090
GCF_007973825.1 SAMN05717091
GCF_007973645.1 SAMN05717092
GCF_007973365.1 SAMN05717111
GCF_007973265.1 SAMN05717112
GCF_007966105.1 SAMN05717147
GCF_007965905.1 SAMN05717125
GCF_007965745.1 SAMN05717129
GCF_007965585.1 SAMN05717142
GCF_007965355.1 SAMN05717120
GCF_007965105.1 SAMN05717083
GCF_007964925.1 SAMN05717132
GCF_007964805.1 SAMN05717098
GCF_007964685.1 SAMN05717121
GCF_007964465.1 SAMN05717151
GCF_007964225.1 SAMN05717133
GCF_007964065.1 SAMN05717128
GCF_007963885.1 SAMN05717118
GCF_900638155.1 SAMEA104167175
GCF_900474405.1 SAMEA3368265
GCF_000819525.2 SAMN03275447
GCF_000349785.2 SAMN02048830
GCF_000349765.2 SAMN02048829
GCF_002285815.1 SAMN07537193
GCF_002285615.1 SAMN07537190
GCF_002285595.1 SAMN07537191
GCF_002285575.1 SAMN07537192
GCF_000376645.1 SAMN02603277
GCF_000963675.1 SAMN03435924
GCF_000963635.1 SAMN03435925
GCF_000439735.1 SAMN02262084
GCF_000427275.1 SAMN02056363
GCF_000422145.1 SAMN02056285
GCF_000422095.1 SAMN02056364
