Vibrio_vulnificus | número de entradas: 25 | date: 2023-05-03 10:47:59.313007
GCF_025994915.1 SAMD00506751
GCF_014211935.1 SAMN12648273
GCF_014107515.1 SAMN12816916
GCF_009764115.1 SAMN12648309
GCF_009764095.1 SAMN12648290
GCA_009763305.1 SAMN12648304
GCF_009665475.1 SAMN10702673
GCF_008693685.1 SAMN11056378
GCF_004319645.1 SAMN08563567
GCF_003522555.1 SAMN06184516
GCF_003047125.1 SAMN05828159
GCF_001558515.2 SAMN03996334
GCF_002863725.1 SAMN06184571
GCF_002850455.1 SAMN06237111
GCF_002224265.1 SAMN04097182
GCF_002215135.1 SAMN04457466
GCF_002204915.1 SAMN05196200
GCF_002117205.1 SAMN04914658
GCF_001675245.1 SAMN03956906
GCF_001653775.1 SAMN03764475
GCF_001433435.1 SAMN03174938
GCF_000039765.1 SAMN02603130
GCF_000186585.1 SAMN02603666
GCF_000746665.1 SAMN03009989
GCF_000009745.1 SAMD00061075
