#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000005126.2|SAMN02603064|GCA_000022905.1|Corynebacterium aurimucosum ATCC 700975||DSM 44827; ATCC 700975|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000022905.1	Complete Genome	2790189	2819226	2	NULL	Generic	PRJNA37279	Center for BioTechnology, Bielefeld University	SAMN02603064	"ATCC:700975","CP001601","DSM 44827; ATCC 700975"	NULL	NULL	NULL	23708	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP001601	Corynebacterium aurimucosum ATCC 700975	NULL	NULL	169292	NULL	NULL	DSM 44827; ATCC 700975	NULL	NULL	PDT000005126.2	2010-05-12	548476	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000005687.2|SAMN00001507|GCA_000159135.1|Corynebacterium striatum ATCC 6940||ATCC 6940|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000159135.1	Scaffold	47468	2828991	176	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA31449	Baylor College of Medicine	SAMN00001507	"ATCC 6940","ATCC:6940","BCM-HMP0071","SRS001988"	NULL	missing	clinical	189038	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	NULL	Corynebacterium striatum ATCC 6940	NULL	NULL	43770	NULL	NULL	ATCC 6940	NULL	"Corynebacterium striatum ATCC 6940"	PDT000005687.2	2010-10-15	525268	ACGE	ACGE00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"merA=HMM"	0	NULL	3.11.14	2023-04-17.1	COMBINED	1
PDT000006196.2|SAMN00138950|GCA_000174695.1|Corynebacterium aurimucosum ATCC 700975||ATCC 700975|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000174695.1	Contig	54185	2730325	101	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA31451	Baylor College of Medecine	SAMN00138950	"ATCC 700975","ATCC:700975","SRS139739"	NULL	missing	clinical	217458	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	NULL	Corynebacterium aurimucosum ATCC 700975	NULL	NULL	169292	NULL	NULL	ATCC 700975	NULL	"Corynebacterium aurimucosum ATCC 700975"	PDT000006196.2	2010-11-18	548476	ACLH	ACLH00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	3.11.14	2023-04-17.1	COMBINED	1
PDT000046329.1|SAMN03140311|GCA_000805675.1|Corynebacterium minutissimum||ATCC 23348|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000805675.1	Contig	293999	2663401	38	SPAdes v. v3.0.0	Pathogen: clinical or host-associated	PRJNA264738	Centers for Disease Control & Prevention	SAMN03140311	"ATCC 23348","ATCC:23348","H6623"	Sarkany	1962	clinical	1425948	United Kingdom: London	Homo sapiens	Erythrasma	skin	51.5072 N 0.1275 W	NULL	NULL	H6623	Corynebacterium minutissimum	NULL	NULL	38301	NULL	NULL	ATCC 23348	NULL	NULL	PDT000046329.1	2014-12-19	38301	JSEF	JSEF00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"merA=HMM"	0	NULL	3.10.24	2022-04-04.1	COMBINED	1
PDT000049329.1|SAMN03177398|GCA_000833575.1|Corynebacterium singulare||IBS B52218|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000833575.1	Complete Genome	2830519	2830519	1	Newbler v. v. 2.8	Microbe	PRJNA246651	Bielefeld University	SAMN03177398	"CSING_20141015","DSM:44357","IBS B52218"	NULL	NULL	clinical	1516478	France: Institute of Bacteriology of Strasbourg	Homo sapiens	NULL	semen	NULL	NULL	NULL	CSING_20141015	Corynebacterium singulare	NULL	NULL	161899	NULL	NULL	IBS B52218	NULL	NULL	PDT000049329.1	2015-02-06	161899	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,cmx,erm(X),tetA"	"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,cmx,erm(X),tetA"	1	"merA=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000063736.1|SAMN03458462|GCA_000988225.1|Corynebacterium striatum||1961|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000988225.1	Contig	325912	2611976	28	Spades v. 3.1.0	Pathogen: clinical or host-associated	PRJNA280207	Universidade Federal do Para	SAMN03458462	"1961","Corynebacterium striatum 1961"	NULL	NULL	clinical	1748868	Brazil	Homo sapiens	Outbreaks of nosocomial infections	urine	NULL	NULL	NULL	Corynebacterium striatum 1961	Corynebacterium striatum	NULL	NULL	43770	NULL	NULL	1961	NULL	NULL	PDT000063736.1	2015-05-05	43770	LAYR	LAYR00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"tetA"	"tetA"	0	NULL	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000063737.1|SAMN03458463|GCA_000988205.1|Corynebacterium minutissimum||1941|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000988205.1	Contig	144224	2780059	42	MIRA v. 4.02; Lasergene v. 11.2.1	Pathogen: clinical or host-associated	PRJNA280208	Universidade Federal do Para	SAMN03458463	"1941","Corynebacterium minutissimum 1941"	NULL	NULL	clinical	1748888	Brazil	Homo sapiens	NULL	NULL	NULL	NULL	NULL	Corynebacterium minutissimum 1941	Corynebacterium minutissimum	NULL	NULL	38301	NULL	NULL	1941	NULL	NULL	PDT000063737.1	2015-05-05	38301	LAYQ	LAYQ00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"merA=HMM"	0	NULL	3.9.3	2020-12-17.1	COMBINED	1
PDT000070181.1|SAMN03197307|GCA_001053405.1|Corynebacterium striatum||1327_CAUR|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001053405.1	Scaffold	107907	2914153	98	ABYSS v. 1.3.5	Pathogen: clinical or host-associated	PRJNA267549	University of Washington	SAMN03197307	"1327_CAUR","SRS746514"	UW clinical laboratory	NULL	clinical	1865798	USA: WA	Homo sapiens	NULL	NULL	NULL	NULL	NULL	1327_CAUR	Corynebacterium striatum	NULL	NULL	43770	NULL	NULL	1327_CAUR	NULL	NULL	PDT000070181.1	2015-07-10	43770	JVTN	JVTN00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"aph(3')-Ia,erm(X),tet(W)"	"aph(3')-Ia,erm(X),tet(W)"	1	"merA=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000070182.1|SAMN03197309|GCA_001053435.1|Corynebacterium striatum||1329_CAUR|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001053435.1	Scaffold	86020	2905202	96	ABYSS v. 1.3.5	Pathogen: clinical or host-associated	PRJNA267549	University of Washington	SAMN03197309	"1329_CAUR","SRS746518"	UW clinical laboratory	NULL	clinical	1865818	USA: WA	Homo sapiens	NULL	NULL	NULL	NULL	NULL	1329_CAUR	Corynebacterium striatum	NULL	NULL	43770	NULL	NULL	1329_CAUR	NULL	NULL	PDT000070182.1	2015-07-10	43770	JVTL	JVTL00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"erm(X),tet(W)"	"erm(X),tet(W)"	1	"merA=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000070217.1|SAMN03197202|GCA_001054195.1|Corynebacterium aurimucosum||1237_CAUR|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001054195.1	Scaffold	224640	2355597	49	ABYSS v. 1.3.5	Pathogen: clinical or host-associated	PRJNA267549	University of Washington	SAMN03197202	"1237_CAUR","SRS746408"	UW clinical laboratory	NULL	clinical	1866578	USA: WA	Homo sapiens	NULL	NULL	NULL	NULL	NULL	1237_CAUR	Corynebacterium aurimucosum	NULL	NULL	169292	NULL	NULL	1237_CAUR	NULL	NULL	PDT000070217.1	2015-07-10	169292	JVXO	JVXO00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,cmx,erm(X)"	"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,cmx,erm(X)"	1	"merA=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
