Burkholderia_cepacia_complex | número de entradas: 166 | date: 2023-05-03 10:41:05.030175
GCF_029633825.1 SAMN24289055
GCF_029633805.1 SAMN24289057
GCF_029633645.1 SAMN24289056
GCF_029590335.1 SAMN33824436
GCF_026958255.1 SAMN23371909
GCF_025643575.1 SAMN29271625
GCF_025643555.1 SAMN29271626
GCF_025643515.1 SAMN29271628
GCF_025643495.1 SAMN29271629
GCF_024732225.1 SAMN25128003
GCF_024661975.1 SAMN30170215
GCF_024600575.1 SAMN30032823
GCF_024381035.1 SAMN29515327
GCF_023374895.1 SAMN20348568
GCF_023374875.1 SAMN20348569
GCF_023374855.1 SAMN20348570
GCF_023374835.1 SAMN20348572
GCF_023374815.1 SAMN20348574
GCF_023374795.1 SAMN20348575
GCF_023374775.1 SAMN20348576
GCF_023374755.1 SAMN20348577
GCF_023374735.1 SAMN20348578
GCF_023374715.1 SAMN20348580
GCF_023374695.1 SAMN20348581
GCF_023374675.1 SAMN20348582
GCF_023374655.1 SAMN20348590
GCF_023374635.1 SAMN20348591
GCF_023374615.1 SAMN20348592
GCF_023374595.1 SAMN20348593
GCF_023374575.1 SAMN20348594
GCF_023374535.1 SAMN20348598
GCF_023374515.1 SAMN20348600
GCF_023374495.1 SAMN20348601
GCF_023374475.1 SAMN20348603
GCF_023374455.1 SAMN20348607
GCF_023374435.1 SAMN20348608
GCF_023374415.1 SAMN20348609
GCF_023374395.1 SAMN20348612
GCF_023374375.1 SAMN20348614
GCF_023374355.1 SAMN20348615
GCF_023374335.1 SAMN20348617
GCF_023374315.1 SAMN20348620
GCF_023373725.1 SAMN20348560
GCF_023373685.1 SAMN20348562
GCF_023373665.1 SAMN20348565
GCF_023373645.1 SAMN20348566
GCF_023373625.1 SAMN20348567
GCF_023053515.1 SAMN27545478
GCF_022809715.1 SAMN26934490
GCF_022533485.1 SAMN26027413
GCF_022213445.1 SAMN11056436
GCF_021899435.1 SAMN25211101
GCF_021535065.1 SAMN24782180
GCF_021484945.1 SAMN24665687
GCF_020843985.1 SAMN22635685
GCF_020843925.1 SAMN22635687
