#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000004784.2|SAMN02604052|GCA_000014805.1|Aeromonas hydrophila subsp. hydrophila ATCC 7966||ATCC 7966|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000014805.1	Complete Genome	4744448	4744448	1	NULL	Generic	PRJNA16697	TIGR	SAMN02604052	"ATCC 7966","CP000462"	NULL	NULL	NULL	15608	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000462	Aeromonas hydrophila subsp. hydrophila ATCC 7966	NULL	NULL	644	NULL	NULL	ATCC 7966	NULL	NULL	PDT000004784.2	2010-05-12	380703	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaOXA-725,cepS,cphA,mcr-3=HMM"	"blaOXA-725,cepS,cphA,mcr-3=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000009072.2|SAMN02463947|GCA_000298055.1|Aeromonas dhakensis||SSU|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000298055.1	Scaffold	268185	4941056	44	allpaths v. R41370	MIGS Cultured Bacterial/Archaeal	PRJNA71509	Broad Institute	SAMN02463947	"71509","SSU"	NULL	missing	clinical	429918	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	71509	Aeromonas dhakensis	NULL	NULL	196024	NULL	NULL	SSU	NULL	"Aeromonas hydrophila SSU"	PDT000009072.2	2012-10-02	196024	AGWR	AGWR00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaMOX=HMM,blaOXA,cphA1,mcr-3=HMM,vat=HMM"	"blaMOX=HMM,blaOXA,cphA1,mcr-3=HMM,vat=HMM"	9	"arsC=HMM,arsD=HMM,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT"	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT000010381.3|SAMD00036618|GCA_000315195.1|Aeromonas dhakensis AAK1||AAK1|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000315195.1	Contig	404457	4767693	37	GS Junior System Software Package v. 2.5p1	Generic	PRJDB70	National Institute of Infectious Diseases and Vaccinology, National Health Research Institutes (NHRI), Taiwan	SAMD00036618	"AAK1","BAFL"	NULL	NULL	NULL	500348	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Aeromonas dhakensis AAK1	NULL	NULL	196024	NULL	NULL	AAK1	NULL	NULL	PDT000010381.3	2012-11-27	1156800	BAFL	BAFL00000000.1	NULL	NULL	NULL	0	0	0	0	8	8	NULL	"aadA1,blaAQU-1,blaOXA,catB8,cphA1=PARTIAL,mcr-3=HMM,sul1,tet(A)"	"aadA1,blaAQU-1,blaOXA,catB8,cphA1=PARTIAL,mcr-3=HMM,sul1,tet(A)"	3	"arsC=HMM,arsD=HMM,qacEdelta1"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000012520.2|SAMN02470915|GCA_000315835.1|Aeromonas hydrophila SNUFPC-A8||SNUFPC-A8|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000315835.1	Contig	234812	4969090	41	GS De Novo Assembler v. 2.6	Generic	PRJNA175471	Seoul National University	SAMN02470915	"AMQA","SNUFPC-A8"	J E Han	2009	NULL	501528	South Korea	cherry salmon	NULL	NULL	NULL	NULL	NULL	AMQA	Aeromonas hydrophila SNUFPC-A8	NULL	NULL	644	NULL	NULL	SNUFPC-A8	NULL	NULL	PDT000012520.2	2012-11-29	1232673	AMQA	AMQA00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaOXA,cepH,cphA,mcr-3=HMM,tet(E)"	"blaOXA,cepH,cphA,mcr-3=HMM,tet(E)"	1	"arsC=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000012772.2|SAMN02471842|GCA_000354675.1|Aeromonas dhakensis||173|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000354675.1	Contig	119625	4786349	74	CLC Genomic Workbench v. 5.1	Generic	PRJNA183198	University of Malaya	SAMN02471842	"173","AOBN"	NULL	NULL	clinical	573558	Malaysia	Homo sapiens	NULL	peritoneal fluid	NULL	NULL	NULL	AOBN	Aeromonas dhakensis	NULL	NULL	196024	NULL	NULL	173	NULL	NULL	PDT000012772.2	2013-04-06	196024	AOBN	AOBN00000000.1	NULL	NULL	NULL	0	0	0	0	9	9	NULL	"aac(3)-IId,ampC=HMM,blaOXA,cphA,mcr-3,mcr-3=HMM,mcr-3.27,tet(E),vat=HMM"	"aac(3)-IId,ampC=HMM,blaOXA,cphA,mcr-3,mcr-3=HMM,mcr-3.27,tet(E),vat=HMM"	9	"arsC=HMM,arsD=HMM,merA=HMM,merD,merE,merF,merP,merR,merT"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000012775.2|SAMN02471843|GCA_000354715.1|Aeromonas dhakensis||277|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000354715.1	Contig	282384	4790105	41	CLC Genomic Workbench v. 5.1	Generic	PRJNA183202	University of Malaya	SAMN02471843	"277","AOBQ"	NULL	NULL	clinical	573598	Malaysia	Homo sapiens	NULL	pus	NULL	NULL	NULL	AOBQ	Aeromonas dhakensis	NULL	NULL	196024	NULL	NULL	277	NULL	NULL	PDT000012775.2	2013-04-06	196024	AOBQ	AOBQ00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"ampC=HMM,blaOXA,cphA,mcr-3=HMM,vat=HMM"	"ampC=HMM,blaOXA,cphA,mcr-3=HMM,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000014209.2|SAMN02440493|GCA_000381965.1|Oceanimonas smirnovii ATCC BAA-899||ATCC BAA-899|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000381965.1	Scaffold	233562	3282720	28	Velvet v. 1.1.04; ALLPATHS v. r41043	Generic	PRJNA185294	DOE Joint Genome Institute	SAMN02440493	"ARMW","ATCC BAA-899","ATCC:BAA-899"	NULL	NULL	NULL	607428	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ARMW	Oceanimonas smirnovii ATCC BAA-899	NULL	NULL	264574	NULL	NULL	ATCC BAA-899	NULL	"Oceanimonas smirnovii ATCC BAA-899"	PDT000014209.2	2013-04-24	1279015	ARMW	ARMW00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT000015374.2|SAMN02603614|GCA_000401555.1|Aeromonas hydrophila ML09-119||ML09-119|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000401555.1	Complete Genome	5024500	5024500	1	CLC Genomic workbench from CLC Bio v. 5.0.1	Generic	PRJNA188141	Mississippi State University	SAMN02603614	"CP005966","ML09-119"	NULL	NULL	NULL	692898	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP005966	Aeromonas hydrophila ML09-119	NULL	NULL	644	NULL	NULL	ML09-119	NULL	NULL	PDT000015374.2	2013-05-24	1288394	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaOXA,cepH,cphA,mcr-3=HMM"	"blaOXA,cepH,cphA,mcr-3=HMM"	0	NULL	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000023680.1|SAMN02643440|GCA_000586055.1|Aeromonas hydrophila 226||226|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000586055.1	Contig	110444	5111056	135	CLC Genomic Workbench v. 5.1	Microbe	PRJNA183200	University of Malaya	SAMN02643440	"226","Aeromonas hydrophila strain 226"	NULL	1983-02-13	clinical	960548	Malaysia: Kuala Lumpur	Homo sapiens	NULL	human Urine	NULL	NULL	NULL	Aeromonas hydrophila strain 226	Aeromonas hydrophila 226	NULL	NULL	644	NULL	NULL	226	NULL	NULL	PDT000023680.1	2014-03-07	1268078	JEML	JEML00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"aph(3')-Ia,blaOXA,cepS,cphA1,mcr-3=HMM"	"aph(3')-Ia,blaOXA,cepS,cphA1,mcr-3=HMM"	1	"arsC=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000025960.1|SAMN02673382|GCA_000626755.1|Aeromonas hydrophila AD9||AD9|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000626755.1	Contig	70620	4907072	221	Velvet v. 1.0	Microbe	PRJNA236257	University of Minnesota	SAMN02673382	"A. hydrophila AD9","AD9"	NULL	2010-10	NULL	998108	USA: Minnesota	NULL	NULL	wetland sediment	NULL	NULL	NULL	A. hydrophila AD9	Aeromonas hydrophila AD9	NULL	NULL	644	NULL	NULL	AD9	NULL	NULL	PDT000025960.1	2014-04-11	1453502	JFJO	JFJO00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaOXA,cepH,cphA,mcr-3=HMM"	"blaOXA,cepH,cphA,mcr-3=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
