Enterococcus_faecalis | número de entradas: 519 | date: 2023-05-03 10:43:35.319129
GCA_029910175.1 SAMN30967739
GCF_029866805.1 SAMN30932864
GCF_028598965.2 SAMN31723118
GCA_024267595.1 SAMN29489200
GCF_029278545.1 SAMN33617003
GCF_029167565.1 SAMN33438668
GCF_029024925.1 SAMN33336514
GCA_029011745.1 SAMN33275436
GCA_029011535.1 SAMN33275446
GCA_029011395.1 SAMN33275452
GCF_029011255.1 SAMN33275456
GCF_029000425.1 SAMN33357555
GCF_028743535.1 SAMN33246475
GCF_028621775.1 SAMN33180069
GCF_028621755.1 SAMN33180040
GCF_028621735.1 SAMN33180068
GCF_028532705.1 SAMN32953418
GCF_028335725.1 SAMN23424513
GCF_028335705.1 SAMN23424510
GCF_028335685.1 SAMN23424514
GCF_028335665.1 SAMN23424519
GCF_028335545.1 SAMN23424515
GCF_028335505.1 SAMN23424517
GCF_028335445.1 SAMN23424516
GCF_028335425.1 SAMN23424518
GCF_028335345.1 SAMN23424511
GCF_028335305.1 SAMN23424512
GCA_028132325.1 SAMD00520114
GCA_028131945.1 SAMD00520113
GCF_028131645.1 SAMD00520112
GCA_028131375.1 SAMD00520111
GCF_027942035.1 SAMN32638696
GCF_026802385.1 SAMN32023589
GCF_026802365.1 SAMN32023558
GCF_026650885.1 SAMN22569088
GCF_023182775.2 SAMN27545017
GCF_025958925.1 SAMN31342455
GCF_025958905.1 SAMN31342456
GCF_025958885.1 SAMN31342457
GCF_025958865.1 SAMN31342458
GCF_025958845.1 SAMN31342459
GCF_025958825.1 SAMN31342460
GCF_025958805.1 SAMN31342461
GCF_025958785.1 SAMN31342462
GCF_025958625.1 SAMN31342463
GCF_025958445.1 SAMN31342464
GCF_025958325.1 SAMN31342465
GCF_025958125.1 SAMN31342466
GCF_025958085.1 SAMN31342467
GCF_025958065.1 SAMN31342468
GCA_025958045.1 SAMN31342469
GCF_025958025.1 SAMN31342470
GCA_025958005.1 SAMN31342471
GCA_025957985.1 SAMN31342472
GCA_025957965.1 SAMN31342474
GCA_025957945.1 SAMN31342475
GCF_025957925.1 SAMN31342476
GCF_025957845.1 SAMN31342477
GCF_024927865.1 SAMN30551391
GCF_024579795.1 SAMN30011847
GCF_024579755.1 SAMN30011706
GCF_023746575.1 SAMN28891356
GCF_023702145.1 SAMN28677770
GCF_023650735.1 SAMN28677694
GCF_023612035.1 SAMN20607820
GCF_023523795.1 SAMN13955257
GCF_023375545.1 SAMN23424733
GCF_023375525.1 SAMN23424734
GCF_023375505.1 SAMN23424735
GCF_023375485.1 SAMN23424736
GCF_023375465.1 SAMN23424737
GCF_023375265.1 SAMN23424484
GCF_023375245.1 SAMN23424485
GCF_023300165.1 SAMN28025447
GCF_023300025.1 SAMN28025459
GCF_023299785.1 SAMN28025460
GCF_023299705.1 SAMN28025455
GCF_023299685.1 SAMN28025451
