Campylobacter | número de entradas: 571 | date: 2023-05-03 10:41:12.868046
GCF_029542565.1 SAMN13684191
GCF_029542545.1 SAMN13684185
GCF_029025025.1 SAMN33424361
GCA_027625415.1 SAMN32407190
GCF_026898195.1 SAMN30729424
GCF_025913855.1 SAMN31300511
GCF_025913755.1 SAMN31300510
GCF_025913735.1 SAMN31300241
GCF_025908295.1 SAMN31167590
GCA_025908195.1 SAMN31367385
GCF_025790865.1 SAMN09504270
GCF_025319965.1 SAMN03737971
GCF_025232655.1 SAMN05831979
GCF_025232635.1 SAMN05831977
GCF_025232615.1 SAMN05831972
GCF_025232595.1 SAMN05831975
GCF_025232575.1 SAMN05831993
GCF_025232555.1 SAMN05831982
GCF_025232535.1 SAMN05831968
GCF_025232515.1 SAMN05831984
GCF_025232495.1 SAMN05831986
GCF_025232355.1 SAMN05831964
GCF_025232335.1 SAMN05831992
GCF_025232315.1 SAMN05831966
GCF_025232295.1 SAMN05831974
GCF_025232275.1 SAMN05831980
GCF_025232255.1 SAMN05831971
GCF_025232235.1 SAMN05831987
GCF_025232205.1 SAMN05831967
GCF_025232125.1 SAMN05831965
GCF_025215645.1 SAMN05831981
GCF_025200945.1 SAMN09621896
GCF_025152605.1 SAMN09630429
GCF_025135795.1 SAMN05831973
GCF_024752555.1 SAMN30032461
GCA_024349665.1 SAMD00491757
GCA_024349645.1 SAMD00491755
GCA_024349625.1 SAMD00491754
GCA_024349605.1 SAMD00491752
GCA_024349585.1 SAMD00491751
GCA_024349565.1 SAMD00491744
GCA_024349545.1 SAMD00491742
GCA_024349525.1 SAMD00491740
GCA_024349505.1 SAMD00491739
GCA_024349385.1 SAMD00491738
GCA_024349225.1 SAMD00491737
GCA_024349045.1 SAMD00491710
GCA_024348925.1 SAMD00491708
GCA_024348765.1 SAMD00491702
GCA_024348645.1 SAMD00491700
GCA_024348485.1 SAMD00491699
GCA_024348345.1 SAMD00491691
GCA_024348245.1 SAMD00491690
GCA_024348135.1 SAMD00491680
GCA_024348115.1 SAMD00491676
GCA_024348095.1 SAMD00491671
GCA_024348075.1 SAMD00491669
GCA_024348055.1 SAMD00491665
GCA_024348035.1 SAMD00491663
GCA_024348015.1 SAMD00491662
GCA_024347995.1 SAMD00491660
GCA_024347975.1 SAMD00491659
GCA_024347955.1 SAMD00491657
GCA_024347935.1 SAMD00491650
GCA_024347915.1 SAMD00491647
GCA_024347895.1 SAMD00491646
GCA_024347875.1 SAMD00491644
GCF_024334045.1 SAMN15735177
GCF_024334025.1 SAMN15735178
GCF_024334005.1 SAMN15735181
GCF_024333985.1 SAMN15735182
GCF_024181745.1 SAMN08945459
GCF_024181005.1 SAMN08924866
GCF_023278005.1 SAMN25076593
GCF_022369475.1 SAMN03737964
GCF_022369455.1 SAMN03737962
GCF_022369435.1 SAMN03737978
GCF_022220425.1 SAMN25686010
GCF_022220365.1 SAMN25685231
GCF_022220345.1 SAMN25686031
GCF_022220325.1 SAMN25686030
GCF_022220305.1 SAMN25685808
GCF_022220285.1 SAMN25686155
GCF_022220265.1 SAMN25656797
GCF_021899855.1 SAMN25276611
GCF_020143085.2 SAMN14648956
GCF_020736225.1 SAMN22091644
GCF_020736205.1 SAMN22091646
GCF_020736185.1 SAMN22091645
GCF_020736145.1 SAMN22091643
GCF_020735585.1 SAMN22365120
GCF_020720575.1 SAMN22668663
GCF_020720445.1 SAMN22668665
GCF_020720295.1 SAMN22668664
GCF_020720025.1 SAMN22668670
GCF_020719855.1 SAMN22668667
GCF_020719705.1 SAMN22668671
GCF_020719565.1 SAMN22668673
GCF_020719435.1 SAMN22668672
GCF_020719285.1 SAMN22668669
GCF_020719145.1 SAMN22668668
GCF_020719015.1 SAMN22668675
GCF_020718885.1 SAMN22668674
GCF_020718705.1 SAMN22668676
GCF_916098255.1 SAMEA9957327
GCF_916098265.1 SAMEA9957328
GCF_020042605.1 SAMN21378338
GCF_020042585.1 SAMN21378337
GCF_020042525.1 SAMN21378336
GCF_020042445.1 SAMN21378319
GCF_019967875.1 SAMN21240411
GCF_019930985.1 SAMN20888882
GCF_019930945.1 SAMN20888884
GCF_019930865.1 SAMN20888883
GCF_912579715.1 SAMEA8911316
GCF_912579705.1 SAMEA8911315
GCA_004924415.2 SAMN03565950
GCF_019754215.1 SAMN20837287
GCF_019702925.1 SAMD00325877
GCF_004925195.1 SAMN03565922
GCA_004931435.2 SAMN04545263
GCF_005298665.1 SAMN04544966
GCF_005096145.1 SAMN03569408
GCA_005300165.2 SAMN05230202
GCA_004931055.2 SAMN04545154
GCF_004931075.1 SAMN04545045
GCF_005142785.1 SAMN05230199
GCF_005133505.1 SAMN03566219
GCF_005102525.1 SAMN05230204
GCF_019056455.1 SAMN15156978
GCF_019056415.1 SAMN15156779
GCF_000466925.3 SAMN02298816
GCF_018968685.1 SAMN19672120
GCF_018885245.1 SAMN15156991
GCF_018885225.1 SAMN15156789
GCF_018885205.1 SAMN15156890
GCF_018885185.1 SAMN15156968
GCF_018885165.1 SAMN15156961
GCF_018885145.1 SAMN15156909
GCF_018885125.1 SAMN15156770
GCF_000759575.2 SAMN03077634
GCF_018176975.1 SAMN17379418
GCF_018176875.1 SAMN17379417
GCF_018176755.1 SAMN17379544
GCF_018176655.1 SAMN17379499
GCF_018176575.1 SAMN17379471
GCF_017896405.1 SAMN18438775
GCF_017896385.1 SAMN18438628
GCF_017357085.1 SAMN05871073
GCF_017357025.1 SAMN15004778
GCF_017356965.1 SAMN15004784
GCF_017356945.1 SAMN15004774
GCF_017356925.1 SAMN05871074
GCF_017356905.1 SAMN15004785
GCF_017356885.1 SAMN15004776
GCF_017356865.1 SAMN15004775
GCF_017356845.1 SAMN15004783
GCF_017356825.1 SAMN15004782
GCF_017356805.1 SAMN15004773
GCF_017356785.1 SAMN15004781
GCF_017356765.1 SAMN15004780
GCF_017356745.1 SAMN15004779
GCF_017356685.1 SAMN15004777
GCF_017352015.1 SAMN08987254
GCF_017351955.1 SAMN08987256
GCA_005140245.2 SAMN04545069
GCA_005102505.2 SAMN04545132
GCF_005140225.1 SAMN04545068
GCF_005140505.1 SAMN04545133
GCF_004930695.1 SAMN04545064
GCF_005101645.1 SAMN04545067
GCF_004931315.1 SAMN04545269
GCF_005102005.1 SAMN04545131
GCF_005102825.1 SAMN04545063
GCF_005139685.1 SAMN04545066
GCF_005134285.1 SAMN03565951
GCF_004931595.1 SAMN04545316
GCF_016726265.1 SAMN16357270
GCF_016600925.1 SAMN14933898
GCA_016600905.1 SAMN14933898
GCF_016458865.1 SAMN17131268
GCF_016458845.1 SAMN17131267
GCA_016406685.1 SAMN16083344
GCA_016406665.1 SAMN16083724
GCF_016406645.1 SAMN14615035
GCA_016403125.1 SAMN14451476
GCF_016350125.1 SAMN14933898
GCF_016127675.1 SAMN16357197
GCF_014931255.1 SAMN04545296
GCA_014931235.1 SAMN15354326
GCF_014931215.1 SAMN04545315
GCA_014931195.1 SAMN15354327
GCA_014931135.1 SAMN16387699
GCA_014931115.1 SAMN15354339
GCF_014931075.1 SAMN16387700
GCF_014931055.1 SAMN16387701
GCF_015774875.1 SAMN16960974
GCF_003048675.2 SAMN08042482
GCF_003048835.2 SAMN08042490
