Candida_auris | número de entradas: 42 | date: 2023-05-03 10:41:19.417495
GCA_019332045.1 SAMN19589290
GCA_019039775.1 SAMN19589285
GCA_019039755.1 SAMN19589288
GCA_019039735.1 SAMN19589287
GCA_019039715.1 SAMN19589289
GCA_019039695.1 SAMN19589292
GCA_019039675.1 SAMN19589295
GCA_019039655.1 SAMN19589299
GCA_019039635.1 SAMN19589291
GCA_019039615.1 SAMN19589293
GCA_019039595.1 SAMN19589284
GCA_019039575.1 SAMN19589294
GCA_019039555.1 SAMN19589301
GCA_019039535.1 SAMN19589300
GCA_019039515.1 SAMN19589297
GCA_019039495.1 SAMN19589306
GCA_019039475.1 SAMN19589296
GCA_019039455.1 SAMN19589307
GCA_019039435.1 SAMN19589305
GCA_019039415.1 SAMN19589308
GCA_019039395.1 SAMN19589298
GCA_019039375.1 SAMN19589302
GCA_019039355.1 SAMN19589309
GCA_019039335.1 SAMN19589310
GCA_019039315.1 SAMN19589311
GCA_019039295.1 SAMN19589303
GCA_019039275.1 SAMN19589304
GCA_019039235.1 SAMN19589312
GCA_016809505.1 SAMN11570381
GCA_016772235.1 SAMN13294125
GCA_016772215.1 SAMN13294188
GCA_016772195.1 SAMN10141991
GCA_016772175.1 SAMN15834475
GCA_016772155.1 SAMN09111895
GCA_016772135.1 SAMN05379594
GCA_016495685.1 SAMN13354598
GCA_016495665.1 SAMN13294127
GCA_016495645.1 SAMN10139530
GCA_014673535.1 SAMN15723399
GCA_014217455.1 SAMN12083544
GCF_003013715.1 SAMN05379608
GCA_008275145.1 SAMN05379621
