Listeria | número de entradas: 337 | date: 2023-05-03 10:44:46.871151
GCF_028867355.1 SAMN13351544
GCF_028743575.1 SAMN33246663
GCF_028674095.1 SAMN31954760
GCF_028674005.1 SAMEA112128948
GCF_028673915.1 SAMEA112128947
GCF_028673815.1 SAMEA112128949
GCF_028673515.1 SAMEA104485064
GCF_028596125.1 SAMN32977651
GCF_026871175.1 SAMN31843377
GCF_027504105.1 SAMN31888652
GCF_027504085.1 SAMN31888653
GCF_027504065.1 SAMN31888654
GCF_027504005.1 SAMN31888655
GCF_027503885.1 SAMN31888656
GCF_026976295.1 SAMN32027908
GCF_026976255.1 SAMN32027907
GCF_026976075.1 SAMN32027906
GCF_026975895.1 SAMN32027905
GCF_002103235.2 SAMN05452976
GCF_024800705.1 SAMN13941779
GCF_024721565.1 SAMN13941777
GCF_024721545.1 SAMN13941775
GCF_024399455.1 SAMN29673611
GCF_023515845.1 SAMN23176672
GCF_004636745.1 SAMN04263682
GCF_017363655.2 SAMN10869156
GCF_004636605.1 SAMN03761736
GCF_017363615.2 SAMN10869157
GCF_004636665.1 SAMN03761682
GCF_023078395.1 SAMN27548027
GCF_022869685.1 SAMN14078809
GCF_022682045.1 SAMN26535716
GCF_022220825.1 SAMN25653829
GCF_022220805.1 SAMN25653832
GCF_022220785.1 SAMN25653833
GCF_022220765.1 SAMN25653830
GCF_022220745.1 SAMN25653831
GCF_022220725.1 SAMN25653828
GCF_021391475.1 SAMN23386453
GCF_021391455.1 SAMN23386451
GCF_021378215.1 SAMN16205177
GCF_021029855.2 SAMN21217731
GCF_021029705.2 SAMN21217737
GCF_019332005.1 SAMN18537090
GCF_018968745.1 SAMN19696832
GCF_018966805.1 SAMN19669079
GCF_018966765.1 SAMN19267651
GCF_018736025.1 SAMN19267648
GCF_018735945.1 SAMN19292164
GCF_018735785.1 SAMN19267647
GCF_018672415.1 SAMN14261987
GCF_018604325.1 SAMN14260852
GCF_018604305.1 SAMN14260765
GCF_018604285.1 SAMN14261962
GCF_018604265.1 SAMN14261396
GCF_018604245.1 SAMN14260901
GCF_018604225.1 SAMN14261963
GCF_018604205.1 SAMN14261395
GCF_018604185.1 SAMN14260727
GCF_018336795.1 SAMN14260762
GCF_018336775.1 SAMN14260726
GCF_018336755.1 SAMN14260707
GCF_018336735.1 SAMN14260728
