Clostridium_botulinum | número de entradas: 68 | date: 2023-05-03 10:41:37.558419
GCF_028416695.1 SAMN25937290
GCF_028416675.1 SAMN25937291
GCF_028416655.1 SAMN25937292
GCA_027943665.1 SAMD00396923
GCF_026224755.1 SAMN17981063
GCF_026224735.1 SAMN17980966
GCF_026224615.1 SAMN17980880
GCF_024584665.1 SAMN21169058
GCF_022833145.1 SAMN14278160
GCA_017101655.1 SAMN16288621
GCF_017100085.1 SAMN16288618
GCF_016838665.1 SAMN17763437
GCF_016798345.1 SAMN17386352
GCA_016071555.1 SAMN16288619
GCF_016071375.1 SAMN16288620
GCF_014068615.1 SAMN13428652
GCF_009733885.1 SAMN13288210
GCF_007833455.1 SAMN07185521
GCF_007833435.1 SAMN07185514
GCF_007833415.1 SAMN07185504
GCF_007833395.1 SAMN07185500
GCF_007833375.1 SAMN07185489
GCF_003345335.1 SAMN03769220
GCF_003345315.1 SAMN03769222
GCF_003058445.1 SAMN07135561
GCF_003058345.1 SAMN03780372
GCF_003017335.1 SAMN08398062
GCF_003017225.1 SAMN08398061
GCF_003017195.1 SAMN08398059
GCF_003017145.1 SAMN08397979
GCF_002866225.1 SAMN04263507
GCF_002866125.1 SAMN04263506
GCF_002866045.1 SAMN04263502
GCF_002865885.1 SAMN04263491
GCF_002865845.1 SAMN04263497
GCF_002865825.1 SAMN04263501
GCF_002865805.1 SAMN04263496
GCF_002865765.1 SAMN04263490
GCF_002865745.1 SAMN04263498
GCF_001921985.1 SAMN04263488
GCF_001921965.1 SAMN04263489
GCF_001921945.1 SAMN04263494
GCF_001921925.1 SAMN04263492
GCF_001921905.1 SAMN04263493
GCF_001889365.1 SAMN04262332
GCF_001889345.1 SAMN04262334
GCF_001879625.1 SAMN04262350
GCF_001879605.1 SAMN04262333
GCF_000307125.1 SAMEA2272780
GCF_000253195.1 SAMEA2272270
GCF_000092345.1 SAMN02603020
GCF_000204565.1 SAMN02603671
GCF_000829015.1 SAMD00024166
GCF_000827955.1 SAMN03284339
GCF_000827935.1 SAMN03284354
GCF_000817935.1 SAMN03222820
GCA_000816945.1 SAMN03222819
GCF_000789355.1 SAMN03222822
GCF_000063585.1 SAMEA1705919
GCF_000022765.1 SAMN02603540
GCF_000020345.1 SAMN02603539
GCF_000020285.1 SAMN02603537
GCF_000020165.1 SAMN02603538
GCF_000019545.1 SAMN02603536
GCF_000019305.1 SAMN02603535
GCF_000017065.1 SAMN02603533
GCF_000017045.1 SAMN02603534
GCF_000017025.1 SAMN02603532
