Klebsiella | número de entradas: 2459 | date: 2023-05-03 10:44:18.610467
GCA_029909755.1 SAMN33560847
GCF_029889725.1 SAMN34178607
GCF_029867025.1 SAMN34239926
GCF_029854595.1 SAMN34175033
GCF_029854575.1 SAMN34174741
GCF_029853875.1 SAMN34111322
GCF_029853855.1 SAMN34111323
GCF_029853835.1 SAMN34111324
GCF_029834625.1 SAMN34035886
GCF_029834605.1 SAMN34035887
GCF_029814845.1 SAMN34136943
GCF_029773585.1 SAMN23482372
GCF_029718685.1 SAMN15488569
GCF_029718135.1 SAMN15488602
GCF_029718665.1 SAMN15488570
GCF_029717585.1 SAMN15488518
GCF_029717425.1 SAMN15488532
GCF_029625075.1 SAMN33954883
GCF_029625055.1 SAMN33954880
GCF_029625015.1 SAMN33954874
GCF_029624995.1 SAMN33954875
GCF_029624975.1 SAMN33954876
GCF_029624955.1 SAMN33954881
GCF_029624935.1 SAMN33954879
GCF_029624915.1 SAMN33954878
GCF_029624895.1 SAMN33954877
GCF_029624875.1 SAMN33954882
GCA_029581515.1 SAMN33866699
GCF_029581335.1 SAMN33858865
GCF_029542305.1 SAMN32525982
GCF_029542185.1 SAMN31525422
GCF_029542165.1 SAMN31525373
GCF_029541905.1 SAMN23617032
GCF_029541885.1 SAMN23617027
GCF_029541865.1 SAMN23617025
GCF_029541845.1 SAMN23617031
GCF_029541825.1 SAMN23617030
GCF_029541805.1 SAMN23617028
GCF_029541785.1 SAMN23617024
GCF_029541765.1 SAMN23617029
GCF_029541725.1 SAMN23617026
GCF_029541705.1 SAMN23961226
GCF_029541685.1 SAMN23961225
GCF_029541665.1 SAMN23961224
GCF_029541645.1 SAMN23961223
GCF_029541625.1 SAMN23617023
GCF_029448435.1 SAMN31888397
GCA_029278585.1 SAMN33678013
GCA_029223945.1 SAMN33591082
GCF_029203205.1 SAMN31461132
GCA_029202365.1 SAMN33481888
GCF_029201505.1 SAMN30273449
GCF_029201485.1 SAMN30273448
GCF_029201465.1 SAMN29935323
GCA_029168275.1 SAMN33560690
GCF_029167725.1 SAMN33555564
GCF_029027985.1 SAMN33464185
GCF_029027885.1 SAMN28515549
GCF_029026865.1 SAMN24018744
GCF_029026845.1 SAMN24018745
GCF_029026345.1 SAMN33420516
GCF_029025965.1 SAMN33420447
GCF_029025805.1 SAMN33453558
GCF_028872175.1 SAMN15907158
GCF_028871695.1 SAMN14450692
GCF_028831855.1 SAMN32767760
GCF_028768445.1 SAMN33216268
GCF_028753275.1 SAMN28158754
GCF_028752875.1 SAMN23514820
GCF_028736015.1 SAMN15907150
GCF_028622755.1 SAMN32093417
GCF_028622675.1 SAMN32733981
GCF_028622155.1 SAMN32733973
GCA_021904535.3 SAMN21919088
GCA_022024795.3 SAMN17608176
GCA_021904655.3 SAMN21919093
GCF_028621835.1 SAMN32958782
GCF_028609785.1 SAMN14968829
