Aeromonas_veronii | número de entradas: 51 | date: 2023-05-03 10:40:52.346613
GCF_029773565.1 SAMN33901087
GCF_029773545.1 SAMN33901086
GCF_029773525.1 SAMN33901088
GCF_029773505.1 SAMN33901096
GCF_029773485.1 SAMN33901092
GCF_029773465.1 SAMN33901095
GCF_029773445.1 SAMN33901098
GCF_029773425.1 SAMN33901097
GCF_029773405.1 SAMN33901091
GCF_029773385.1 SAMN33901089
GCF_029773365.1 SAMN33901094
GCF_029773345.1 SAMN33901099
GCF_029773325.1 SAMN33901103
GCF_029773265.1 SAMN33901100
GCF_029773245.1 SAMN33901085
GCF_029773225.1 SAMN33901104
GCF_029773085.1 SAMN33901093
GCF_029773065.1 SAMN33901090
GCF_029633935.1 SAMN24908263
GCF_026016025.1 SAMN31516430
GCF_025665435.1 SAMN28748616
GCF_024971835.1 SAMN20130520
GCF_024583155.1 SAMN30068462
GCF_023921405.1 SAMN18498901
GCF_023100745.1 SAMN27615187
GCF_022921155.1 SAMN20179696
GCF_020172765.2 SAMN21418941
GCF_021586915.1 SAMN20667377
GCF_020640955.1 SAMN21168054
GCF_020544445.1 SAMN17038035
GCF_017310275.1 SAMN15184730
GCF_014169875.1 SAMD00194675
GCF_014169835.1 SAMD00194639
GCF_014169795.1 SAMD00194633
GCF_014168995.1 SAMD00194437
GCF_014168715.1 SAMD00194363
GCF_000464515.2 SAMN02471703
GCF_013415825.1 SAMN15395818
GCF_011045495.1 SAMN10696333
GCF_009834065.1 SAMN13640848
GCF_009755745.1 SAMN11868773
GCF_008693705.1 SAMN11056347
GCF_003722175.1 SAMN10389897
GCF_002866885.2 SAMN08281233
GCF_003491365.1 SAMN08731619
GCF_002803945.1 SAMN08042684
GCF_002803925.1 SAMN08042683
GCF_001634345.1 SAMN04901561
GCF_001634325.1 SAMN03455926
GCF_001593245.1 SAMN04012505
GCF_000204115.1 SAMN02603940
