#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000018258.3|SAMN02194084|GCA_000467655.2|Enterobacter roggenkampii EC_38VIM1||EC_38VIM1|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000467655.2	Scaffold	262093	5155010	84	GS De Novo Assembler v. May-2013	Generic	PRJNA203245	Microbiology Department, Hospital 12 de octubre	SAMN02194084	"EC_38VIM1","SRS449869"	NULL	2009-05-25	clinical	822158	Spain	Homo sapiens	NULL	blood	NULL	NULL	NULL	EC_38VIM1	Enterobacter roggenkampii EC_38VIM1	NULL	NULL	1812935	NULL	NULL	EC_38VIM1	NULL	NULL	PDT000018258.3	2013-10-22	1334630	ATHX	ATHX00000000.1	NULL	NULL	NULL	0	0	0	0	17	17	NULL	"aac(6')-Ib4,aadA1,aadA2,ant(2'')-Ia,aph(3')-Ia,blaMIR-25,blaVIM-1,catA=HMM,catA1,catB2,dfrB1,fosA,mph(E),msr(E),oqxB,qnrA1,sul1"	"aac(6')-Ib4,aadA1,aadA2,ant(2'')-Ia,aph(3')-Ia,blaMIR-25,blaVIM-1,catA=HMM,catA1,catB2,dfrB1,fosA,mph(E),msr(E),oqxB,qnrA1,sul1"	30	"arsC,arsC=HMM,asr=HMM,fieF,merA,merC=HMM,merD,merE,merP=HMM,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,pcoS=PARTIAL_END_OF_CONTIG,qacE=PARTIAL_END_OF_CONTIG,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000019193.3|SAMN02138617|GCA_000492435.1|Enterobacter roggenkampii||UCICRE 12|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000492435.1	Scaffold	838334	5210535	32	allpaths v. R46513	Generic	PRJNA201997	Broad Institute	SAMN02138617	"Entero Cloacae UCICRE 12","SRS429517","UCICRE 12"	NULL	NULL	NULL	847358	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Entero Cloacae UCICRE 12	Enterobacter roggenkampii	NULL	NULL	1812935	NULL	NULL	UCICRE 12	NULL	NULL	PDT000019193.3	2013-10-30	1812935	AYID	AYID00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaMIR-16,catA=HMM,fosA,oqxB"	"blaMIR-16,catA=HMM,fosA,oqxB"	18	"arsC=HMM,asr=HMM,fieF,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT000019212.3|SAMN02138574|GCA_000492895.1|Enterobacter roggenkampii MGH 34||MGH 34|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000492895.1	Scaffold	1223311	5078889	8	allpaths v. R47032	Generic	PRJNA201949	Broad Institute	SAMN02138574	"Enterobacter cloacae complex MGH 34","MGH 34","SRS420743"	NULL	NULL	NULL	847988	NULL	NULL	NULL	urine	NULL	NULL	NULL	Enterobacter cloacae complex MGH 34	Enterobacter roggenkampii MGH 34	NULL	NULL	1812935	NULL	NULL	MGH 34	NULL	NULL	PDT000019212.3	2013-10-30	1329832	AYJA	AYJA00000000.1	NULL	NULL	NULL	0	0	0	11	4	4	"amikacin=ND,ampicillin=ND,cefazolin=ND,cefotaxime=ND,cephalothin=ND,ciprofloxacin=ND,ertapenem=ND,gentamicin=ND,imipenem=ND,meropenem=ND,nitrofurantoin=ND"	"blaMIR-11,catA=HMM,fosA,oqxB"	"blaMIR-11,catA=HMM,fosA,oqxB"	29	"arsC=HMM,asr=HMM,clpK,fieF,hdeD-GI,hsp20,kefB-GI,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,psi-GI,shsP,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ,trxLHR,yfdX1,yfdX2"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000021109.2|SAMN02356619|GCA_000534155.1|Enterobacter roggenkampii UCI 39||UCI 39|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000534155.1	Scaffold	1337150	4806374	12	allpaths v. R47768	Generic	PRJNA219291	Broad Institute	SAMN02356619	"Enterobacter cloacae UCI 39","SRS485436","UCI 39"	NULL	NULL	clinical	907588	USA: Irvine, CA	Homo sapiens	NULL	urine	NULL	NULL	NULL	Enterobacter cloacae UCI 39	Enterobacter roggenkampii UCI 39	NULL	NULL	1812935	NULL	NULL	UCI 39	NULL	NULL	PDT000021109.2	2014-02-03	1400152	JCKQ	JCKQ00000000.1	NULL	NULL	NULL	5	3	6	14	5	5	"amikacin=S,ampicillin=R,cefazolin=R,cefotaxime=R,cefoxitin=R,ceftazidime=R,cephalothin=S,ciprofloxacin=S,ertapenem=I,gentamicin=S,imipenem=I,meropenem=S,nitrofurantoin=I,tigecycline=S"	"blaMIR-9,catA=HMM,fosA,mcr-10.1,oqxB"	"blaMIR-9,catA=HMM,fosA,mcr-10.1,oqxB"	18	"arsC=HMM,asr=HMM,fieF,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000030620.2|SAMN02581386|GCA_000692335.1|Enterobacter roggenkampii MGH 54||MGH 54|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000692335.1	Scaffold	566827	4858591	24	allpaths v. R48559	Generic	PRJNA234253	Broad Institute	SAMN02581386	"Enterobacter cloacae complex MGH 54","MGH 54","SRS576244"	NULL	2013	clinical	1071188	USA: Boston	Homo sapiens	NULL	urine	NULL	NULL	NULL	Enterobacter cloacae complex MGH 54	Enterobacter roggenkampii MGH 54	NULL	NULL	1812935	NULL	NULL	MGH 54	NULL	NULL	PDT000030620.2	2014-05-19	1439330	JMUU	JMUU00000000.1	NULL	NULL	NULL	0	0	0	11	4	4	"amikacin=ND,ampicillin=ND,cefazolin=ND,cefotaxime=ND,cephalothin=ND,ciprofloxacin=ND,ertapenem=ND,gentamicin=ND,imipenem=ND,meropenem=ND,nitrofurantoin=ND"	"blaMIR-16,catA=HMM,fosA,oqxB"	"blaMIR-16,catA=HMM,fosA,oqxB"	31	"arsC=HMM,asr=HMM,clpK,fieF,hdeD-GI,hsp20,kefB-GI,ncrA,ncrB,ncrC,ncrY,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,psi-GI,shsP,silA,silB,silC,silE,silF,silP,silR,silS,trxLHR,yfdX1,yfdX2"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000031671.2|SAMN02581381|GCA_000692295.1|Enterobacter roggenkampii CHS 79||CHS 79|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000692295.1	Scaffold	436377	5189314	40	allpaths v. R48559	Generic	PRJNA234248	Broad Institute	SAMN02581381	"CHS 79","Enterobacter cloacae CHS 79","SRS576225"	NULL	2013	clinical	1086568	USA: North Carolina	Homo sapiens	NULL	urine	NULL	NULL	NULL	Enterobacter cloacae CHS 79	Enterobacter roggenkampii CHS 79	NULL	NULL	1812935	NULL	NULL	CHS 79	NULL	NULL	PDT000031671.2	2014-05-29	1439326	JMUS	JMUS00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaMIR,fosA,oqxB"	"blaMIR,fosA,oqxB"	35	"arsC=HMM,asr=HMM,clpK,fieF,hdeD-GI,hsp20,kefB-GI,merA,merC=HMM,merD,merE,merP=HMM,merR,merT,ncrA,ncrB,ncrC,pcoA,pcoC,pcoD,pcoE,pcoR,psi-GI,shsP,silA,silB,silC,silE,silF,silP,silR,silS,trxLHR,yfdX1,yfdX2"	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT000046561.5|SAMN03067419|GCA_000807415.4|Enterobacter roggenkampii||35734|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000807415.4	Complete Genome	5017289	5276896	4	HGAP v. 2	Pathogen: clinical or host-associated	PRJNA259658	JCVI	SAMN03067419	"35734","GCID_ENTE_00006","SRS734216"	Barry Kreiswirth	2010	clinical	2289668	USA	Homo sapiens	NULL	excreted bodily substance	NULL	NULL	NULL	NULL	Enterobacter roggenkampii	NULL	NULL	1812935	NULL	NULL	35734	NULL	NULL	PDT000046561.5	2015-08-21	1812935	NULL	NULL	NULL	NULL	NULL	0	0	0	0	10	10	NULL	"aac(6')-Ib',aadA1,blaKPC-3,blaMIR-20,blaOXA=PARTIAL,blaTEM-1,catA=HMM,fosA,oqxB,qnrB19"	"aac(6')-Ib',aadA1,blaKPC-3,blaMIR-20,blaOXA=PARTIAL,blaTEM-1,catA=HMM,fosA,oqxB,qnrB19"	25	"arsC,arsC=HMM,arsD=HMM,arsR,asr=HMM,fieF,hsp20,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000046813.2|SAMN03261526|GCA_000812425.1|Enterobacter roggenkampii||GN1|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000812425.1	Contig	109685	4844730	120	CLC NGS Cell v. 2012-12-09	Microbe	PRJNA269998	University of Malaya	SAMN03261526	"GN1"	Vet Food Agro Diagnostics (M) Sdn Bhd	2014-09-15	NULL	1460728	Malaysia: Perak	NULL	NULL	water supply from a pigs farm	NULL	NULL	NULL	GN1	Enterobacter roggenkampii	NULL	NULL	1812935	NULL	NULL	GN1	NULL	NULL	PDT000046813.2	2014-12-31	1812935	JWPV	JWPV00000000.1	NULL	NULL	NULL	0	0	0	0	16	16	NULL	"aadA2,aph(3'')-Ib,aph(6)-Id,blaMIR,blaTEM-1,catA=HMM,dfrA12,erm(42),floR,fosA,mph(A),oqxB,qnrS1,sul1,sul2,tet(A)"	"aadA2,aph(3'')-Ib,aph(6)-Id,blaMIR,blaTEM-1,catA=HMM,dfrA12,erm(42),floR,fosA,mph(A),oqxB,qnrS1,sul1,sul2,tet(A)"	19	"arsC=HMM,asr=HMM,fieF,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,qacEdelta1,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000052578.2|SAMN03333158|GCA_000968725.1|Enterobacter roggenkampii||MNCRE16|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000968725.1	Scaffold	163892	4927487	88	CLC Genomics Workbench v. JUNE-2014	Pathogen: clinical or host-associated	PRJNA272863	University of Minnesota	SAMN03333158	"MNCRE16"	NULL	2010	clinical	1721098	USA: Minnesota	Homo sapiens	Not available	urine	46 N 94 W	NULL	NULL	MNCRE16	Enterobacter roggenkampii	NULL	NULL	1812935	NULL	NULL	MNCRE16	NULL	NULL	PDT000052578.2	2015-04-03	1812935	JYMH	JYMH00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaMIR,catA=HMM,fosA,oqxB"	"blaMIR,catA=HMM,fosA,oqxB"	26	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,fieF,ncrC,nirA,nirB,nirD=PARTIAL,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000061705.2|SAMN03283661|GCA_000956965.1|Enterobacter roggenkampii||35618|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000956965.1	Contig	160895	5109578	81	SPAdes v. 3.1.1	Pathogen: clinical or host-associated	PRJNA259658	JCVI	SAMN03283661	"35618","GCID_ENTE_00080","SRS856580"	Barry Kreiswirth	2012	clinical	1694638	USA: FL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Enterobacter roggenkampii	NULL	NULL	1812935	NULL	NULL	35618	NULL	NULL	PDT000061705.2	2015-03-19	1812935	JZZI	JZZI00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaKPC-3,blaMIR-20,catA=HMM,fosA,oqxB"	"blaKPC-3,blaMIR-20,catA=HMM,fosA,oqxB"	26	"arsC,arsC=HMM,arsD=HMM,arsR,asr=HMM,clpK,fieF,hsp20,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
