#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000004922.2|SAMN02603912|GCA_000018045.1|Citrobacter koseri ATCC BAA-895||ATCC BAA-895|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000018045.1	Complete Genome	4720462	4735357	3	NULL	Generic	PRJNA12716	The Citrobacter koseri Genome Sequencing Project	SAMN02603912	"ATCC BAA-895","CP000822"	NULL	NULL	NULL	18848	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000822	Citrobacter koseri ATCC BAA-895	NULL	NULL	545	NULL	NULL	ATCC BAA-895	NULL	NULL	PDT000004922.2	2010-05-12	290338	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaCKO"	"blaCKO"	2	"asr=HMM,fieF"	7	"iucA,iucB,iucC,iutA,senB,ybtP,ybtQ"	3.11.2	2023-04-17.1	COMBINED	1
PDT000005299.2|SAMEA2272524|GCA_000027085.1|Citrobacter rodentium ICC168||ICC168|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000027085.1	Complete Genome	5346659	5444283	4	NULL	Generic	PRJEA34685	Wellcome Trust Sanger Institute	SAMEA2272524	"ERS379942","GCA_000027085","ICC168"	NULL	NULL	NULL	27888	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Citrobacter rodentium ICC168	NULL	NULL	67825	NULL	NULL	ICC168	NULL	NULL	PDT000005299.2	2010-05-12	637910	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaSED=HMM"	"blaSED=HMM"	2	"asr=HMM,fieF"	7	"eae=HMM,espA,espF,espK,nleB,nleC,tir"	3.10.42	2022-10-11.2	COMBINED	1
PDT000005558.2|SAMN02415622|GCA_000155975.1|Citrobacter youngae ATCC 29220||ATCC 29220|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000155975.1	Scaffold	497106	5154159	49	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA28665	Washington University Genome Sequencing Center	SAMN02415622	"ABWL","ATCC 29220","ATCC:29220"	NULL	missing	clinical	182858	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	ABWL	Citrobacter youngae ATCC 29220	NULL	NULL	133448	NULL	NULL	ATCC 29220	NULL	"Citrobacter youngae ATCC 29220"	PDT000005558.2	2010-10-15	500640	ABWL	ABWL00000000.2	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaCMY,qnrB39,tet(C)"	"blaCMY,qnrB39,tet(C)"	3	"arsC=HMM,asr=HMM,fieF"	1	"sinH=HMM"	3.11.2	2022-12-19.1	COMBINED	1
PDT000010167.2|SAMN02469678|GCA_000312465.1|Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681||MTCC 1658|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000312465.1	Contig	196048	5001265	171	Newbler v. 2.5.3	Generic	PRJNA177199	Institute of Microbial Technology (IMTECH), Chandigarh	SAMN02469678	"ANAV","MTCC 1658","MTCC:1658"	NULL	NULL	NULL	456858	USA	NULL	NULL	canal water	NULL	NULL	NULL	ANAV	Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681	NULL	NULL	546	NULL	NULL	MTCC 1658	NULL	NULL	PDT000010167.2	2012-11-09	1006003	ANAV	ANAV00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaCMY-72"	"blaCMY-72"	7	"arsA,arsB,arsC,arsD,arsR,asr=HMM,fieF"	1	"sinH=HMM"	3.11.2	2023-02-23.1	COMBINED	1
PDT000011394.2|SAMN02469850|GCA_000342325.1|Citrobacter freundii GTC 09479||GTC 09479|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000342325.1	Contig	370883	4899578	31	Velvet v. 1.2.08	Generic	PRJNA187423	Institute of Microbial Technology (IMTECH), Chandigarh, India 160036	SAMN02469850	"AOMS","GTC 09479"	NULL	1983-05	clinical	552288	Japan	Homo sapiens	NULL	urine	NULL	NULL	NULL	AOMS	Citrobacter freundii GTC 09479	NULL	NULL	546	NULL	NULL	GTC 09479	NULL	NULL	PDT000011394.2	2013-02-28	1288347	AOMS	AOMS00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaCMY-72"	"blaCMY-72"	11	"arsC=HMM,asr=HMM,fieF,hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2"	1	"sinH=HMM"	3.10.42	2022-10-11.2	COMBINED	1
PDT000015868.2|SAMN02469849|GCA_000388155.1|Citrobacter freundii GTC 09629||GTC 09629|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000388155.1	Contig	240358	5053892	79	Velvet v. 1.2.08	Generic	PRJNA190645	Institute of Microbial Technology (IMTECH), Chandigarh, India 160036	SAMN02469849	"AOUE","GTC 09629","GTC:09629"	NULL	NULL	NULL	651828	NULL	NULL	NULL	NULL	NULL	NULL	NULL	AOUE	Citrobacter freundii GTC 09629	NULL	NULL	546	NULL	NULL	GTC 09629	NULL	NULL	PDT000015868.2	2013-05-03	1297584	AOUE	AOUE00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"blaCMY-65,qnrB38"	"blaCMY-65,qnrB38"	17	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,fieF,pcoA=PARTIAL_END_OF_CONTIG,silA,silB,silC,silE,silF,silP,silR,silS"	1	"sinH=HMM"	3.10.42	2022-10-11.2	COMBINED	1
PDT000020608.1|SAMN02356611|GCA_000521965.1|Citrobacter freundii UCI 31||UCI 31|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000521965.1	Scaffold	1007649	5269965	12	allpaths v. R47883	Generic	PRJNA219281	Broad Institute	SAMN02356611	"Citrobacter freundii UCI 31","SRS485421","UCI 31"	NULL	NULL	clinical	895498	USA: Irvine, CA	Homo sapiens	NULL	urine	NULL	NULL	NULL	Citrobacter freundii UCI 31	Citrobacter freundii UCI 31	NULL	NULL	546	NULL	NULL	UCI 31	NULL	NULL	PDT000020608.1	2014-01-23	1400136	JAPB	JAPB00000000.1	NULL	NULL	NULL	5	2	7	14	2	2	"amikacin=S,ampicillin=R,cefazolin=R,cefotaxime=R,cefoxitin=R,ceftazidime=R,cephalothin=S,ciprofloxacin=S,ertapenem=I,gentamicin=S,imipenem=I,meropenem=S,nitrofurantoin=S,tigecycline=S"	"blaCMY-109,qnrB38"	"blaCMY-109,qnrB38"	37	"arsA,arsC=HMM,arsD,arsD=HMM,arsR,asr=HMM,fieF,hdeD-GI,hsp20,kefB-GI,merA=HMM,merC=HMM,merD,merE,merP,merR,merT,ncrA,ncrB,ncrC,pcoA,pcoC,pcoD,pcoR,pcoS,psi-GI,shsP,silA,silB,silC,silF,silP,silR,silS,trxLHR,yfdX1,yfdX2"	1	"sinH=HMM"	3.10.40	2022-08-09.1	COMBINED	1
PDT000023522.1|SAMN02951916|GCA_000582615.1|Citrobacter freundii RLS1||RLS1|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000582615.1	Contig	158049	4907888	68	CLC NGS Cell v. CLC Genomic Workbench 6.5.1	Generic	PRJNA226604	Rutgers University	SAMN02951916	"JATT","RLS1"	NULL	NULL	NULL	956758	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Citrobacter freundii RLS1	NULL	NULL	546	NULL	NULL	RLS1	NULL	NULL	PDT000023522.1	2014-02-26	1454056	JATT	JATT00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaCMY-72"	"blaCMY-72"	7	"arsA,arsB,arsC,arsD,arsR,asr=HMM,fieF"	1	"sinH=HMM"	3.10.42	2022-10-11.2	COMBINED	1
PDT000027929.1|SAMN02713684|GCA_000648515.1|Citrobacter freundii CFNIH1||CFNIH1|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000648515.1	Complete Genome	5099034	5371331	2	HGAP2 v. unknown	Microbe	PRJNA202883	NISC	SAMN02713684	"CFNIH1","SRS606020","aalub"	NULL	2012	NULL	1024648	USA	NULL	NULL	sink aerator	NULL	NULL	NULL	aalub	Citrobacter freundii CFNIH1	NULL	NULL	546	NULL	NULL	CFNIH1	NULL	NULL	PDT000027929.1	2014-04-28	1333848	NULL	NULL	NULL	NULL	NULL	0	0	0	0	20	20	NULL	"aac(3)-Ia,aac(6')-Ib3,aadA1,ant(2'')-Ia,aph(3')-II=HMM,blaCMY,blaFOX-5,blaKPC-2,blaOXA-1,blaSHV-5,ble=HMM,catA1,catB3,dfrA14,dfrA19,mph(E),msr(E),qnrA1,qnrB12,sul1"	"aac(3)-Ia,aac(6')-Ib3,aadA1,ant(2'')-Ia,aph(3')-II=HMM,blaCMY,blaFOX-5,blaKPC-2,blaOXA-1,blaSHV-5,ble=HMM,catA1,catB3,dfrA14,dfrA19,mph(E),msr(E),qnrA1,qnrB12,sul1"	32	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,fieF,merA=HMM,merC=HMM,merD=HMM,merE=HMM,merP=HMM,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,qacE=PARTIAL,qacEdelta1,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000034428.1|SAMN02680232|GCA_000714305.1|Citrobacter freundii||5-172-05_S1_C1|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000714305.1	Contig	485195	4970425	68	MaSuRCA v. 2.0.3.1	Generic	PRJNA233703	IGS	SAMN02680232	"5-172-05_S1_C1","PCOLI_5-172-05S1C1","SRS568263"	NULL	2009-01-22	clinical	1152718	Tanzania	Homo sapiens	NULL	stool	NULL	NULL	NULL	NULL	Citrobacter freundii	NULL	NULL	546	NULL	NULL	5-172-05_S1_C1	NULL	NULL	PDT000034428.1	2014-06-27	546	JOQX	JOQX00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"aph(6)-Id=PARTIAL_END_OF_CONTIG,blaCMY-152,blaTEM=PARTIAL_END_OF_CONTIG,mph(A)"	"aph(6)-Id=PARTIAL_END_OF_CONTIG,blaCMY-152,blaTEM=PARTIAL_END_OF_CONTIG,mph(A)"	3	"arsC=HMM,asr=HMM,fieF"	1	"sinH=HMM"	3.11.2	2023-02-23.1	COMBINED	1
