#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000008432.3|SAMN02603942|GCA_000022885.2|Edwardsiella ictaluri 93-146||93-146|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000022885.2	Complete Genome	3812301	3812301	1	NULL	Generic	PRJNA34853	The Laboratory for Genomics and Microbiology	SAMN02603942	"93-146","CP001600"	NULL	NULL	NULL	456698	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP001600	Edwardsiella ictaluri 93-146	NULL	NULL	67780	NULL	NULL	93-146	NULL	NULL	PDT000008432.3	2012-11-09	634503	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000013502.3|SAMN02469763|GCA_000264785.1|Edwardsiella ictaluri ATCC 33202||ATCC 33202|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000264785.1	Contig	90155	3703689	117	Newbler v. 2.3	Generic	PRJNA66365	East China University of Science and Technology, China	SAMN02469763	"AFJI","ATCC 33202","ATCC:33202"	NULL	1976	NULL	382698	USA: Georgia	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	AFJI	Edwardsiella ictaluri ATCC 33202	NULL	NULL	67780	NULL	NULL	ATCC 33202	NULL	NULL	PDT000013502.3	2012-05-31	1027360	AFJI	AFJI00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"asr=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000072829.2|SAMN03755268|GCA_001078645.1|Edwardsiella ictaluri||LADL11-100|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001078645.1	Scaffold	66967	3701255	127	CLC Genomic workbench from CLC Bio v. 7.5	MIGS Cultured Bacterial/Archaeal	PRJNA285663	Louisiana state university	SAMN03755268	"LADL11-100 draft genome","LADL11-100"	NULL	2011-06-07	NULL	1895648	USA	Danio rerio (zebrafish)	NULL	zebrafish from quarantine facility	30 N 91 W	NULL	NULL	LADL11-100 draft genome	Edwardsiella ictaluri	NULL	NULL	67780	NULL	NULL	LADL11-100	NULL	NULL	PDT000072829.2	2015-07-17	67780	LDWX	LDWX00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000082768.2|SAMN03761503|GCA_001277155.1|Edwardsiella ictaluri||LADL11-194|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001277155.1	Scaffold	65909	3706145	130	CLC Genomic Workbench from CLC Bio v. 7.5	MIGS Cultured Bacterial/Archaeal	PRJNA285852	Louisiana state university	SAMN03761503	"LADL11-194 draft genome","LADL11-194"	NULL	2011-11	NULL	2304648	USA	Danio rerio	NULL	NULL	30 N 91 W	NULL	NULL	LADL11-194 draft genome	Edwardsiella ictaluri	NULL	NULL	67780	NULL	NULL	LADL11-194	NULL	NULL	PDT000082768.2	2015-09-01	67780	LEAL	LEAL00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"asr=HMM"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000200770.2|SAMN06637964|GCA_002076875.1|Edwardsiella ictaluri||RUSVM-1|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002076875.1	Complete Genome	3630639	3630639	1	Canu v. 1.3	Microbe	PRJNA380243	Mississippi State University	SAMN06637964	"RUSVM-1"	NULL	2012	NULL	4335628	NULL	Oreochromis niloticus	NULL	NULL	NULL	NULL	NULL	RUSVM-1	Edwardsiella ictaluri	NULL	NULL	67780	NULL	NULL	RUSVM-1	NULL	NULL	PDT000200770.2	2017-04-03	67780	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000308162.2|SAMN08906337|GCA_003054425.1|Edwardsiella ictaluri||MS-17-156|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003054425.1	Complete Genome	3837027	3977102	3	MaSuRCA v. 3.2.4	Microbe	PRJNA449538	Mississippi State University	SAMN08906337	"Edwardsiella-ictaluri-MS-17-156","MS-17-156"	NULL	2017-04-26	NULL	6378258	USA:Mississippi	catfish	NULL	NULL	NULL	NULL	NULL	Edwardsiella-ictaluri-MS-17-156	Edwardsiella ictaluri	NULL	NULL	67780	NULL	NULL	MS-17-156	NULL	NULL	PDT000308162.2	2018-04-17	67780	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"aph(3'')-Ib,aph(6)-Id,floR,floR=PARTIAL_END_OF_CONTIG,sul2,tet(D)"	"aph(3'')-Ib,aph(6)-Id,floR,floR=PARTIAL_END_OF_CONTIG,sul2,tet(D)"	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000313765.3|SAMN08930763|GCA_003058405.2|Edwardsiella ictaluri||S97-773|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003058405.2	Complete Genome	3831816	3842263	3	Canu v. 2.0	Microbe	PRJNA450130	Mississippi State University	SAMN08930763	"S97-773"	NULL	1997	NULL	37149308	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	S97-773	Edwardsiella ictaluri	NULL	NULL	67780	NULL	NULL	S97-773	NULL	NULL	PDT000313765.3	2022-11-03	67780	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"asr=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000361350.3|SAMN08930813|GCA_003074995.2|Edwardsiella ictaluri||S07-698|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003074995.2	Complete Genome	3833790	3844237	3	Canu v. 2.0	Microbe	PRJNA450136	Mississippi State University	SAMN08930813	"Edwardsiella ictaluri S07-698","S07-698"	NULL	2007	NULL	29446688	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	Edwardsiella ictaluri S07-698	Edwardsiella ictaluri	NULL	NULL	67780	NULL	NULL	S07-698	NULL	NULL	PDT000361350.3	2021-10-12	67780	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000361883.2|SAMEA4504062|GCA_900447225.1|Edwardsiella ictaluri|not available: to be reported later|NCTC12122|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_900447225.1	Contig	3808773	3867421	4	NULL	Generic	PRJEB6403	Wellcome Sanger Institute	SAMEA4504062	"ERS1403241","NCTC12122","NCTC:12122","a1717c80-8c8f-11e6-95da-3c4a9275d6c8"	NULL	1900/1987	NULL	6999588	NULL	Channel Catfish	NULL	not available: to be reported later	NULL	NULL	NULL	NULL	Edwardsiella ictaluri	not available: to be reported later	NULL	67780	NULL	NULL	NCTC12122	NULL	NULL	PDT000361883.2	2018-08-03	67780	UFXT	UFXT00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"asr=HMM"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000918479.2|SAMN12905447|GCA_016070795.1|Edwardsiella ictaluri||2234|Pathogen: environmental/food/other	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_016070795.1	Complete Genome	3705319	3825417	4	Unicycler v. 0.4.8	Pathogen: environmental/food/other	PRJNA575615	King Mongkut's University of Technology Thonburi	SAMN12905447	"2234","EIC2234","SRS6678052"	Department of Veterinary Microbiology, Faculty of Veterinary Science, Chulalongkorn Universit	2016-06	environmental/other	23914818	Viet Nam: Thaibinh	NULL	NULL	NULL	20.5387 N 106.3935 E	NULL	NULL	EIC2234	Edwardsiella ictaluri	NULL	NULL	67780	NULL	NULL	2234	NULL	NULL	PDT000918479.2	2020-12-15	67780	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"dfrA1,floR,qnrS,sul1,sul2,tet(A)"	"dfrA1,floR,qnrS,sul1,sul2,tet(A)"	2	"asr=HMM,qacEdelta1"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000918480.2|SAMN12905448|GCA_016070975.1|Edwardsiella ictaluri||T1-1|Pathogen: environmental/food/other	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_016070975.1	Complete Genome	3787397	3828016	3	Unicycler v. 0.4.8	Pathogen: environmental/food/other	PRJNA575615	King Mongkut's University of Technology Thonburi	SAMN12905448	"EIC2083","SRS6678053","T1-1"	Department of Microbiology, Faculty of Science, King Mongkut's University of Technology Thonburi	2014-06	environmental/other	23915078	Thailand: Ratchaburi	NULL	NULL	cell culture	13.5283 N 99.8134 E	NULL	NULL	EIC2083	Edwardsiella ictaluri	NULL	NULL	67780	NULL	NULL	T1-1	NULL	NULL	PDT000918480.2	2020-12-15	67780	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT001163627.1|SAMN17106052|GCA_029691365.1|Edwardsiella ictaluri||OTH-19-VL-NY-MS-0038|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13280318	GCA_029691365.1	Contig	90148	3872176	107	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN17106052	"OTH-19-VL-NY-MS-0038","SRS7904839"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2019-10-07	environmental/other	42060238	USA:MS	NULL	NULL	Brain and Kidney (Ictalurus punctatus)	NULL	NULL	NULL	OTH-19-VL-NY-MS-0038	Edwardsiella ictaluri	NULL	NULL	67780	NYVETLIRN	2020-12-21	OTH-19-VL-NY-MS-0038	NULL	NULL	PDT001163627.1	2021-10-27	67780	ABLMFC	ABLMFC000000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)"	"aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)"	4	"arsA=PARTIAL_END_OF_CONTIG,arsD,arsR,asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001163628.1|SAMN17106053|GCA_029691385.1|Edwardsiella ictaluri||OTH-19-VL-NY-MS-0039|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13280319	GCA_029691385.1	Contig	88373	3863064	113	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN17106053	"OTH-19-VL-NY-MS-0039","SRS7904838"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2019-10-10	environmental/other	42060258	USA:MS	NULL	NULL	Brain (Ictalurus punctatus)	NULL	NULL	NULL	OTH-19-VL-NY-MS-0039	Edwardsiella ictaluri	NULL	NULL	67780	NYVETLIRN	2020-12-21	OTH-19-VL-NY-MS-0039	NULL	NULL	PDT001163628.1	2021-10-27	67780	ABLMEY	ABLMEY000000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)"	"aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)"	4	"arsA=PARTIAL_END_OF_CONTIG,arsD,arsR,asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001163629.1|SAMN17106048|GCA_029691325.1|Edwardsiella ictaluri||OTH-19-VL-NY-MS-0034|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13280326	GCA_029691325.1	Contig	90148	3869179	109	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN17106048	"OTH-19-VL-NY-MS-0034","SRS7904831"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2019-09-12	environmental/other	42060198	USA:MS	NULL	NULL	Brain and Kidney (Ictalurus punctatus)	NULL	NULL	NULL	OTH-19-VL-NY-MS-0034	Edwardsiella ictaluri	NULL	NULL	67780	NYVETLIRN	2020-12-21	OTH-19-VL-NY-MS-0034	NULL	NULL	PDT001163629.1	2021-10-27	67780	ABLMFB	ABLMFB000000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)"	"aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)"	4	"arsA=PARTIAL_END_OF_CONTIG,arsD,arsR,asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
