Cronobacter | número de entradas: 30 | date: 2023-05-03 10:41:53.442773
GCF_029227785.1 SAMN29675450
GCF_029227755.1 SAMN29674978
GCF_025345545.1 SAMN20587836
GCF_025345525.1 SAMN20586791
GCF_025200595.1 SAMN30466962
GCF_023805435.1 SAMN28951057
GCF_022648965.1 SAMN26420280
GCF_002071765.2 SAMN06124518
GCA_001735615.2 SAMN04329637
GCF_018884145.1 SAMN14112904
GCF_018884125.1 SAMN14112903
GCF_018884105.1 SAMN14112906
GCF_018884085.1 SAMN14112905
GCF_013425995.1 SAMN15493123
GCF_003516125.1 SAMN07540307
GCA_003516105.2 SAMN07540306
GCA_009648895.1 SAMN10574727
GCF_008932145.1 SAMN05828177
GCF_001277215.2 SAMN03938716
GCF_000339015.1 SAMN02604116
GCF_001277275.1 SAMN03938714
GCF_001277255.1 SAMN03938712
GCF_001277235.1 SAMN03938717
GCF_001277195.1 SAMN03938713
GCF_001277175.1 SAMN03938715
GCF_000263215.1 SAMN02603850
GCF_000982825.1 SAMN03371468
GCF_000027065.2 SAMEA2272673
GCF_000504545.1 SAMN02641531
GCF_000017665.1 SAMN02603913
