Vibrio_parahaemolyticus | número de entradas: 88 | date: 2023-05-03 10:47:54.916870
GCF_028609705.1 SAMN13706828
GCF_028609685.1 SAMN13706805
GCF_028609665.1 SAMN13706869
GCF_028551295.1 SAMN32966975
GCF_028472865.1 SAMN20499206
GCF_028228685.1 SAMN30158696
GCF_026970915.1 SAMN32156677
GCF_026650865.1 SAMN17311133
GCF_025920045.1 SAMN16252940
GCF_025920025.1 SAMN16252928
GCF_025917745.1 SAMN28511831
GCF_025917705.1 SAMN28232995
GCF_023206515.1 SAMN15889568
GCF_023205955.1 SAMN15889509
GCF_023205935.1 SAMN15889510
GCF_023205915.1 SAMN15889555
GCF_023205895.1 SAMN15889559
GCF_021730085.1 SAMN17188296
GCF_021730065.1 SAMN17188298
GCF_021730045.1 SAMN17188294
GCF_021730025.1 SAMN17188309
GCF_021730005.1 SAMN17188302
GCF_021729985.1 SAMN17188276
GCF_021729965.1 SAMN17188316
GCF_020041945.1 SAMN21365011
GCF_019321785.1 SAMN18394829
GCF_018135645.1 SAMN18721142
GCF_015779285.1 SAMN16954303
GCA_015172915.1 SAMN16111715
GCF_014217295.1 SAMN15755100
GCF_013393885.1 SAMN11579497
GCF_013393865.1 SAMN11579496
GCF_013393845.1 SAMN11579495
GCF_009883895.1 SAMN10436807
GCF_009883875.1 SAMN10436808
GCF_009883855.1 SAMN10436796
GCF_009883835.1 SAMN10436686
GCF_009883815.1 SAMN10436897
GCF_009764075.1 SAMN12648277
GCF_009764055.1 SAMN12648278
GCF_009763645.1 SAMN12648282
GCF_009763625.1 SAMN12648281
GCF_009763605.1 SAMN12648283
GCF_009763565.1 SAMN12648285
GCF_009763545.1 SAMN12648286
GCF_009763525.1 SAMN12648287
GCF_009763505.1 SAMN12648288
GCF_009763445.1 SAMN12648300
GCF_009763425.1 SAMN12648301
GCF_009763405.1 SAMN12648302
GCF_009763165.1 SAMN12648306
GCF_009763025.1 SAMN12648289
GCF_009734325.1 SAMN13426200
GCF_009665495.1 SAMN10702672
GCF_009649015.1 SAMN02952920
GCF_008693745.1 SAMN11056377
GCF_008693625.1 SAMN11056382
GCF_001996365.2 SAMN06061934
GCF_006517795.1 SAMN12123413
GCF_004194515.1 SAMN10591529
GCF_004006515.1 SAMN09874427
GCF_003691525.1 SAMN09878947
GCF_003612715.1 SAMN07629009
GCF_003612695.1 SAMN07629020
GCF_003351885.1 SAMN07267286
GCF_003119375.1 SAMN08774111
GCF_003085735.1 SAMN06310878
GCF_003076895.1 SAMN08744595
GCF_002220985.3 SAMN06042545
GCF_003047085.1 SAMN08851398
GCF_002073775.2 SAMN04875528
GCF_001558495.2 SAMN03996250
GCF_001188185.2 SAMN03255431
GCF_002209725.2 SAMN05579852
GCF_001887055.1 SAMN04285689
GCF_001879585.1 SAMN04241617
GCF_001758605.1 SAMN03701448
GCF_001700835.1 SAMN03325855
GCF_001682175.1 SAMN03766034
GCF_001636035.1 SAMN03457164
GCF_001433415.1 SAMN03140317
GCF_000328405.1 SAMN02604302
GCF_001304775.1 SAMN03140318
GCF_001244315.1 SAMN03159469
GCF_000196095.1 SAMD00058707
GCF_000568495.1 SAMN03081521
GCF_000430425.1 SAMN02179884
GCF_000430405.1 SAMN02179882
