Yersinia_enterocolitica | número de entradas: 23 | date: 2023-05-03 10:48:06.881121
GCF_025340245.1 SAMN07276970
GCA_025340225.1 SAMN07276954
GCF_016727905.1 SAMN16357259
GCF_016727765.1 SAMN16357251
GCF_901472495.1 SAMEA2742606
GCF_004368055.1 SAMN09641678
GCF_900637005.1 SAMEA3936789
GCF_900635745.1 SAMEA2742608
GCF_001708655.1 SAMN05440502
GCF_001708635.1 SAMN05440467
GCF_001708615.1 SAMN05440511
GCF_001708595.1 SAMN05440514
GCF_001708575.1 SAMN05413581
GCF_001708555.1 SAMN05440573
GCF_001305635.1 SAMN03490473
GCF_001304755.1 SAMN03078687
GCF_000253175.1 SAMEA2271938
GCF_000987925.1 SAMN03434891
GCF_000968115.1 SAMEA4532339
GCF_000192105.1 SAMN02603637
GCF_000834735.1 SAMN03161068
GCF_000834195.1 SAMN03010445
GCF_000009345.1 SAMEA1705958
