#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000004750.2|SAMN02603464|GCA_000014125.1|Clostridium novyi NT||NT|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000014125.1	Complete Genome	2547720	2547720	1	NULL	Generic	PRJNA16820	Johns Hopkins Kimmel Comprehensive Cancer Center	SAMN02603464	"CP000382","NT"	NULL	NULL	NULL	14928	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000382	Clostridium novyi NT	NULL	NULL	1542	NULL	NULL	NT	NULL	NULL	PDT000004750.2	2010-05-12	386415	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000004881.2|SAMN02603532|GCA_000017025.1|Clostridium botulinum A str. ATCC 19397||ATCC 19397|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000017025.1	Complete Genome	3863450	3863450	1	NULL	Generic	PRJNA19517	Los Alamos National Laboratory	SAMN02603532	"ATCC 19397","ATCC:19397","CP000726"	NULL	NULL	NULL	17828	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000726	Clostridium botulinum A str. ATCC 19397	NULL	NULL	1491	NULL	NULL	ATCC 19397	NULL	NULL	PDT000004881.2	2010-05-12	441770	NULL	NULL	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"catA=HMM,cfr,lsa=HMM"	"catA=HMM,cfr,lsa=HMM"	1	"arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000004882.2|SAMN02603534|GCA_000017045.1|Clostridium botulinum A str. Hall||Hall|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000017045.1	Complete Genome	3760560	3760560	1	NULL	Generic	PRJNA19521	Los Alamos National Laboratory	SAMN02603534	"CP000727","Hall"	NULL	NULL	NULL	17848	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000727	Clostridium botulinum A str. Hall	NULL	NULL	1491	NULL	NULL	Hall	NULL	NULL	PDT000004882.2	2010-05-12	441771	NULL	NULL	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"catA=HMM,cfr,lsa=HMM"	"catA=HMM,cfr,lsa=HMM"	1	"arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000004883.2|SAMN02603533|GCA_000017065.1|Clostridium botulinum F str. Langeland||Langeland|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000017065.1	Complete Genome	3995387	4012918	2	NULL	Generic	PRJNA19519	Los Alamos National Laboratory	SAMN02603533	"CP000728","Langeland"	NULL	NULL	NULL	17868	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000728	Clostridium botulinum F str. Langeland	NULL	NULL	1491	NULL	NULL	Langeland	NULL	NULL	PDT000004883.2	2010-05-12	441772	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"abc-f=HMM,catA=HMM,cfr,fosX=HMM,lsa=HMM,vat=HMM"	"abc-f=HMM,catA=HMM,cfr,fosX=HMM,lsa=HMM,vat=HMM"	1	"arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000004976.2|SAMN02603535|GCA_000019305.1|Clostridium botulinum B1 str. Okra||Okra|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000019305.1	Complete Genome	3958233	4107013	2	NULL	Generic	PRJNA28505	Los Alamos National Laboratory	SAMN02603535	"CP000939","Okra"	NULL	NULL	NULL	20108	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000939	Clostridium botulinum B1 str. Okra	NULL	NULL	1491	NULL	NULL	Okra	NULL	NULL	PDT000004976.2	2010-05-12	498213	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"abc-f=HMM,catA=HMM,cfr,fosX=HMM,lsa=HMM,vat=HMM"	"abc-f=HMM,catA=HMM,cfr,fosX=HMM,lsa=HMM,vat=HMM"	0	NULL	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000004988.2|SAMN02603536|GCA_000019545.1|Clostridium botulinum A3 str. Loch Maree||Loch Maree|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000019545.1	Complete Genome	3992906	4259691	2	NULL	Generic	PRJNA28507	Los Alamos National Laboratory	SAMN02603536	"CP000962","Loch Maree"	NULL	NULL	NULL	20348	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000962	Clostridium botulinum A3 str. Loch Maree	NULL	NULL	1491	NULL	NULL	Loch Maree	NULL	NULL	PDT000004988.2	2010-05-12	498214	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"abc-f=HMM,catA=HMM,cfr,fosX=HMM,lsa=HMM,vat=HMM"	"abc-f=HMM,catA=HMM,cfr,fosX=HMM,lsa=HMM,vat=HMM"	0	NULL	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000005017.2|SAMN02603538|GCA_000020165.1|Clostridium botulinum B str. Eklund 17B (NRP)||Eklund 17B|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000020165.1	Complete Genome	3800327	3847969	2	NULL	Generic	PRJNA28857	Los Alamos National Laboratory	SAMN02603538	"CP001056","Eklund 17B"	NULL	NULL	NULL	20968	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP001056	Clostridium botulinum B str. Eklund 17B (NRP)	NULL	NULL	1491	NULL	NULL	Eklund 17B	NULL	NULL	PDT000005017.2	2010-05-12	935198	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"abc-f=HMM"	"abc-f=HMM"	0	NULL	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000005023.2|SAMN02603537|GCA_000020285.1|Clostridium botulinum E3 str. Alaska E43||Alaska E43|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000020285.1	Complete Genome	3659644	3659644	1	NULL	Generic	PRJNA28855	Los Alamos National Laboratory	SAMN02603537	"Alaska E43","CP001078"	NULL	NULL	NULL	21088	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP001078	Clostridium botulinum E3 str. Alaska E43	NULL	NULL	1491	NULL	NULL	Alaska E43	NULL	NULL	PDT000005023.2	2010-05-12	508767	NULL	NULL	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"abc-f=HMM,catA=HMM"	"abc-f=HMM,catA=HMM"	1	"arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000005026.2|SAMN02603539|GCA_000020345.1|Clostridium botulinum Ba4 str. 657||657|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000020345.1	Complete Genome	3977794	4257769	3	NULL	Generic	PRJNA29077	Los Alamos National Laboratory	SAMN02603539	"657","CP001083"	NULL	NULL	NULL	21148	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP001083	Clostridium botulinum Ba4 str. 657	NULL	NULL	1491	NULL	NULL	657	NULL	NULL	PDT000005026.2	2010-05-12	515621	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"abc-f=HMM,catA=HMM,cfr,fosX=HMM,lsa=HMM,vat=HMM"	"abc-f=HMM,catA=HMM,cfr,fosX=HMM,lsa=HMM,vat=HMM"	0	NULL	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000005124.2|SAMN02603540|GCA_000022765.1|Clostridium botulinum A2 str. Kyoto||Kyoto|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000022765.1	Complete Genome	4155278	4155278	1	NULL	Generic	PRJNA29859	Los Alamos National Laboratory	SAMN02603540	"CP001581","Kyoto"	NULL	1978	NULL	23568	Japan: Kyoto	NULL	NULL	infant botulism case	NULL	NULL	NULL	CP001581	Clostridium botulinum A2 str. Kyoto	NULL	NULL	1491	NULL	NULL	Kyoto	NULL	NULL	PDT000005124.2	2010-05-12	536232	NULL	NULL	NULL	NULL	NULL	0	0	0	0	7	7	NULL	"abc-f=HMM,blaCBP-1,blaR1,catA=HMM,cfr,fosX=HMM,lsa=HMM"	"abc-f=HMM,blaCBP-1,blaR1,catA=HMM,cfr,fosX=HMM,lsa=HMM"	1	"arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
