Clostridioides_difficile | número de entradas: 120 | date: 2023-05-03 10:41:33.051249
GCF_028743315.1 SAMN33244141
GCF_027625435.1 SAMN32411337
GCF_017592625.2 SAMN18395883
GCF_025758245.1 SAMN31149530
GCF_025758225.1 SAMN31149531
GCF_025758205.1 SAMN31149538
GCF_025758185.1 SAMN31149534
GCF_025758165.1 SAMN31149532
GCF_025758145.1 SAMN31149533
GCF_025136135.1 SAMN07156305
GCF_025135955.1 SAMN07156301
GCF_024972555.1 SAMN20598402
GCF_024972415.1 SAMN20598403
GCF_024972275.1 SAMN20598404
GCF_024972115.1 SAMN20598405
GCF_024399435.1 SAMN09096995
GCF_022845595.1 SAMD00389847
GCF_022695655.1 SAMN24220739
GCF_021378415.1 SAMN15651946
GCF_020097215.1 SAMN21402695
GCF_019931025.1 SAMN20888886
GCF_019095765.1 SAMEA7490727
GCF_018885105.1 SAMN19491761
GCF_018885085.1 SAMN19491759
GCF_018885065.1 SAMN19491760
GCF_018885045.1 SAMN11021899
GCF_018884965.1 SAMN11021904
GCF_018884945.1 SAMN11021903
GCF_018884925.1 SAMN11021905
GCF_018884905.1 SAMN11021906
GCF_018884885.1 SAMN11021907
GCF_018884865.1 SAMN11021908
GCF_018884845.1 SAMN11021909
GCF_018884825.1 SAMN11021910
GCF_018884765.1 SAMN11021912
GCF_018884745.1 SAMN11021914
GCF_018884725.1 SAMN11021915
GCF_018884705.1 SAMN11021916
GCF_018884665.1 SAMN11021921
GCF_018884605.1 SAMN11021927
GCF_018603475.1 SAMN19317498
GCF_018603455.1 SAMN19317495
GCF_018603395.1 SAMN19317496
GCF_018255775.1 SAMN18882462
GCF_016767135.1 SAMN16927933
GCF_016767115.1 SAMN16927934
GCF_016767095.1 SAMN16927930
GCA_016767075.1 SAMN16927932
GCF_016767055.1 SAMN16927929
GCF_016767035.1 SAMN16927926
GCF_016767015.1 SAMN16927925
GCF_016766995.1 SAMN16927928
GCF_016766975.1 SAMN16927927
GCF_016766955.1 SAMN16927931
GCF_015732555.1 SAMN09205946
GCF_015732535.1 SAMN06298620
GCF_015238635.1 SAMN13293454
GCF_014236775.1 SAMN08744682
GCF_009867095.1 SAMN09039199
GCF_009730495.1 SAMN11056438
GCF_009362915.1 SAMN12500617
GCF_008245165.1 SAMN12370807
GCF_902386365.1 SAMEA5851873
GCF_003697245.1 SAMN10274251
GCF_003697225.1 SAMN10274224
GCF_003697205.1 SAMN10274208
GCF_003490105.1 SAMN03487131
GCF_003482365.1 SAMN05200827
GCF_003482345.1 SAMN05200826
GCF_003482325.1 SAMN05188782
GCF_003482305.1 SAMN05188758
GCF_003482255.1 SAMN05188752
GCF_003482225.1 SAMN03487134
GCF_003482165.1 SAMN03487137
GCF_003482125.1 SAMN03487133
GCF_003482065.1 SAMN03487129
GCF_003482035.1 SAMN03487125
GCF_003481965.1 SAMN05188775
GCF_003481905.1 SAMN05200625
GCF_003457035.1 SAMN06368405
GCF_003457015.1 SAMN06619923
GCF_003456975.1 SAMN06619921
GCF_002946555.2 SAMN08472503
GCF_002946535.2 SAMN08472585
GCF_002946515.2 SAMN08472502
GCF_003313585.1 SAMN03495890
GCF_003313565.1 SAMN03495889
GCF_003313545.1 SAMN03495888
GCF_003095695.1 SAMN08974752
GCF_003095675.1 SAMN08975018
GCF_001077535.1 SAMN03486969
GCF_002073735.2 SAMN04875593
GCF_002946195.1 SAMN08443921
GCF_002946135.1 SAMN08443881
GCF_002946035.1 SAMN08443877
GCF_002945945.1 SAMN08443812
GCF_002945855.1 SAMN08443813
GCF_002945755.1 SAMN08443811
GCF_002945665.1 SAMN08443809
GCF_002945515.1 SAMN08442093
GCF_002945415.1 SAMN08442145
GCF_000009205.2 SAMEA1705932
GCF_002812645.1 SAMN08104988
GCF_002812625.1 SAMN08104989
GCF_002812605.1 SAMN08104990
GCF_002812585.1 SAMN08104991
GCF_002234355.1 SAMN07339707
GCF_002080065.1 SAMN05285388
GCF_002007885.1 SAMN06286529
GCF_001984465.1 SAMN06215603
GCF_000932055.2 SAMN03344097
GCF_001577795.1 SAMN03332454
GCF_001447175.1 SAMN04271104
GCF_000210455.1 SAMEA3138369
GCF_000211235.1 SAMEA3138395
GCF_000210435.1 SAMEA3138368
GCF_000210415.1 SAMEA3138367
GCA_001010825.1 SAMN03466598
GCF_000953275.1 SAMEA2780266
GCF_000085225.1 SAMEA3138290
