Staphylococcus_aureus | número de entradas: 1342 | date: 2023-05-03 10:46:43.911194
GCF_029635105.1 SAMN27064688
GCF_029634905.1 SAMN27064689
GCF_029634785.1 SAMN27064690
GCF_029634765.1 SAMN27064691
GCF_029634735.1 SAMN27064692
GCF_029634715.1 SAMN27064693
GCA_029633425.1 SAMN32610452
GCA_029633245.1 SAMN32613955
GCA_029633005.1 SAMN32612946
GCA_029632985.1 SAMN32610136
GCF_029625375.1 SAMN33961605
GCF_029278505.1 SAMN33695180
GCF_029204165.1 SAMN33573405
GCF_029204145.1 SAMN33573404
GCF_029204125.1 SAMN33573403
GCF_029204095.1 SAMN33573402
GCF_029167705.1 SAMN24529930
GCF_029167685.1 SAMN24529927
GCF_029094305.1 SAMN33425965
GCF_029094145.1 SAMN33425966
GCF_029011215.1 SAMN33275458
GCF_028743615.1 SAMN33246705
GCF_028596245.1 SAMN32977650
GCF_028596165.1 SAMN32977647
GCF_028596145.1 SAMN32977648
GCF_028596045.1 SAMN32885235
GCF_020906975.2 SAMN17729804
GCA_027943925.1 SAMD00260312
GCA_027943905.1 SAMD00260231
GCF_027942275.1 SAMN27752664
GCF_027942255.1 SAMN27752663
GCF_027920385.1 SAMN32538168
GCA_026636235.1 SAMN31868372
GCF_026636215.1 SAMN31815319
GCF_026625925.1 SAMN31815270
GCF_026625545.1 SAMN31523648
GCF_026625525.1 SAMN31523646
GCF_026625505.1 SAMN31523644
GCF_026625485.1 SAMN31523643
GCF_026625465.1 SAMN31523642
GCF_026625445.1 SAMN31523641
GCA_026625425.1 SAMN31523640
GCF_026625405.1 SAMN31523639
GCF_026625385.1 SAMN31523638
GCF_026625365.1 SAMN31523637
GCF_026625345.1 SAMN31523636
GCF_026625325.1 SAMN31523635
GCF_026625305.1 SAMN31523634
GCF_026625285.1 SAMN31523633
GCF_026625265.1 SAMN31523632
GCF_026625245.1 SAMN31523631
GCF_026625225.1 SAMN31523630
GCF_026625205.1 SAMN31523629
GCF_026547185.1 SAMN27760537
GCF_026547145.1 SAMN27760538
GCF_026547095.1 SAMN27760539
GCF_026547075.1 SAMN27760540
GCF_026547055.1 SAMN27760541
GCF_026547035.1 SAMN27760542
GCF_026547005.1 SAMN27760543
GCF_026546985.1 SAMN27760544
GCF_026167765.1 SAMN30679549
GCF_026167725.1 SAMN30679625
GCF_947034825.1 SAMEA110339937
GCF_025643635.1 SAMN10147904
GCF_025561645.1 SAMN26923317
GCF_025561625.1 SAMN26923319
GCF_025561605.1 SAMN26923320
GCF_025561585.1 SAMN26923331
GCF_025560825.1 SAMN26923318
GCF_025560805.1 SAMN26923321
GCF_025560785.1 SAMN26923322
GCF_025559805.1 SAMN26923323
GCF_025559785.1 SAMN26923324
GCF_025559765.1 SAMN26923325
GCF_025559745.1 SAMN26923326
GCF_025559725.1 SAMN26923327
GCF_025559705.1 SAMN26923328
GCF_025559685.1 SAMN26923329
GCF_025559665.1 SAMN26923330
GCF_025559645.1 SAMN26923332
GCF_025559625.1 SAMN26923333
GCF_025559605.1 SAMN26923334
GCF_025559585.1 SAMN26923335
GCF_025559565.1 SAMN26923336
GCF_025559525.1 SAMN26923337
GCF_025559465.1 SAMN26923338
GCF_025559405.1 SAMN26923339
GCF_025559325.1 SAMN26923340
GCF_025559265.1 SAMN26923341
GCF_025559225.1 SAMN26923342
GCF_025559165.1 SAMN26923343
GCF_025559125.1 SAMN26923344
GCF_025559085.1 SAMN26923345
GCF_025559045.1 SAMN26923346
GCF_025559005.1 SAMN26923347
GCF_025558965.1 SAMN26923348
GCF_025558945.1 SAMN26923349
GCF_025398055.1 SAMN30822352
GCF_025259685.1 SAMN16710840
GCF_025232045.1 SAMN30550580
GCF_025152705.1 SAMN30633109
GCA_024972975.1 SAMN12252202
GCF_024925485.1 SAMN30496472
GCF_024741775.1 SAMN30370422
GCA_024741755.1 SAMN30370423
GCF_024741735.1 SAMN30370424
GCF_024741715.1 SAMN30370425
GCF_024741695.1 SAMN30370426
GCF_024741675.1 SAMN30370427
GCF_024741635.1 SAMN30370429
GCF_024741655.1 SAMN30370428
GCF_024741615.1 SAMN30370430
GCF_024741595.1 SAMN30370431
GCF_024741575.1 SAMN30370432
GCF_024741555.1 SAMN30370433
GCF_024741535.1 SAMN30370434
GCF_024741515.1 SAMN30370435
GCF_024741495.1 SAMN30370436
GCF_024741475.1 SAMN30370437
GCF_024741455.1 SAMN30370438
GCF_024741435.1 SAMN30370439
GCF_024741415.1 SAMN30370440
GCF_024741395.1 SAMN30370441
GCF_024741375.1 SAMN30370442
GCF_024741355.1 SAMN30370443
GCF_024734775.1 SAMN30333622
GCF_000144955.2 SAMN02604217
GCF_024612055.1 SAMN24919645
GCF_024399375.1 SAMN19239059
GCF_024399355.1 SAMN19239046
GCF_024363505.1 SAMD00291296
GCF_024363485.1 SAMD00291293
GCF_024363465.1 SAMD00291291
GCF_024363445.1 SAMD00291289
GCF_024363385.1 SAMD00291287
GCF_024363365.1 SAMD00291285
GCF_024363345.1 SAMD00291283
GCF_024363325.1 SAMD00291281
GCF_024363305.1 SAMD00291279
GCF_024296845.1 SAMN29474304
GCF_024296825.1 SAMN29474309
GCF_024220055.1 SAMN29489275
GCF_024205325.1 SAMN25263540
GCF_024172245.1 SAMN29251701
GCF_020702575.2 SAMN15964597
GCF_020702135.2 SAMN15963988
GCF_020702515.2 SAMN15964555
GCF_020702535.2 SAMN15964476
GCF_020702545.2 SAMN15964195
GCF_020702585.2 SAMN15963967
GCF_020702615.2 SAMN15964463
GCF_020177155.3 SAMN21591357
GCF_023658665.1 SAMN27101937
GCF_023657575.1 SAMN28592285
GCF_023657555.1 SAMN28592286
GCF_023657535.1 SAMN28592284
GCF_023571465.1 SAMN28467499
GCF_014696975.1 SAMN14598229
GCF_014696835.1 SAMN14598174
GCF_014696685.1 SAMN14598160
GCF_014696535.1 SAMN14550524
GCF_014696415.1 SAMN14559931
GCF_014696255.1 SAMN14550073
GCF_023373745.1 SAMN25263541
GCF_023278065.1 SAMN15314852
GCF_023223475.1 SAMN26026468
GCF_023170045.1 SAMD00225532
GCF_023170025.1 SAMD00436748
GCF_022870625.1 SAMN16710839
GCF_022870465.1 SAMN20104198
GCF_022870005.1 SAMN14078796
GCF_022869625.1 SAMN14078797
GCF_022832835.1 SAMN27065448
GCF_022832775.1 SAMN27067580
GCF_022832755.1 SAMN27065489
GCF_022809795.1 SAMN26665714
GCF_022699285.1 SAMN26754980
GCF_022699265.1 SAMN26754981
GCF_022699245.1 SAMN26754767
GCF_022693325.1 SAMN26026634
GCF_022693305.1 SAMN26026635
GCF_022693285.1 SAMN26026636
GCF_022693265.1 SAMN26026637
GCF_022693245.1 SAMN26026638
GCF_022693225.1 SAMN26026639
GCF_022693205.1 SAMN26026640
GCF_022693185.1 SAMN26026641
GCF_022693165.1 SAMN26026642
GCF_022691425.1 SAMN26026628
GCF_022691405.1 SAMN26026629
GCF_022691385.1 SAMN26026630
GCF_022691365.1 SAMN26026631
GCF_022691345.1 SAMN26026632
GCF_022691325.1 SAMN26026633
GCF_022682325.1 SAMN26688415
GCF_022532145.1 SAMN26288008
GCF_022494565.1 SAMN23416894
GCF_022494545.1 SAMN23416073
GCF_022493095.1 SAMN15567960
GCF_022406795.1 SAMN15567949
GCF_022406675.1 SAMN15742187
GCF_022406555.1 SAMN15567907
GCF_022406435.1 SAMN15567910
GCF_022406315.1 SAMN15567911
GCF_022406125.1 SAMN15567932
GCF_022406075.1 SAMN15567935
GCF_022406055.1 SAMN15567936
GCF_022406035.1 SAMN15567937
GCF_022406015.1 SAMN15567940
GCF_022405995.1 SAMN15567941
GCF_022405975.1 SAMN15567942
GCF_022405955.1 SAMN15567945
GCF_022405935.1 SAMN15567946
GCF_022405915.1 SAMN15567951
GCF_022405895.1 SAMN15567952
GCF_022405875.1 SAMN15567968
GCF_022405855.1 SAMN15567970
GCF_022405835.1 SAMN15567971
GCF_022405815.1 SAMN15567974
GCF_022405795.1 SAMN15567982
GCF_022405775.1 SAMN15567983
GCF_022405755.1 SAMN15567987
GCF_022405735.1 SAMN15567989
GCF_022405675.1 SAMN15567994
GCF_022405655.1 SAMN15567998
GCF_022405615.1 SAMN15567908
GCF_022405595.1 SAMN15567909
GCF_022405575.1 SAMN15567913
GCF_022405555.1 SAMN15567914
GCF_022405535.1 SAMN15567915
GCF_022405515.1 SAMN15567916
GCF_022405495.1 SAMN15567918
GCF_022405475.1 SAMN15567919
GCF_022405455.1 SAMN15567920
GCF_022405435.1 SAMN15567923
GCF_022405415.1 SAMN15567927
GCF_022405395.1 SAMN15567928
GCF_022405375.1 SAMN15567929
GCF_022405355.1 SAMN15567930
GCF_022405335.1 SAMN15567931
GCF_022405315.1 SAMN15567938
GCF_022405295.1 SAMN15567939
GCF_022405275.1 SAMN15567943
GCF_022405255.1 SAMN15567944
GCF_022405235.1 SAMN15567947
GCF_022405205.1 SAMN15567950
GCF_022405185.1 SAMN15567953
GCF_022405145.1 SAMN15567955
GCF_022405075.1 SAMN15567956
GCF_022405055.1 SAMN15567957
GCF_022404775.1 SAMN15567958
GCF_022404755.1 SAMN15567959
GCF_022404735.1 SAMN15567962
GCF_022404715.1 SAMN15567965
GCF_022404695.1 SAMN15567966
GCF_022404675.1 SAMN15567977
GCF_022404655.1 SAMN15567978
GCF_022404635.1 SAMN15567981
GCF_022404615.1 SAMN15567984
GCF_022404595.1 SAMN15567985
GCF_022404575.1 SAMN15567988
GCF_022385275.1 SAMN24425091
GCF_022369695.1 SAMN15567992
GCF_022369595.1 SAMN15567993
GCF_022369535.1 SAMN15567999
GCF_022226995.1 SAMN25144899
GCF_022226975.1 SAMN25144898
GCF_022221565.1 SAMN20369227
GCF_022221545.1 SAMN20356340
GCF_022221525.1 SAMN20356339
GCF_022163485.1 SAMN25556619
GCF_022163365.1 SAMN25556620
GCF_021869805.1 SAMN22513885
