#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000011413.3|SAMN02603613|GCA_000348565.1|Edwardsiella piscicida C07-087||C07-087|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000348565.1	Complete Genome	3857040	3857040	1	CLC Genomic workbench from CLC Bio, v. 5.0.1	Generic	PRJNA187997	Mississippi State University	SAMN02603613	"C07-087","CP004141"	NULL	NULL	NULL	560708	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP004141	Edwardsiella piscicida C07-087	NULL	NULL	1263550	NULL	NULL	C07-087	NULL	NULL	PDT000011413.3	2013-03-22	1288122	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000034138.2|SAMD00000403|GCA_000711155.1|Edwardsiella piscicida||JF1305|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000711155.1	Contig	105139	3716823	72	GS De Novo Assembler v. 2.9	MIGS Cultured Bacterial/Archaeal	PRJDB1727	Kochi University	SAMD00000403	"Edwardsiella piscicida JF1305 genomic DNA","JF1305"	NULL	2013-05-24	NULL	1145388	Japan:Kagoshima	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	JF1305	NULL	"Draft genome sequence of Edwardsiella piscicida"	PDT000034138.2	2014-06-24	1263550	BAYT	BAYT00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"aadA2,ampC,dfrA42,sul1,tet(B)"	"aadA2,ampC,dfrA42,sul1,tet(B)"	2	"asr=HMM,qacEdelta1"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000034139.2|SAMD00000404|GCA_000711175.1|Edwardsiella piscicida||RSB1309|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000711175.1	Contig	239573	3838654	38	GS De Novo Assembler v. 2.9	MIGS Cultured Bacterial/Archaeal	PRJDB1727	Kochi University	SAMD00000404	"Edwardsiella piscicida-like RSB1309 genomic DNA","RSB1309"	NULL	2013-09-28	NULL	1145408	Japan:Kochi	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	RSB1309	NULL	"Draft genome sequence of Edwardsiella piscicida"	PDT000034139.2	2014-06-24	1263550	BAYU	BAYU00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000164361.2|SAMN05240433|GCA_001729265.2|Edwardsiella piscicida||S11-285|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001729265.2	Complete Genome	3918025	3921189	2	Canu v. 1.0; Pilon v. 1.16	Microbe	PRJNA325543	Mississippi State University	SAMN05240433	"S11-285"	NULL	2011	NULL	29399278	USA: Mississippi	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	S11-285	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	S11-285	NULL	NULL	PDT000164361.2	2021-10-08	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000172674.2|SAMN06028227|GCA_001896205.1|Edwardsiella piscicida||ACC35.1|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001896205.1	Scaffold	236857	3841631	43	Newbler v. MAR-2013	Microbe	PRJNA353909	Universidade de Santiago de Compostela	SAMN06028227	"ACC35.1"	NULL	2009-03	NULL	3781048	Portugal: north region	Scophthalmus maximus	NULL	NULL	NULL	NULL	NULL	ACC35.1	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	ACC35.1	NULL	NULL	PDT000172674.2	2016-12-09	1263550	MPNU	MPNU00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000200718.2|SAMN06246977|GCA_002075835.1|Edwardsiella piscicida||ETW41|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002075835.1	Chromosome	3779354	3969042	2	HGAP v. 3	Microbe	PRJNA362758	Pukyong National University	SAMN06246977	"ETW41"	NULL	2010-05-28	NULL	4327588	Korea: Naju	NULL	NULL	eel pond water	NULL	NULL	NULL	ETW41	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	ETW41	NULL	NULL	PDT000200718.2	2017-03-31	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	10	10	NULL	"aadA2,ampC,aph(3')-Ia,catA2,dfrA12,floR,mph(A),sul1,sul2,tet(D)"	"aadA2,ampC,aph(3')-Ia,catA2,dfrA12,floR,mph(A),sul1,sul2,tet(D)"	10	"asr=HMM,merA,merB,merD,merE,merP,merR,merT,qacE=PARTIAL,qacEdelta1"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000320676.3|SAMN08938004|GCA_003112395.2|Edwardsiella piscicida||LADL97-168|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003112395.2	Complete Genome	3744368	3750760	3	Canu v. 2.0	Microbe	PRJNA450406	Mississippi State University	SAMN08938004	"LADL97-168"	NULL	1997	NULL	29446628	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	LADL97-168	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	LADL97-168	NULL	NULL	PDT000320676.3	2021-10-12	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000320677.3|SAMN08938382|GCA_003112995.2|Edwardsiella piscicida||LADL99-462|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003112995.2	Contig	390120	3770491	13	CLC NGS Cell v. 6.5.1	Microbe	PRJNA450419	Mississippi State University	SAMN08938382	"LADL99-462"	NULL	1999	NULL	33283428	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	LADL99-462	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	LADL99-462	NULL	NULL	PDT000320677.3	2022-05-16	1263550	QCZQ	QCZQ00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000320678.3|SAMN08939785|GCA_003113095.2|Edwardsiella piscicida||S07-348|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003113095.2	Complete Genome	3873895	3887760	2	Canu v. 2.0	Microbe	PRJNA450471	Mississippi State University	SAMN08939785	"S07-348"	NULL	2007	NULL	37149268	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	S07-348	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	S07-348	NULL	NULL	PDT000320678.3	2022-11-03	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC,tet(A)"	"ampC,tet(A)"	1	"asr=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000323172.2|SAMD00115415|GCA_003175175.1|Edwardsiella piscicida||JF1307|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003175175.1	Scaffold	143688	3882000	107	Genomics Workbench v. 10.1.1	MIGS Cultured Bacterial/Archaeal	PRJDB6880	Kochi University	SAMD00115415	"Edwardsiella piscicida JF1307 genomic DNA","JF1307"	NULL	2013-07-18	NULL	6570518	Japan:Kagoshima	Paralichthys olivaceus	NULL	NULL	NULL	NULL	NULL	NULL	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	JF1307	NULL	"Draft genome sequence of Edwardsiella piscicida"	PDT000323172.2	2018-05-29	1263550	BGMJ	BGMJ00000000.1	NULL	NULL	NULL	0	0	0	0	8	8	NULL	"aadA2,ampC,dfrA42,floR,sul1,sul2,tet(B),tet(D)"	"aadA2,ampC,dfrA42,floR,sul1,sul2,tet(B),tet(D)"	2	"asr=HMM,qacEdelta1"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
