Pseudomonas_putida | número de entradas: 68 | date: 2023-05-03 10:46:04.522595
GCF_029590515.1 SAMN33792085
GCF_027886665.1 SAMN32340832
GCF_027886645.1 SAMN32340833
GCF_027886605.1 SAMN32340834
GCF_027595085.1 SAMN28016848
GCF_026898135.1 SAMN32091923
GCF_026625125.1 SAMN31812102
GCF_026428315.1 SAMN16439404
GCF_026183455.1 SAMN31664999
GCF_025985505.1 SAMN11022114
GCF_025905485.1 SAMN31269035
GCF_025905425.1 SAMN31266696
GCF_024749025.1 SAMN23038787
GCF_024662355.1 SAMN28173426
GCF_024662335.1 SAMN28173427
GCF_024662315.1 SAMN28173428
GCF_024508115.1 SAMN29939550
GCF_024266625.1 SAMN29515091
GCF_024125675.1 SAMN29335958
GCA_023221695.1 SAMN27762809
GCF_022354785.1 SAMN17598826
GCA_903815255.1 SAMEA6863326
GCA_903815245.1 SAMEA6863321
GCF_019355435.1 SAMN14832300
GCF_018141045.1 SAMN13679424
GCA_016845885.1 SAMN17734275
GCF_016406145.1 SAMN17103323
GCF_014854555.1 SAMN16261967
GCF_014764425.1 SAMN16178570
GCF_014217705.1 SAMN13531195
GCF_014169055.1 SAMD00194460
GCF_014162535.1 SAMD00194605
GCF_014076515.1 SAMN12671335
GCF_000264665.3 SAMN02603188
GCF_013425825.1 SAMN15517094
GCF_013305625.1 SAMN13107355
GCF_001630725.2 SAMN04574078
GCF_009883635.2 SAMN08376583
GCF_009938035.1 SAMD00200259
GCF_008605605.1 SAMN12721147
GCF_007833495.1 SAMN07411800
GCF_005080685.1 SAMN11380143
GCF_900636645.1 SAMEA3711446
GCF_003671955.1 SAMN07411804
GCF_003290365.1 SAMN08335960
GCF_003228315.1 SAMN09229081
GCF_002741075.1 SAMN04591545
GCF_002736125.1 SAMN07795037
GCF_002736045.1 SAMN07795048
GCF_002356095.1 SAMD00023463
GCF_002025705.1 SAMN06130965
GCF_001886975.1 SAMN05715224
GCF_001767335.1 SAMN05290347
GCF_000271965.2 SAMN02470955
GCF_000226035.2 SAMN02470956
GCF_001636055.1 SAMN03765648
GCF_000412675.1 SAMD00061028
GCF_000410575.1 SAMN02604103
GCF_000007565.2 SAMN02603999
GCF_001515585.1 SAMN04380944
GCF_000325725.1 SAMN02604102
GCF_000281215.1 SAMN02603217
GCF_000183645.1 SAMN02603225
GCF_000498395.2 SAMN02639951
GCF_000219705.1 SAMN02603862
GCF_000495455.2 SAMN02470872
GCF_000691565.1 SAMN02730082
GCF_000019125.1 SAMN00623059
