#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000061761.2|SAMN03283666|GCA_000958085.1|Enterobacter sichuanensis||35699|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000958085.1	Contig	80686	5201228	154	SPAdes v. 3.1.1	Pathogen: clinical or host-associated	PRJNA259658	JCVI	SAMN03283666	"35699","GCID_ENTE_00091","SRS856608"	Barry Kreiswirth	2012	clinical	1696058	USA: FL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Enterobacter sichuanensis	NULL	NULL	2071710	NULL	NULL	35699	NULL	NULL	PDT000061761.2	2015-03-19	2071710	JZYX	JZYX00000000.1	NULL	NULL	NULL	0	0	0	0	13	13	NULL	"aac(6')-Ib4,blaACT-50,blaKPC-2,blaOXA-10,blaTEM=PARTIAL,catA=HMM,catB3,floR,fosA,oqxA=MISTRANSLATION,oqxB,sul1,sul2"	"aac(6')-Ib4,blaACT-50,blaKPC-2,blaOXA-10,blaTEM=PARTIAL,catA=HMM,catB3,floR,fosA,oqxA=MISTRANSLATION,oqxB,sul1,sul2"	27	"arsC=HMM,asr=HMM,fieF,merA=HMM,merC,merD=HMM,merE=HMM,merP,merP=HMM,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,qacEdelta1,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000291608.2|SAMN08357870|GCA_002939185.1|Enterobacter sichuanensis||WCHECL1597|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002939185.1	Contig	71252	4897201	204	Unicycler v. 0.4.3	Microbe	PRJNA415108	West China Hospital, Sichuan University	SAMN08357870	"SRS3188832","The Microbe sample of Enterobacter sp. strain WCHECl1597","WCHECL1597"	NULL	NULL	clinical	6049728	China: Sichuan, Chengdu	Homo sapiens	NULL	NULL	NULL	NULL	NULL	The Microbe sample of Enterobacter sp. strain WCHECl1597	Enterobacter sichuanensis	NULL	NULL	2071710	NULL	NULL	WCHECL1597	NULL	NULL	PDT000291608.2	2018-02-23	2071710	POVL	POVL00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaACT,fosA,oqxB"	"blaACT,fosA,oqxB"	16	"arsC,asr=HMM,clpK,fieF,hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,silA,silE,silR,silS,trxLHR,yfdX1,yfdX2"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000570914.2|SAMEA5852003|GCA_902387735.1|Enterobacter sichuanensis|||Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_902387735.1	Scaffold	212690	4686183	47	NULL	Generic	PRJEB33885	EMG	SAMEA5852003	"ERS3640528","MGYG-HGUT-02498"	NULL	NULL	clinical	13239288	Singapore	NULL	NULL	human gut	NULL	NULL	NULL	NULL	Enterobacter sichuanensis	NULL	NULL	2071710	NULL	NULL	NULL	NULL	"Human gut genomes"	PDT000570914.2	2019-08-17	2071710	CABMND	CABMND000000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,blaIMI-1,catA=HMM,fosA,oqxB"	"blaACT,blaIMI-1,catA=HMM,fosA,oqxB"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.36	2022-05-26.1	COMBINED	1
PDT000610923.2|SAMN08222714|GCA_009036245.1|Enterobacter sichuanensis||SGAir0282|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_009036245.1	Complete Genome	4711389	4711389	1	HGAP v. 3	Microbe	PRJNA388547	Nanyang Technological University	SAMN08222714	"Enterobacter sichuanensis SGAir0282","SGAir0282"	NULL	2015-05-14	NULL	14480948	Singapore	NULL	NULL	air	NULL	NULL	NULL	Enterobacter sichuanensis SGAir0282	Enterobacter sichuanensis	NULL	NULL	2071710	NULL	NULL	SGAir0282	NULL	NULL	PDT000610923.2	2019-10-16	2071710	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000850854.2|SAMN16081429|GCA_014779575.1|Enterobacter sichuanensis||AJI2411|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_014779575.1	Contig	163064	5032127	60	SKESA v. 2.3.0	Microbe	PRJNA662336	Adeleke University	SAMN16081429	"AJI2411","Sample 1_assembly (1)"	NULL	2019-05-24	NULL	22351268	Nigeria: Ede	NULL	NULL	rhizosphere of soybeans	NULL	NULL	NULL	Sample 1_assembly (1)	Enterobacter sichuanensis	NULL	NULL	2071710	NULL	NULL	AJI2411	NULL	NULL	PDT000850854.2	2020-09-28	2071710	JACWFD	JACWFD000000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,catA=HMM,fosA,oqxB,qnrD1"	"blaACT,catA=HMM,fosA,oqxB,qnrD1"	26	"arsC=HMM,asr=HMM,fieF,hdeD-GI,hsp20,kefB-GI,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,psi-GI,shsP,silA,silB,silC,silE,silF,silP,silR,silS,trxLHR,yfdX1,yfdX2"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000990588.2|SAMN17860434|GCA_017582565.1|Enterobacter sichuanensis||15994|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_017582565.1	Contig	78128	4859639	193	A5-miseq v. 2016-08-01T00:00:00	Microbe	PRJNA701275	Cepheid	SAMN17860434	"15994"	NULL	2018	clinical	25791418	Nigeria	Homo sapiens	NULL	urine	NULL	NULL	NULL	15994	Enterobacter sichuanensis	NULL	NULL	2071710	NULL	NULL	15994	NULL	NULL	PDT000990588.2	2021-03-24	2071710	JAGFDW	JAGFDW000000000.1	NULL	NULL	NULL	0	0	0	0	8	8	NULL	"aph(3'')-Ib,aph(6)-Id,blaACT,blaTEM=PARTIAL_END_OF_CONTIG,fosA,oqxB,qnrS1,sul2"	"aph(3'')-Ib,aph(6)-Id,blaACT,blaTEM=PARTIAL_END_OF_CONTIG,fosA,oqxB,qnrS1,sul2"	4	"arsC,asr=HMM,fieF,silA"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000990589.2|SAMN17860426|GCA_017582735.1|Enterobacter sichuanensis||15985|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_017582735.1	Contig	114114	4880306	147	A5-miseq v. 2016-08-01T00:00:00	Microbe	PRJNA701275	Cepheid	SAMN17860426	"15985"	NULL	2017	clinical	25791598	Nigeria	Homo sapiens	NULL	stool	NULL	NULL	NULL	15985	Enterobacter sichuanensis	NULL	NULL	2071710	NULL	NULL	15985	NULL	NULL	PDT000990589.2	2021-03-24	2071710	JAGFDO	JAGFDO000000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,fosA,oqxB,qnrS1"	"blaACT,fosA,oqxB,qnrS1"	4	"arsC,asr=HMM,fieF,silA"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001075129.2|SAMN19672399|GCA_018966665.1|Enterobacter sichuanensis||2021EL-00146|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_018966665.1	Contig	192810	4737628	44	SPAdes v. 3.15.2	Microbe	PRJNA288601	Centers for Disease Control and Prevention.  Division of Healthcare Quality Promotion	SAMN19672399	"2021EL-00146","SRS9187440"	NULL	2021	clinical	27485168	USA	Homo sapiens	NULL	urine	NULL	NULL	NULL	2021EL-00146	Enterobacter sichuanensis	NULL	NULL	2071710	NULL	NULL	2021EL-00146	NULL	NULL	PDT001075129.2	2021-06-19	2071710	JAHLTI	JAHLTI000000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,blaIMI-4,catA=HMM,fosA,oqxB"	"blaACT,blaIMI-4,catA=HMM,fosA,oqxB"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT001121610.2|SAMN15074831|GCA_019834525.1|Enterobacter sichuanensis||ME2L-20-110|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_019834525.1	Contig	64564	4789242	192	SPAdes v. 3.11.1	Microbe	PRJNA635418	Ohio State University	SAMN15074831	"ME2L-20-110","SRS6752203"	NULL	2016	NULL	28666078	USA:Ohio	NULL	NULL	Sewage	NULL	NULL	NULL	ME2L-20-110	Enterobacter sichuanensis	NULL	NULL	2071710	NULL	NULL	ME2L-20-110	NULL	NULL	PDT001121610.2	2021-08-31	2071710	JABUMZ	JABUMZ000000000.1	NULL	NULL	NULL	0	0	0	0	7	7	NULL	"ant(2'')-Ia,blaACT,blaKPC-2,catA=HMM,fosA,mcr-10.1,qnrD1"	"ant(2'')-Ia,blaACT,blaKPC-2,catA=HMM,fosA,mcr-10.1,qnrD1"	29	"arsC=HMM,asr=HMM,fieF,hdeD-GI,hsp20,kefB-GI,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,psi-GI,shsP,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ,trxLHR,yfdX1,yfdX2"	0	NULL	3.10.40	2022-08-09.1	COMBINED	1
PDT001221532.1|SAMN15913978|GCA_029686565.1|Enterobacter sichuanensis||GENC365|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR12525871	GCA_029686565.1	Contig	115091	5351806	124	SKESA v. 2.2	MIGS Cultured Bacterial/Archaeal	PRJNA659514	Institut Pasteur Guadeloupe	SAMN15913978	"Enterobacter sichuanensis GENC365","GENC365","SRS7266719"	NULL	2019-04	NULL	42051358	Guadeloupe	Rhinella marina	NULL	stool	16.235075 N 61.563289 W	NULL	NULL	Enterobacter sichuanensis GENC365	Enterobacter sichuanensis	NULL	NULL	2071710	INSTITUT PASTEUR GUADELOUPE	2020-10-13	GENC365	NULL	NULL	PDT001221532.1	2022-01-12	2071710	DAOHXG	DAOHXG000000000.1	NULL	NULL	NULL	0	0	0	0	15	15	NULL	"aac(3)-IIe,aac(6')-Ib-cr5,aadA2,blaACT,blaCTX-M-15,blaLAP-2,blaOXA-1,catA=HMM,catB3=PARTIAL_END_OF_CONTIG,dfrA15,fosA,oqxB,qnrS1,sul1,tet(C)"	"aac(3)-IIe,aac(6')-Ib-cr5,aadA2,blaACT,blaCTX-M-15,blaLAP-2,blaOXA-1,catA=HMM,catB3=PARTIAL_END_OF_CONTIG,dfrA15,fosA,oqxB,qnrS1,sul1,tet(C)"	12	"arsC=HMM,asr=HMM,fieF,merA,merC=HMM,merD,merE,merP=HMM,merR,merT,qacEdelta1,silA"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
