#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000008042.3|SAMN02603959|GCA_000286275.1|Enterobacter kobei||ENHKU01|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000286275.1	Complete Genome	4726582	4726582	1	NULL	Generic	PRJNA170442	The University of Hong Kong	SAMN02603959	"CP003737","ENHKU01"	NULL	NULL	NULL	410478	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP003737	Enterobacter kobei	NULL	NULL	208224	NULL	NULL	ENHKU01	NULL	NULL	PDT000008042.3	2012-08-10	208224	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT-52,catA=HMM,fosA,oqxB"	"blaACT-52,catA=HMM,fosA,oqxB"	8	"arsA,arsB,arsC,arsD,arsR,asr=HMM,fieF,silA"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000021115.2|SAMN02356604|GCA_000534275.1|Enterobacter kobei||UCI 24|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000534275.1	Scaffold	3280190	4773801	7	allpaths v. R47768	Generic	PRJNA219274	Broad Institute	SAMN02356604	"Enterobacter cloacae UCI 24","SRS485431","UCI 24"	NULL	NULL	clinical	907708	USA: Irvine, CA	Homo sapiens	NULL	urine	NULL	NULL	NULL	Enterobacter cloacae UCI 24	Enterobacter kobei	NULL	NULL	208224	NULL	NULL	UCI 24	NULL	NULL	PDT000021115.2	2014-02-03	208224	JCKW	JCKW00000000.1	NULL	NULL	NULL	5	1	8	14	4	4	"amikacin=S,ampicillin=R,cefazolin=R,cefotaxime=S,cefoxitin=R,ceftazidime=S,cephalothin=S,ciprofloxacin=R,ertapenem=S,gentamicin=S,imipenem=S,meropenem=S,nitrofurantoin=R,tigecycline=I"	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	27	"arsA,arsB,arsC,arsD,arsR,asr=HMM,clpK,fieF,hsp20,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT000030617.2|SAMN02581288|GCA_000692255.1|Enterobacter kobei||BIDMC 67|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000692255.1	Scaffold	1318673	4866487	20	allpaths v. R48559	Generic	PRJNA234155	Broad Institute	SAMN02581288	"BIDMC 67","Enterobacter cloacae BIDMC 67","SRS565189"	NULL	2013	clinical	1071118	USA: Boston	Homo sapiens	NULL	ABSCESS, PELVIC DRAIN	NULL	NULL	NULL	Enterobacter cloacae BIDMC 67	Enterobacter kobei	NULL	NULL	208224	NULL	NULL	BIDMC 67	NULL	NULL	PDT000030617.2	2014-05-19	208224	JMUQ	JMUQ00000000.1	NULL	NULL	NULL	0	0	0	8	5	5	"cefepime=ND,ceftriaxone=ND,ciprofloxacin=ND,gentamicin=ND,meropenem=ND,piperacillin-tazobactam=ND,tobramycin=ND,trimethoprim-sulfamethoxazole=ND"	"blaACT,catA=HMM,fosA,mcr-10.1,oqxB"	"blaACT,catA=HMM,fosA,mcr-10.1,oqxB"	38	"arsA,arsB,arsC,arsD,arsR,asr=HMM,clpK,fieF,hdeD-GI,hsp20,kefB-GI,ncrA,ncrB,ncrC,ncrY,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,psi-GI,shsP,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ,trxLHR,yfdX1,yfdX2"	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT000031672.2|SAMN02356609|GCA_000692355.1|Enterobacter kobei||UCI 29|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000692355.1	Scaffold	492521	4958781	23	allpaths v. R48559	Generic	PRJNA219279	Broad Institute	SAMN02356609	"Enterobacter cloacae UCI 29","SRS485432","UCI 29"	NULL	NULL	clinical	1086578	USA: Irvine, CA	Homo sapiens	NULL	blood	NULL	NULL	NULL	Enterobacter cloacae UCI 29	Enterobacter kobei	NULL	NULL	208224	NULL	NULL	UCI 29	NULL	NULL	PDT000031672.2	2014-05-29	208224	JMUV	JMUV00000000.1	NULL	NULL	NULL	8	1	5	14	4	4	"amikacin=S,ampicillin=R,cefazolin=R,cefotaxime=R,cefoxitin=R,ceftazidime=R,cephalothin=S,ciprofloxacin=R,ertapenem=R,gentamicin=S,imipenem=S,meropenem=I,nitrofurantoin=R,tigecycline=S"	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	27	"arsA,arsB,arsC,arsD,arsR,asr=HMM,clpK,fieF,hsp20,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT000061581.2|SAMN03333155|GCA_000952375.1|Enterobacter kobei||MNCRE12|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000952375.1	Scaffold	184298	4659452	61	CLC Genomics Workbench v. JUNE-2014	Pathogen: clinical or host-associated	PRJNA272863	University of Minnesota	SAMN03333155	"MNCRE12"	NULL	2010	clinical	1683278	USA: Minnesota	Homo sapiens	Not available	urine	46 N 94 W	NULL	NULL	MNCRE12	Enterobacter kobei	NULL	NULL	208224	NULL	NULL	MNCRE12	NULL	NULL	PDT000061581.2	2015-03-13	208224	JYME	JYME00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	8	"arsA,arsB,arsC,arsD,arsR,asr=HMM,fieF,silA"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000061716.2|SAMN03283662|GCA_000957175.1|Enterobacter kobei||35730|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000957175.1	Contig	117139	5394483	128	SPAdes v. 3.1.1	Pathogen: clinical or host-associated	PRJNA259658	JCVI	SAMN03283662	"35730","GCID_ENTE_00096","SRS856627"	Barry Kreiswirth	2012	clinical	1694918	USA: FL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Enterobacter kobei	NULL	NULL	208224	NULL	NULL	35730	NULL	NULL	PDT000061716.2	2015-03-19	208224	JZYS	JZYS00000000.1	NULL	NULL	NULL	0	0	0	0	10	10	NULL	"aac(6')-Ib',aadA1,blaACT-51,blaKPC-3,blaOXA=PARTIAL,blaTEM-1,catA=HMM,fosA,oqxB,qnrB19"	"aac(6')-Ib',aadA1,blaACT-51,blaKPC-3,blaOXA=PARTIAL,blaTEM-1,catA=HMM,fosA,oqxB,qnrB19"	37	"arsA,arsB,arsC,arsD,arsR,asr=HMM,fieF,hdeD-GI,hsp20,kefB-GI,merA,merC=HMM,merD,merE,merP=HMM,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,psi-GI,shsP,silA,silB,silC,silE,silF,silP,silR,silS,trxLHR,yfdX1,yfdX2"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000061725.2|SAMN03283676|GCA_000957385.1|Enterobacter kobei||44593|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000957385.1	Contig	186292	5088034	77	SPAdes v. 3.1.1	Pathogen: clinical or host-associated	PRJNA259658	JCVI	SAMN03283676	"44593","GCID_ENTE_00125","SRS856868"	Barry Kreiswirth	2014	clinical	1695138	Colombia	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Enterobacter kobei	NULL	NULL	208224	NULL	NULL	44593	NULL	NULL	PDT000061725.2	2015-03-19	208224	JZXR	JZXR00000000.1	NULL	NULL	NULL	0	0	0	0	12	12	NULL	"aadA5,ant(2'')-Ia,blaACT-9,blaCTX-M-12,blaKPC-2,blaOXA-2,blaTEM-1,catA=HMM,fosA,oqxB,qnrB19,sul1"	"aadA5,ant(2'')-Ia,blaACT-9,blaCTX-M-12,blaKPC-2,blaOXA-2,blaTEM-1,catA=HMM,fosA,oqxB,qnrB19,sul1"	42	"arsA,arsB,arsC,arsD,arsD=MISTRANSLATION,arsR,asr=HMM,fieF,hdeD-GI,hsp20,kefB-GI,merA,merC=HMM,merD,merE,merP=HMM,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,psi-GI,qacEdelta1,shsP,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ,trxLHR,yfdX1,yfdX2"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000061775.2|SAMN03283656|GCA_000958445.1|Enterobacter kobei||42202|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000958445.1	Contig	222211	5015902	81	SPAdes v. 3.1.1	Pathogen: clinical or host-associated	PRJNA259658	JCVI	SAMN03283656	"42202","GCID_ENTE_00109","SRS856667"	Barry Kreiswirth	2013	clinical	1696538	USA: NYC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Enterobacter kobei	NULL	NULL	208224	NULL	NULL	42202	NULL	NULL	PDT000061775.2	2015-03-19	208224	JZYH	JZYH00000000.1	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"blaACT-52,blaKPC-2,catA=HMM,fosA,oqxB,qnrS1"	"blaACT-52,blaKPC-2,catA=HMM,fosA,oqxB,qnrS1"	26	"arsA,arsB,arsC,arsD,arsR,asr=HMM,fieF,ncrA,ncrB,ncrC,ncrY,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000066574.2|SAMN03495973|GCA_001011785.1|Enterobacter kobei||GN02186|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001011785.1	Contig	99933	4915276	107	SPAdes v. 3.1.0	Microbe	PRJNA259658	JCVI	SAMN03495973	"Enterobacter sp. GN02186","GN02186","SRS940725"	Vance Fowler	2003-06-01	clinical	1783218	USA	Homo sapiens	NULL	NULL	36 N 78.9 W	NULL	NULL	Enterobacter sp. GN02186	Enterobacter kobei	NULL	NULL	208224	NULL	NULL	GN02186	NULL	NULL	PDT000066574.2	2015-05-21	208224	LDCJ	LDCJ00000000.1	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"blaACT,blaTEM-26,catA=HMM,dfrB3,oqxB,sul1"	"blaACT,blaTEM-26,catA=HMM,dfrB3,oqxB,sul1"	38	"arsA,arsB,arsC,arsD,arsR,asr=HMM,fieF,hdeD-GI,hsp20,kefB-GI,merA,merC=HMM,merD,merE,merP=HMM,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,psi-GI,qacEdelta1,shsP,silA,silB,silC,silE,silF,silP,silR,silS,trxLHR,yfdX1,yfdX2"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000066582.2|SAMN03495976|GCA_001011975.1|Enterobacter kobei||GN02225|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001011975.1	Contig	238344	4877692	65	SPAdes v. 3.1.0	Microbe	PRJNA259658	JCVI	SAMN03495976	"Enterobacter sp. GN02225","GN02225","SRS940718"	Vance Fowler	2003-09-01	clinical	1783378	USA	Homo sapiens	NULL	NULL	36 N 78.9 W	NULL	NULL	Enterobacter sp. GN02225	Enterobacter kobei	NULL	NULL	208224	NULL	NULL	GN02225	NULL	NULL	PDT000066582.2	2015-05-21	208224	LDCL	LDCL00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT-52,catA=HMM,fosA,oqxB"	"blaACT-52,catA=HMM,fosA,oqxB"	27	"arsA,arsB,arsC,arsC=HMM,arsD,arsD=HMM,arsR,asr=HMM,fieF,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
