#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000048311.2|SAMEA2752408|GCA_000820145.1|Aeromonas sobria||CECT 4245|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000820145.1	Scaffold	171779	4683669	52	NULL	Generic	PRJEB7040	University of Connecticut	SAMEA2752408	"CECT 4245","CECT4245_sam","ERS541005"	NULL	NULL	NULL	1479368	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Aeromonas sobria	NULL	NULL	646	NULL	NULL	CECT 4245	NULL	NULL	PDT000048311.2	2015-01-16	646	CDBW	CDBW00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"ampC=HMM,blaOXA,cphA,mcr-3=HMM,vat=HMM"	"ampC=HMM,blaOXA,cphA,mcr-3=HMM,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
PDT000166798.2|SAMN05828312|GCA_001858225.1|Aeromonas sobria||08005|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001858225.1	Scaffold	168611	4691251	66	SOAPdenovo v. Unknown; Newbler v. 2.8	Microbe	PRJNA344548	Fisheries Research Institute of Fujian Province	SAMN05828312	"08005"	Xiaofeng Chen	2008-10-25	NULL	3672838	China: Xiamen, Fujian	bullfrog	NULL	liver	NULL	NULL	NULL	08005	Aeromonas sobria	NULL	NULL	646	NULL	NULL	08005	NULL	NULL	PDT000166798.2	2016-11-01	646	MKFU	MKFU00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"ampC=HMM,blaOXA,cphA,mcr-3=HMM,vat=HMM"	"ampC=HMM,blaOXA,cphA,mcr-3=HMM,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000274356.2|SAMN04100937|GCA_002843345.1|Aeromonas sobria||JF2635|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002843345.1	Contig	128869	4796048	121	A5-miseq v. 20150522	Microbe	PRJNA296590	Universite Laval	SAMN04100937	"JF2635"	NULL	2001	NULL	5796198	Switzerland	Perca fluviatilis	NULL	NULL	NULL	NULL	NULL	JF2635	Aeromonas sobria	NULL	NULL	646	NULL	NULL	JF2635	NULL	NULL	PDT000274356.2	2017-12-16	646	LJZX	LJZX00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaOXA,cphA,vat=HMM"	"blaOXA,cphA,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000274360.2|SAMN07490922|GCA_002843445.1|Aeromonas sobria||TM12|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002843445.1	Contig	136123	4538587	98	A5-miseq v. 20150522	Microbe	PRJNA397895	Universite Laval	SAMN07490922	"AEROsobri_TM12","TM12"	NULL	2015-05	NULL	5796288	Canada: Lake Prime-Huron, Quebec	Salvelinus fontinalis	NULL	intestine	NULL	NULL	NULL	AEROsobri_TM12	Aeromonas sobria	NULL	NULL	646	NULL	NULL	TM12	NULL	NULL	PDT000274360.2	2017-12-16	646	NQML	NQML00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaOXA,cphA,mcr-3=HMM,vat=HMM"	"blaOXA,cphA,mcr-3=HMM,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000274361.2|SAMN07491056|GCA_002843435.1|Aeromonas sobria||TM18|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002843435.1	Contig	127327	4695545	101	A5-miseq v. 20150522	Microbe	PRJNA397895	Universite Laval	SAMN07491056	"AEROsobri_TM18","TM18"	NULL	2015-05	NULL	5796298	Canada: Lake Prime-Huron, Quebec	Salvelinus fontinalis	NULL	intestine	NULL	NULL	NULL	AEROsobri_TM18	Aeromonas sobria	NULL	NULL	646	NULL	NULL	TM18	NULL	NULL	PDT000274361.2	2017-12-16	646	NQMM	NQMM00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaOXA,cphA,mcr-3=HMM,vat=HMM"	"blaOXA,cphA,mcr-3=HMM,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000523599.2|SAMN07312777|GCA_006243235.1|Aeromonas sobria||PAQ091014-19|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_006243235.1	Contig	110545	4679688	112	CLC NGS Cell v. CLC Genomics workbench 8	Microbe	PRJNA391781	University of Connecticut Graf Lab	SAMN07312777	"PAQ091014-19","SRS2335070"	NULL	missing	NULL	11114018	not available	Oncorhynchus mykiss	NULL	spleen	NULL	NULL	NULL	PAQ091014-19	Aeromonas sobria	NULL	NULL	646	NULL	NULL	PAQ091014-19	NULL	NULL	PDT000523599.2	2019-06-11	646	NKWB	NKWB00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaOXA,cphA,tet(A),vat=HMM"	"blaOXA,cphA,tet(A),vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000523600.2|SAMN07312774|GCA_006243315.1|Aeromonas sobria||PAQ091014-5|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_006243315.1	Scaffold	95722	4661400	103	CLC NGS Cell v. CLC Genomics workbench 8	Microbe	PRJNA391781	University of Connecticut Graf Lab	SAMN07312774	"PAQ091014-5","SRS2335066"	NULL	missing	NULL	11114078	not available	Oncorhynchus mykiss	NULL	heart	NULL	NULL	NULL	PAQ091014-5	Aeromonas sobria	NULL	NULL	646	NULL	NULL	PAQ091014-5	NULL	NULL	PDT000523600.2	2019-06-11	646	NKWE	NKWE00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaOXA,cphA,tet(A),vat=HMM"	"blaOXA,cphA,tet(A),vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000523612.2|SAMN07312750|GCA_006246215.1|Aeromonas sobria||ARS-145-14|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_006246215.1	Scaffold	112756	4789614	102	CLC NGS Cell v. CLC Genomics workbench 8	Microbe	PRJNA391781	University of Connecticut Graf Lab	SAMN07312750	"ARS-145-14","SRS2335055"	NULL	missing	NULL	11117018	not available	fish	NULL	NULL	NULL	NULL	NULL	ARS-145-14	Aeromonas sobria	NULL	NULL	646	NULL	NULL	ARS-145-14	NULL	NULL	PDT000523612.2	2019-06-11	646	NKXA	NKXA00000000.1	NULL	NULL	NULL	0	0	0	0	8	8	NULL	"ampC=HMM,blaCAR=HMM,blaOXA,cphA,fos=HMM,mcr-3=HMM,tet(E),vat=HMM"	"ampC=HMM,blaCAR=HMM,blaOXA,cphA,fos=HMM,mcr-3=HMM,tet(E),vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000523627.2|SAMN07312741|GCA_006246595.1|Aeromonas sobria||2014-10509-27-20|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_006246595.1	Scaffold	45353	4637031	203	CLC NGS Cell v. CLC Genomics workbench 8	Microbe	PRJNA391781	University of Connecticut Graf Lab	SAMN07312741	"2014-10509-27-20","SRS2335061"	NULL	missing	NULL	11117578	not available	fish	NULL	NULL	NULL	NULL	NULL	2014-10509-27-20	Aeromonas sobria	NULL	NULL	646	NULL	NULL	2014-10509-27-20	NULL	NULL	PDT000523627.2	2019-06-11	646	NKXJ	NKXJ00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"bla=HMM,blaOXA,fos=HMM,tet(E),vat=HMM"	"bla=HMM,blaOXA,fos=HMM,tet(E),vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000578174.2|SAMN11952138|GCA_008086875.1|Aeromonas sobria||CHT-30|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_008086875.1	Contig	151159	4912126	343	SPAdes v. 13.12	Microbe	PRJNA546108	Universidad de Santiago de Compostela	SAMN11952138	"CHT-30","SRS6742063"	NULL	2018-07	NULL	13400468	Peru:Lima	Oncorhynchus mykiss	NULL	NULL	NULL	NULL	NULL	CHT-30	Aeromonas sobria	NULL	NULL	646	NULL	NULL	CHT-30	NULL	NULL	PDT000578174.2	2019-08-26	646	VEMU	VEMU00000000.1	NULL	NULL	NULL	0	0	0	0	11	11	NULL	"aadA1,ampC=HMM,blaOXA,catA2,cphA,dfrA1,mcr-3=HMM,sul1,tet(A),tet(E),vat=HMM"	"aadA1,ampC=HMM,blaOXA,catA2,cphA,dfrA1,mcr-3=HMM,sul1,tet(A),tet(E),vat=HMM"	10	"arsC=HMM,arsD=HMM,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT,qacEdelta1"	0	NULL	3.10.40	2022-08-09.1	COMBINED	1
PDT001038092.2|SAMN17101838|GCA_018359945.1|Aeromonas sobria||CIP 74.33|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_018359945.1	Contig	238489	4689240	73	SPAdes v. 3.14.1	Pathogen: clinical or host-associated	PRJNA685948	Institut d'Investigacio Biomedica Sant Pau	SAMN17101838	"176","176_HSP_REF_CECT4245","CECT:4245","CIP 74.33","SRS7893635"	Coleccin Espaola de Cultivos Tipo (CECT)	1976	clinical	26720778	NULL	fish	None	NULL	NULL	NULL	NULL	176_HSP_REF_CECT4245	Aeromonas sobria	NULL	NULL	646	NULL	NULL	CIP 74.33	NULL	NULL	PDT001038092.2	2021-05-14	646	JAGDEP	JAGDEP000000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"ampC=HMM,blaOXA,cphA,mcr-3=HMM,vat=HMM"	"ampC=HMM,blaOXA,cphA,mcr-3=HMM,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT001167885.1|SAMN17106055|GCA_029153935.1|Aeromonas sobria||OTH-19-VL-NY-MS-0041|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13280321	GCA_029153935.1	Contig	176617	4785579	66	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN17106055	"OTH-19-VL-NY-MS-0041","SRS7904836"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2019-11-22	environmental/other	41406888	USA:MS	NULL	NULL	Brain and Kidney (Ictalurus punctatus)	NULL	NULL	NULL	OTH-19-VL-NY-MS-0041	Aeromonas sobria	NULL	NULL	646	NYVETLIRN	2020-12-21	OTH-19-VL-NY-MS-0041	NULL	NULL	PDT001167885.1	2021-11-03	646	ABKYXX	ABKYXX000000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaOXA,cphA,fos=HMM,tet(E),vat=HMM"	"blaOXA,cphA,fos=HMM,tet(E),vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001585312.1|SAMD00013506||Aeromonas sobria|||Generic	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	DRR015622	NULL	NULL	185444	4424321	54	NULL	Generic	PRJDB2643	Gifu University School of Medicine Pathogenic Bacterial Genetic Resorce Stock Center (GMGC)	SAMD00013506	"DRS013810"	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Aeromonas sobria	NULL	NULL	646	NIG	2014-05-14	NULL	NULL	NULL	PDT001585312.1	2023-01-21	646	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaTRU"	"blaTRU"	0	NULL	0	NULL	3.11.2	2022-12-19.1	NUCLEOTIDE	1
PDT001585315.1|SAMD00012193||Aeromonas sobria|||Generic	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	DRR015729	NULL	NULL	192299	4975779	72	NULL	Generic	PRJDB2476	Gifu University School of Medicine Pathogenic Bacterial Genetic Resorce Stock Center (GMGC)	SAMD00012193	"DRS013869"	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Aeromonas sobria	NULL	NULL	646	NIG	2014-05-14	NULL	NULL	NULL	PDT001585315.1	2023-01-21	646	NULL	NULL	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"blaOXA,cphA=PARTIAL"	"blaOXA,cphA=PARTIAL"	0	NULL	0	NULL	3.11.2	2022-12-19.1	NUCLEOTIDE	1
